taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Pseudomonadales	30	10	-4.843	-4.991	-4.826	0.2474	1.485	0.1218	0.3672	0.827	0.9733	0.2065	0.9494	0.1218
Burkholderiales	30	10	-1.798	-1.813	-1.798	0.2087	3.899	0.07575	0.4602	0.7699	0.9733	0.6968	0.9534	0.07575
Verrucomicrobiales	30	10	-5.089	-5.089	-5.032	-0.009144	3.954	-0.001379	0.4969	0.9689	0.9733	0.931	0.9868	0.001379
Lactobacillales	30	10	0.1155	0.1282	0.1155	0.06042	1.923	0.02933	0.4766	0.9069	0.9733	0.7785	0.9555	0.02933
Clostridiales	30	10	7.234	7.14	7.234	0.1621	1.666	0.09734	0.4203	0.7054	0.9733	0.5509	0.9534	0.09734
Erysipelotrichales	30	10	-0.2011	-0.02089	-0.4354	-0.546	1.792	-0.2269	0.3516	0.3057	0.9733	0.1612	0.9494	0.2269
Selenomonadales	30	10	-4.112	-4.117	-4.108	0.06894	5.657	0.0123	0.4618	0.9229	0.9733	0.7261	0.9534	0.0123
Veillonellales	30	10	-0.4146	-0.2651	-0.5938	-0.02704	5.182	-0.004754	0.4938	0.9711	0.9733	0.9914	0.9914	0.004754
Bifidobacteriales	30	10	1.53	1.657	1.236	-0.388	2.55	-0.1496	0.4353	0.4988	0.9733	0.5347	0.9534	0.1496
Coriobacteriales	30	10	0.8352	0.8635	0.8352	-0.376	3.756	-0.08514	0.4281	0.756	0.9733	0.5706	0.9534	0.08514
Bacteroidales	30	10	5.981	5.687	6.287	0.516	2.284	0.2426	0.3828	0.3256	0.9733	0.3154	0.9534	0.2426
