taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Guerin_crAss_Delta_07	30	10	-8.237	-8.743	-8.043	0.08779	8.916	0.01239	0.4891	0.9442	0.9962	0.9223	0.9979	0.01239
Sutterella wadsworthensis	30	10	-3.637	-4.78	-3.463	0.4654	7.702	0.06294	0.4359	0.7507	0.9962	0.5716	0.9979	0.06294
Bilophila wadsworthia	30	10	1.506	1.57	1.369	-0.06685	5.985	-0.008076	0.4766	0.9697	0.9962	0.78	0.9979	0.008076
Akkermansia muciniphila	30	10	-2.578	-2.246	-2.578	-0.2856	4.393	-0.0585	0.4493	0.8417	0.9962	0.8418	0.9979	0.0585
Firmicutes bacterium CAG:94	30	10	-2.533	-2.132	-2.737	-0.3453	4.594	-0.05428	0.4547	0.8197	0.9962	0.7225	0.9979	0.05428
Firmicutes bacterium CAG:83	30	10	1.477	1.118	1.576	0.3432	2.838	0.1037	0.4313	0.6229	0.9962	0.5098	0.9979	0.1037
Clostridium phoceensis	30	10	2.395	2.269	2.417	0.2037	2.77	0.07231	0.4469	0.8273	0.9962	0.6167	0.9979	0.07231
uncultured Clostridium sp.	30	10	3.19	3.221	3.077	-0.1332	0.9039	-0.1441	0.4375	0.5493	0.9962	0.5415	0.9979	0.1441
Clostridium sp. CAG:138	30	10	-4.497	-4.319	-4.515	-0.2106	2.964	-0.03943	0.4547	0.9548	0.9962	0.7636	0.9979	0.03943
Clostridium sp. CAG:169	30	10	-0.9156	-0.392	-0.9638	-0.2437	4.43	-0.05035	0.4509	0.8334	0.9962	0.675	0.9979	0.05035
Clostridium sp. CAG:217	30	10	-6.008	-5.612	-6.008	-0.2682	8.657	-0.03225	0.4711	0.9427	0.9962	0.9191	0.9979	0.03225
Clostridium sp. CAG:354	30	10	-6.912	-6.797	-6.912	0.02683	4.643	0.003328	0.4977	0.9412	0.9962	0.9204	0.998	0.003328
Clostridium sp. CAG:356	30	10	-8.346	-6.894	-8.573	-0.7717	6.703	-0.1081	0.4328	0.6159	0.9962	0.4712	0.9979	0.1081
Clostridium sp. 28_12	30	10	-9.101	-8.18	-9.303	-0.8531	5.115	-0.1288	0.4337	0.6711	0.9962	0.5982	0.9979	0.1288
Clostridiaceae bacterium	30	10	2.796	2.764	2.796	0.09264	1.125	0.08416	0.4524	0.78	0.9962	0.6055	0.9979	0.08416
Butyrivibrio crossotus	30	10	-2.385	-2.279	-2.442	-0.1002	0.8022	-0.03428	0.4306	0.9127	0.9962	0.58	0.9979	0.03428
Roseburia intestinalis	30	10	2.217	2.27	2.188	-0.04542	3.802	-0.01349	0.4875	0.9342	0.9962	0.9422	0.9979	0.01349
Roseburia inulinivorans	30	10	1.483	1.537	1.483	-0.001391	2.899	-0.0004961	0.4992	0.9693	0.9962	0.9708	0.9981	0.0004961
Roseburia sp. CAG:50	30	10	-0.07658	0.07597	-0.1009	-0.1477	5.354	-0.03484	0.4727	0.8597	0.9962	0.7737	0.9979	0.03484
Coprococcus eutactus	30	10	-1.405	-1.353	-1.512	-0.0532	3.626	-0.01681	0.4805	0.9747	0.9962	0.8478	0.9979	0.01681
Coprococcus catus	30	10	2.954	2.939	2.997	-0.03809	1.846	-0.01636	0.4938	0.9805	0.9962	0.9539	0.998	0.01636
Coprococcus comes	30	10	2.364	2.447	2.252	-0.3573	1.936	-0.1643	0.4087	0.5203	0.9962	0.404	0.9979	0.1643
