XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.43755776297088	0.514901420716863	0.441024284621883	0.580472375346602	0.430502185383901	0.425945977478401	0.431047828387899	0.514940078114691	0.547317866006674	0.435241787392292	0.368251672317862	0.362267366450477	0.452846552440798	0.00231646810758206	0.576785134119948	0.432771700312488	0.364749905274632	0.578688510188113	0.368405735239269	0.547711284801835	0.366807504864856	0.0120872638883718	0.511635874034905	0.435613698870531	0.54882605684632	0.459071505511977	0.441641480670132	0.363935336719691	0.460280626185925	0.525343066277863	0.377142649003146	0.509355291006394	0.405798422327574	0.51136394944825	0.30720035878242	0.354005944671832	0.437154135973599	0.378520795394093	0.0692615171291048
XT_D06-NFlex-R1-A	0.43755776297088	0	0.140744409548266	0.202648990291916	0.314262307511487	0.162394160087802	0.166700142731907	0.162347148898191	0.140381049029888	0.267928354146539	0.202460621155786	0.12354087344684	0.426374655031341	0.256087418798747	0.437980739078331	0.311500773159927	0.0062576704285092	0.434092250044626	0.312740241786881	0.122648267485447	0.268192091153482	0.123104571925091	0.432715315692243	0.144028563273814	0.00405763645300324	0.269348062400437	0.26216466797944	0.201615695772495	0.431135478779389	0.262307432119358	0.291804377943571	0.210295013609014	0.117235351788515	0.183804351570703	0.238254344171409	0.423199573501675	0.148647293942497	0.293246539696937	0.0976613296643521	0.417707709384707
XT_D08-NFlex-R1-C	0.514901420716863	0.140744409548266	0	0.252848886597007	0.245067336886709	0.195166662568003	0.195997548434627	0.194219447119949	0.00122110655290559	0.158450797654933	0.253231795646402	0.183945137387057	0.44936207530449	0.293776327203959	0.515314424091438	0.242466347449082	0.143923798772162	0.457490872608097	0.243755329262314	0.183403369718697	0.158724572410345	0.184239733206656	0.510038990394731	0.00875243889467439	0.143421760048619	0.159820170270806	0.298660352727727	0.252336179644776	0.454454711129976	0.298504262737531	0.232634519431329	0.275873543102618	0.0585223314638917	0.229517973001982	0.138944698204334	0.458318040053273	0.240900851409539	0.339734294128607	0.229410650376065	0.495069240833854
XT_D07-NFlex-R1-C	0.441024284621883	0.202648990291916	0.252848886597007	0	0.443813356868634	0.295177043030204	0.290858287061042	0.294702101736283	0.252473488320612	0.380062613240603	0.00668290991493728	0.215915070750253	0.418292668037517	0.113386880827756	0.441527267557766	0.440057593159491	0.200918623529314	0.424145615002138	0.441959060471196	0.215464701249038	0.38030642645841	0.214969316300053	0.436832431877014	0.256530843938201	0.200852898305166	0.381381588840112	0.119464503922067	0.00362042998274417	0.42192738694565	0.119424067655858	0.404615053401091	0.0890549162112081	0.212713316335834	0.285060144581402	0.34618257705273	0.410903649323078	0.177321315370258	0.13435519468709	0.163169111594587	0.422450218620447
XT_D10-NFlex-R1-C	0.580472375346602	0.314262307511487	0.245067336886709	0.443813356868634	0	0.318351845249451	0.329078918228047	0.319517561851649	0.245686340490812	0.175836085441129	0.444406729546406	0.317918108897966	0.482307648529457	0.488226100710366	0.580213269374795	0.00717966069796962	0.311992538629904	0.485275659793285	0.00492719897328302	0.318654146890478	0.176108319409969	0.3192100051101	0.578931949615443	0.239586494457864	0.314436905541016	0.176624264000866	0.492282090017173	0.443380807457068	0.48348006964856	0.492444734788361	0.100520699699759	0.468439405613812	0.289841670040509	0.311792143633031	0.164065981113126	0.493810812398335	0.372722757693652	0.528743720939247	0.387798650438331	0.565640671426296
XT_D05-NFlex-R1-C	0.430502185383901	0.162394160087802	0.195166662568003	0.295177043030204	0.318351845249451	0	0.0127730978747469	0.00221597912569222	0.195346584025513	0.255454486260675	0.295268889839634	0.17218214781172	0.416190097508061	0.301255792748186	0.430252587483617	0.315779762189614	0.161866760048215	0.419008878435533	0.316940204148307	0.171774142815218	0.255788227548099	0.171027408185341	0.429271575439305	0.193943529214249	0.161562338221212	0.256984391918532	0.304954123204682	0.294794111812603	0.417199925316421	0.304764917702807	0.308390302084646	0.300760150303839	0.180375595856875	0.0532001530070747	0.226818569462291	0.447752462877036	0.20902584648922	0.338934493101477	0.20375584444238	0.423248618095356
XT_D05-NFlex-R1-A	0.425945977478401	0.166700142731907	0.195997548434627	0.290858287061042	0.329078918228047	0.0127730978747469	0	0.0121384823306327	0.196177474397136	0.263265403935594	0.290950133768934	0.170134992344323	0.413493694550087	0.298204817710964	0.425696385892483	0.326476828475215	0.166172742091755	0.419068552181789	0.327637152947874	0.169716985652084	0.263599145523406	0.168980256425586	0.424705359929024	0.19487606047352	0.165878327070495	0.264795304783548	0.301913126110498	0.290465374082917	0.415564182095397	0.301723902763025	0.319057360198282	0.296691998344608	0.180677340357011	0.0564894895377433	0.234689189914451	0.445904984967885	0.2067384211387	0.335364347230622	0.198031232175449	0.41865225176463
XT_D05-NFlex-R1-B	0.431047828387899	0.162347148898191	0.194219447119949	0.294702101736283	0.319517561851649	0.00221597912569222	0.0121384823306327	0	0.194399373583014	0.25538052928236	0.294783952056578	0.17226771944191	0.416265943243323	0.301120835034866	0.430798238805914	0.316905481118777	0.161819748858604	0.419104730267351	0.318065781234768	0.171849714453181	0.255714271470946	0.171113002660167	0.429807214646946	0.193056156436262	0.16153532982463	0.256910429232148	0.304819233823571	0.294309186551937	0.417275776257799	0.304630028019293	0.309465967958124	0.30031534043612	0.179368306799002	0.0539053879827793	0.226754508159909	0.447968212310091	0.209221592268646	0.338739712751615	0.204431972694397	0.423774200586852
XT_D08-NFlex-R1-B	0.514940078114691	0.140381049029888	0.00122110655290559	0.252473488320612	0.245686340490812	0.195346584025513	0.196177474397136	0.194399373583014	0	0.158906976973747	0.252866386154741	0.183942806000435	0.449410986181783	0.293258469545672	0.515353081489267	0.243105373872041	0.14354042794848	0.457519778987373	0.24439434136988	0.183401028521282	0.159170746025971	0.184237378290691	0.510077647792559	0.00963177658260773	0.143048396830254	0.160256341787344	0.298152465028506	0.251940763054025	0.454483600488283	0.297986370236055	0.233252623536899	0.275477668003106	0.057833665502837	0.229552599423093	0.139572238088458	0.45834713344187	0.240374878743364	0.339257585029477	0.228986976528428	0.495037204883797
XT_D02-NFlex-R1-B	0.547317866006674	0.267928354146539	0.158450797654933	0.380062613240603	0.175836085441129	0.255454486260675	0.263265403935594	0.25538052928236	0.158906976973747	0	0.380955461684037	0.307459694280756	0.511803741315941	0.427733900664445	0.547298565072933	0.177886479112286	0.270657152913245	0.51261214329711	0.178921636853116	0.307763756910366	0.000784746196138545	0.307746830908511	0.546057286556061	0.154339481067333	0.270655909332732	0.00248636040269233	0.431510481813178	0.379889964355488	0.511519992147304	0.431582612035326	0.251493684005421	0.40790858371086	0.207332984817709	0.2824499752389	0.0495591839368188	0.545240806504214	0.365800347678659	0.468044228748686	0.356924975220887	0.538300789639865
XT_D07-NFlex-R1-B	0.435241787392292	0.202460621155786	0.253231795646402	0.00668290991493728	0.444406729546406	0.295268889839634	0.290950133768934	0.294783952056578	0.252866386154741	0.380955461684037	0	0.215686429840265	0.417941333533044	0.114403822135685	0.435744770328174	0.440641001677008	0.200730260799403	0.423804311730219	0.442552442258626	0.21524604291121	0.381199290219984	0.214740675990695	0.431049934647422	0.256913723655018	0.200674525062335	0.382274432776954	0.120471436523989	0.00768113504628632	0.421586057944144	0.120431000558096	0.400188716666675	0.0826830351869463	0.213145763831494	0.285151861430339	0.347085445014841	0.405793624103899	0.17645189231549	0.131503804569602	0.163211718520097	0.416587535517773
XT_D09-NFlex-R1-B	0.368251672317862	0.12354087344684	0.183945137387057	0.215915070750253	0.317918108897966	0.17218214781172	0.170134992344323	0.17226771944191	0.183942806000435	0.307459694280756	0.215686429840265	0	0.372847201701092	0.266582321169122	0.368505224399065	0.315457355748018	0.119424614071898	0.380425649692432	0.316642982486878	0.00166869329414016	0.30779374606878	0.00332560074393278	0.362579112998468	0.186462331283894	0.122447523555472	0.308967748238537	0.272242785255823	0.214951660374093	0.377409827625365	0.272713740824477	0.296580602890665	0.221875853512044	0.171519476176739	0.144161751358589	0.27049516434534	0.359688647207866	0.0829039089348116	0.301651843899291	0.137406897840546	0.343253407000833
XT_D03-NFlex-R1-C	0.362267366450477	0.426374655031341	0.44936207530449	0.418292668037517	0.482307648529457	0.416190097508061	0.413493694550087	0.416265943243323	0.449410986181783	0.511803741315941	0.417941333533044	0.372847201701092	0	0.392646416595101	0.362761726049974	0.480542562997724	0.422598145146768	0.0152571919048384	0.480363319821572	0.373331689687325	0.51228786423311	0.372373873667114	0.359436675106772	0.448248066363157	0.424911327047371	0.51358212619865	0.393979470321255	0.418382329464539	0.00931955519792255	0.395029485170256	0.456329958485232	0.410935271414682	0.435130851236311	0.388447453598784	0.477541899345429	0.164391444087711	0.370287368176931	0.389918964858378	0.3979866201913	0.365796282157978
