XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.512536287889602	0.563021444505387	0.478025146550726	0.654042113658087	0.528971016111654	0.52466960732677	0.529518130412713	0.562036472893555	0.602052001446606	0.474821285415836	0.431406425792783	0.429187082619271	0.500799207176835	0.00347658611704112	0.650698708846801	0.510564743581412	0.428887357351017	0.652617704823793	0.431700248493584	0.60255022526544	0.431254788456163	0.0125625435494558	0.564996118217477	0.511788261303504	0.60342985886059	0.502994517685351	0.477898004066436	0.428146532260655	0.504122420023573	0.632391489713081	0.456525910761735	0.555321577359316	0.519799403755134	0.587129511878502	0.406903013923156	0.423699898251941	0.497439151007803	0.468127633023152	0.0796396127780888
XT_D06-NFlex-R1-A	0.512536287889602	0	0.204683701716621	0.309888120711521	0.411044518462775	0.272068512007545	0.277802502342693	0.272417389960434	0.203759720155595	0.34070069022773	0.30953379292868	0.208012045740115	0.48717025314251	0.3338776199322	0.513215226503549	0.408431177467737	0.00735299163195892	0.494414361451843	0.410002861320463	0.20737626555619	0.340787608761631	0.207404724936596	0.509912914218525	0.206893167848616	0.0042240734837574	0.341396869900356	0.336068490308572	0.308094880156223	0.491193501547018	0.335549781950959	0.386448590941186	0.32104848956688	0.196267719269556	0.30764566264952	0.319729232765155	0.501511646028345	0.249297271092539	0.37589119826769	0.111329887924903	0.495772003056066
XT_D08-NFlex-R1-C	0.563021444505387	0.204683701716621	0	0.282831253888538	0.296668622097817	0.266611257506054	0.273715984754666	0.26731886435217	0.00204739953198396	0.21664606851245	0.28155680329645	0.307322669687417	0.479176198128537	0.30281471587636	0.563205455954859	0.294196519407693	0.204527403789263	0.480723570837361	0.29565771962885	0.307236486792247	0.216631062591649	0.306252323513296	0.562783145211269	0.00909302438491854	0.20632970078227	0.21714154966134	0.309182312829813	0.282240173011099	0.479421931292553	0.309142149273903	0.278138596865704	0.302883933306354	0.0689089464747949	0.299825694164775	0.196462436672487	0.5138449802115	0.354502222663103	0.350718734927693	0.284925354541103	0.550543395250046
XT_D07-NFlex-R1-C	0.478025146550726	0.309888120711521	0.282831253888538	0	0.510137802763282	0.374623106482786	0.370464805762068	0.374212598265856	0.282236036288683	0.431685355001118	0.00730283104680925	0.311283586028476	0.439603107090482	0.237731968446432	0.478957474654407	0.506932931726692	0.306611362887394	0.447184045474755	0.508638602770773	0.311225614716867	0.431837427930467	0.310589911129923	0.475054239999175	0.287318004231564	0.308948312705026	0.432713066680026	0.247715042756214	0.0049088850819984	0.443418185448272	0.24783603231777	0.48428040346247	0.121443822635273	0.259492235211863	0.374047798202455	0.405448029721498	0.459758993780547	0.317566266033792	0.277494241238061	0.302256777875652	0.461716834798463
XT_D10-NFlex-R1-C	0.654042113658087	0.411044518462775	0.296668622097817	0.510137802763282	0	0.404482012267966	0.41429075712326	0.405228240027929	0.297354408946796	0.232985570165407	0.509923196279783	0.454717430697418	0.583544714160988	0.531908021308438	0.654439824506653	0.00769245624643353	0.413002831206979	0.586079125754118	0.00550274774837945	0.454209944052709	0.23247463285443	0.45335597093654	0.653985608886313	0.293242456989323	0.413215429126684	0.231936351873935	0.538596652526843	0.50967789621196	0.584114388960485	0.53860711840286	0.105392226260981	0.531247977797634	0.338621945069487	0.430212398474374	0.255140676720505	0.590774257407272	0.494248660258313	0.575644048199708	0.485201479487896	0.639987447140028
XT_D05-NFlex-R1-C	0.528971016111654	0.272068512007545	0.266611257506054	0.374623106482786	0.404482012267966	0	0.0148372431815486	0.00299749956415354	0.266589706352237	0.360818667552377	0.373961059492535	0.272439168877384	0.491850760615174	0.358652414725663	0.52917308527633	0.402104256767892	0.270662799345108	0.493953328828717	0.40345462521638	0.271840169233124	0.361090475019793	0.270626050263884	0.528471618172325	0.268809757866832	0.270639990757894	0.361894238017633	0.363343864779653	0.374129578891819	0.492055706078668	0.363054939321718	0.402452584762342	0.373163848797332	0.24457831595817	0.0611803264567145	0.354937464833292	0.524559219729296	0.305406002469135	0.396210401690474	0.297531820914194	0.513685961360585
XT_D05-NFlex-R1-A	0.52466960732677	0.277802502342693	0.273715984754666	0.370464805762068	0.41429075712326	0.0148372431815486	0	0.0138236119398882	0.273120539285972	0.371055516731287	0.369792477333525	0.270743037320009	0.488838781248395	0.356609132712102	0.524871654996053	0.411853710045194	0.276966264542201	0.491212905582985	0.413223021302547	0.270195481060797	0.37137220814088	0.268972163796985	0.52417025039303	0.279469974854174	0.276964898370883	0.372157835517434	0.361523463446468	0.369953802803322	0.489265013249308	0.36125456323483	0.412420088546675	0.373041321207251	0.250728465505172	0.0603716173785967	0.365222847213109	0.523496025614734	0.303540157030269	0.393410853770082	0.292912903965722	0.509413556159019
XT_D05-NFlex-R1-B	0.529518130412713	0.272417389960434	0.26731886435217	0.374212598265856	0.405228240027929	0.00299749956415354	0.0138236119398882	0	0.267297572790865	0.361316399746769	0.373530484448615	0.272400869249691	0.491875057071228	0.358468509316579	0.529730247605623	0.402850135659074	0.271222113948459	0.494087723568896	0.404240099920416	0.271853316821305	0.361595309885618	0.270629948154178	0.529008784194083	0.269619297623962	0.271202445496712	0.362391907672732	0.36313268060541	0.373711623424319	0.492129702948986	0.362811804792551	0.403192485884593	0.372793754326666	0.245226416976377	0.0602627110031504	0.355462430832893	0.524793975014609	0.305358994022602	0.395915627876145	0.298399204773045	0.514203246863417
XT_D08-NFlex-R1-B	0.562036472893555	0.203759720155595	0.00204739953198396	0.282236036288683	0.297354408946796	0.266589706352237	0.273120539285972	0.267297572790865	0	0.217051286912913	0.281001618976203	0.306317699424694	0.478201469796526	0.302268871811889	0.562220542247236	0.294892330813736	0.203593409215631	0.47987005722585	0.296313408108754	0.306231453742648	0.217066321137889	0.305257370580882	0.561808336790368	0.0101825584468176	0.205415741770987	0.217556785291135	0.3086264749383	0.281654401612638	0.47842721841349	0.308576327686166	0.278793569103655	0.303341278766376	0.0676720854157233	0.299723477936529	0.196747164540486	0.512799700030592	0.353457040452036	0.3501829996867	0.283960779054297	0.549558377178287
XT_D02-NFlex-R1-B	0.602052001446606	0.34070069022773	0.21664606851245	0.431685355001118	0.232985570165407	0.360818667552377	0.371055516731287	0.361316399746769	0.217051286912913	0	0.431952567127731	0.386127334167022	0.572191277548079	0.453471279660875	0.602157675203654	0.229769275726393	0.342741536581382	0.573652071591847	0.231330372244322	0.385920513444321	0.00140521265557083	0.385277462530247	0.601363097576005	0.212317096881767	0.342972692272307	0.00338433108266188	0.457192932337251	0.431414873545102	0.572071985334314	0.457553636291378	0.303321725992693	0.457175851247348	0.266652960750493	0.386397698278973	0.0610070005407413	0.597510741467593	0.434053669230489	0.490972529708018	0.424105849507463	0.584015152000846
XT_D07-NFlex-R1-B	0.474821285415836	0.30953379292868	0.28155680329645	0.00730283104680925	0.509923196279783	0.373961059492535	0.369792477333525	0.373530484448615	0.281001618976203	0.431952567127731	0	0.310799736339589	0.438704541898339	0.237908933861732	0.47571298681647	0.506699043688736	0.306257044338504	0.445215832960395	0.508384828130748	0.310741751379799	0.432124675119377	0.310096041105711	0.473288809260509	0.285984269959806	0.308583817558608	0.432990315005332	0.247982854986754	0.00912291518121123	0.4414599523045	0.248216307201402	0.482088273423075	0.115411970949161	0.260282148802193	0.37204513267791	0.405655789267991	0.458583437269206	0.314881062002216	0.277274416285501	0.301111439593818	0.460953914017032
XT_D09-NFlex-R1-B	0.431406425792783	0.208012045740115	0.307322669687417	0.311283586028476	0.454717430697418	0.272439168877384	0.270743037320009	0.272400869249691	0.306317699424694	0.386127334167022	0.310799736339589	0	0.430212128576429	0.319449816517921	0.432185329577445	0.452176434056978	0.206839528554863	0.438866317655486	0.45371887681757	0.00220114387411757	0.386555752365996	0.00457521337629463	0.428080618908066	0.310700624585561	0.208140729398831	0.387450218887066	0.321532541651491	0.309650577340335	0.435018535415401	0.321262253565607	0.441294312336882	0.314870403639736	0.281618205268084	0.26098579179862	0.367456409120376	0.439732772993264	0.0959013511616887	0.357228423732816	0.190642325285057	0.413414424475615
XT_D03-NFlex-R1-C	0.429187082619271	0.48717025314251	0.479176198128537	0.439603107090482	0.583544714160988	0.491850760615174	0.488838781248395	0.491875057071228	0.478201469796526	0.572191277548079	0.438704541898339	0.430212128576429	0	0.40458789860476	0.429483850161037	0.582448575911282	0.485664616115588	0.01679121458315	0.582095934037767	0.430625268453582	0.572666430450052	0.430023795658236	0.42528130835596	0.483724895719224	0.486754680021967	0.573608376530122	0.408750528656219	0.439072100356086	0.0105358925361344	0.409465645436849	0.565575234417936	0.43043998609733	0.458597265582234	0.476083595109321	0.559146379304263	0.146971550013032	0.413791782248519	0.400650015021071	0.458450874104257	0.421155914666767
XT_D01-NFlex-R1-A	0.500799207176835	0.3338776199322	0.30281471587636	0.237731968446432	0.531908021308438	0.358652414725663	0.356609132712102	0.358468509316579	0.302268871811889	0.453471279660875	0.237908933861732	0.319449816517921	0.40458789860476	0	0.501544931710121	0.527745248600951	0.331766271561565	0.414508893808291	0.529650113011205	0.319000552419978	0.453603050848404	0.318158315673985	0.497397701079428	0.306693581196016	0.333741691831412	0.454378696844409	0.0179786480168423	0.238758487217692	0.410305820499647	0.0188520764778114	0.502369821310988	0.235553000259777	0.268519427074962	0.365388626623022	0.42812743893545	0.430593683453395	0.305761864849032	0.0757580703756334	0.319168746191397	0.476744042213314
XT_D04-NFlex-R1-C	0.00347658611704112	0.513215226503549	0.563205455954859	0.478957474654407	0.654439824506653	0.52917308527633	0.524871654996053	0.529730247605623	0.562220542247236	0.602157675203654	0.47571298681647	0.432185329577445	0.429483850161037	0.501544931710121	0	0.651090090604347	0.511243688021059	0.428599685801971	0.653025445362479	0.432479154291515	0.602655846717065	0.432033696267357	0.0122866369993267	0.56518010656538	0.512467199711247	0.603535480312216	0.503850752512956	0.478777075897894	0.428443482925619	0.504888106580363	0.632772967246327	0.457030955413508	0.556090258284406	0.519804459863223	0.587275153256642	0.407430367392021	0.424271344211974	0.498285142660675	0.467622937250082	0.0799155297376446
XT_D10-NFlex-R1-A	0.650698708846801	0.408431177467737	0.294196519407693	0.506932931726692	0.00769245624643353	0.402104256767892	0.411853710045194	0.402850135659074	0.294892330813736	0.229769275726393	0.506699043688736	0.452176434056978	0.582448575911282	0.527745248600951	0.651090090604347	0	0.410389597334068	0.584952196975982	0.00318963393189653	0.451658975690566	0.22926825696954	0.450814940029348	0.650813272900397	0.290859400027265	0.410602128488639	0.228709974752535	0.534201182752981	0.506412278989769	0.582987802693859	0.534442132239758	0.101467522977336	0.528109835120128	0.335700039972288	0.427282376654714	0.251889989238048	0.58822766262048	0.490960489259087	0.571379240139856	0.482458816938966	0.635893788176225
