XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.000460033000046071	0.000800019000079985	0.000740013500135036	0.00118001880018805	0.00105001050010498	0.000889994699947015	0.00099999469994697	0.000790013500135026	0.005509994699947	0.000690013500135034	0.000400013400133985	0.000789993799938004	0.000650013500134988	6.00179001789791e-05	0.00112001880018805	0.000560018800187989	0.000949993799938005	0.001100018800188	0.000350023300035025	0.00551993420055199	0.00046001870018701	1.997300000197e-05	0.000830013500134978	0.000600018800188013	0.00583999469994698	0.000620013500135037	0.000720013500135012	0.000859993799938006	0.00062001880018799	0.001040018800188	0.000640006400063991	0.000729994699946977	0.00172998209982101	0.00516993770051702	0.00243996320024395	0.00052003220005205	0.000600018800188013	0.000950009500095032	0.000810008100081032
XT_D06-NFlex-R1-A	0.000460033000046071	0	0.000909990900091084	0.000509989300106966	0.000719985900140977	0.00133002030013305	0.00130001419985808	0.00140001419985804	0.000950003499965043	0.00576000349996507	0.000459989300106964	0.000290003499965084	0.00107000349996507	0.000439989300106918	0.000410014199858091	0.000659985900140976	9.99863001369181e-05	0.00123000339996607	0.000639985900140928	0.000289997100029045	0.00576994230057706	0.000260003499965059	0.00047999520004804	0.00104000349996509	0.000139986300136943	0.00609000349996505	0.000409989300106967	0.000489989300106942	0.00114000349996507	0.000409989300106919	0.000579986300136927	0.000510012100051079	0.000960003499965046	0.00219001419985808	0.00542994570054309	0.00271997280027202	0.000219997800021979	0.000289989300106943	0.000499983600049962	0.0012000404001201
XT_D08-NFlex-R1-C	0.000800019000079985	0.000909990900091084	0	0.000519987900121051	0.00105998250017506	0.000980045000097968	0.000960017599824001	0.00106001759982395	5.00175998239595e-05	0.00503001759982398	0.000479987900121049	0.000669987900120999	0.000600005499944988	0.000589987900121003	0.000750005499945006	0.00099998250017506	0.000919987900121003	0.000530005399945989	0.000979982500175013	0.000669993300067039	0.00498995010049898	0.000699987900121024	0.000819991800081955	0.000130012599874007	0.000929987900121027	0.00535001759982396	0.000669987900121051	0.000529987900121027	0.000630005499944989	0.000679987900121004	0.000969987900121012	0.000399979800040005	0.000200017599823962	0.00185001759982399	0.00504994950050501	0.00234997650023494	0.000779992200078063	0.000779987900121027	0.000899984800090047	0.00161002710016102
XT_D07-NFlex-R1-C	0.000740013500135036	0.000509989300106966	0.000519987900121051	0	0.000600000000000011	0.00144002740027402	0.00142000000000005	0.00152	0.00056000000000001	0.00549000000000003	9.00000000000016e-05	0.000350000000000051	0.00085000000000004	9.00000000000478e-05	0.000690000000000057	0.00054000000000001	0.000420000000000048	0.00089000000000004	0.000519999999999963	0.000399989900101011	0.00544993260067403	0.000310000000000026	0.000759986400136006	0.000650000000000058	0.000409999999999977	0.00581000000000002	0.000150000000000001	2.00000000000239e-05	0.000910000000000041	0.000159999999999953	0.000459999999999961	0.000220015200152046	0.000660000000000012	0.00231000000000004	0.00550993200068006	0.00280995900040999	0.000329990600093987	0.000259999999999977	0.000379996899968996	0.00155002160021607
XT_D10-NFlex-R1-C	0.00118001880018805	0.000719985900140977	0.00105998250017506	0.000600000000000011	0	0.00204002740027403	0.00202000000000006	0.00212000000000002	0.00111000000000002	0.00609000000000004	0.000690000000000013	0.000800000000000062	0.00145000000000005	0.000620000000000059	0.00113000000000007	6.00000000000011e-05	0.000620000000000059	0.00149000000000005	8.00000000000489e-05	0.000849984500155022	0.00604993260067404	0.000730000000000038	0.00119998110018902	0.00116000000000007	0.000580000000000035	0.00641000000000003	0.000570000000000011	0.000610000000000035	0.00151000000000005	0.000560000000000058	0.00015000000000005	0.000820015200152057	0.00126000000000002	0.00291000000000005	0.00610993200068007	0.00340995900041	0.000669986300136998	0.000580000000000035	0.000230009300093016	0.00192002620026208
XT_D05-NFlex-R1-C	0.00105001050010498	0.00133002030013305	0.000980045000097968	0.00144002740027402	0.00204002740027403	0	0.000160016800167966	0.000129989399893989	0.000930027400274008	0.00445998419984202	0.00135002740027402	0.00125002730027297	0.000910026500264978	0.00142002740027397	0.00105001590015896	0.00198002740027403	0.00142002740027397	0.000930026500264978	0.00196002740027398	0.00120004260012001	0.00446992370044701	0.00132002730027299	0.00105002130010501	0.00088002740027396	0.00146002740027399	0.004789984199842	0.00147002740027402	0.00143002740027399	0.000890026500264977	0.00148002740027397	0.00190002740027398	0.00122001220012197	0.000780027400274005	0.000869973499735026	0.00411992720041204	0.00138995270013897	0.00138004080013803	0.00146002740027399	0.00181001810018101	0.00112001120011195
XT_D05-NFlex-R1-A	0.000889994699947015	0.00130001419985808	0.000960017599824001	0.00142000000000005	0.00202000000000006	0.000160016800167966	0	0.000109999999999955	0.000910000000000041	0.00461999999999998	0.00133000000000005	0.00123	0.000890000000000011	0.0014	0.000899999999999993	0.00196000000000006	0.0014	0.00091000000000001	0.00194000000000001	0.00118001529984704	0.00462993950060498	0.00130000000000002	0.000890005399946044	0.000859999999999993	0.00144000000000003	0.00494999999999997	0.00145000000000005	0.00141000000000003	0.00087000000000001	0.00146	0.00188000000000001	0.001199984899849	0.000760000000000038	0.000889999999999993	0.00427994300057001	0.00154996940030594	0.00136001349986506	0.00144000000000003	0.00178999079990805	0.000959995399953984
XT_D05-NFlex-R1-B	0.00099999469994697	0.00140001419985804	0.00106001759982395	0.00152	0.00212000000000002	0.000129989399893989	0.000109999999999955	0	0.00101	0.00451000000000003	0.00143	0.00132999999999995	0.000989999999999965	0.00149999999999996	0.000999999999999948	0.00206000000000001	0.00149999999999996	0.00100999999999996	0.00203999999999997	0.00128001529984699	0.00451993950060502	0.00139999999999998	0.001000005399946	0.000959999999999947	0.00153999999999998	0.00484000000000001	0.00155000000000001	0.00150999999999998	0.000969999999999964	0.00155999999999996	0.00197999999999997	0.00129998489984896	0.000859999999999992	0.000790000000000039	0.00416994300057006	0.00143996940030598	0.00146001349986502	0.00153999999999998	0.001889990799908	0.00106999539995394
XT_D08-NFlex-R1-B	0.000790013500135026	0.000950003499965043	5.00175998239595e-05	0.00056000000000001	0.00111000000000002	0.000930027400274008	0.000910000000000041	0.00101	0	0.00498000000000002	0.000520000000000008	0.000709999999999959	0.00059000000000003	0.000629999999999962	0.000740000000000048	0.00105000000000002	0.000959999999999962	0.000520000000000031	0.00102999999999997	0.000710005399945998	0.00493993260067402	0.000739999999999984	0.000809986400135996	9.00000000000483e-05	0.000969999999999986	0.00530000000000001	0.00071000000000001	0.000569999999999986	0.000620000000000031	0.000719999999999963	0.00100999999999997	0.000439991899918964	0.000150000000000003	0.00180000000000003	0.00499993200068005	0.00229995900040998	0.000820004299957022	0.000819999999999986	0.000939996899969006	0.00160002160021606
XT_D02-NFlex-R1-B	0.005509994699947	0.00576000349996507	0.00503001759982398	0.00549000000000003	0.00609000000000004	0.00445998419984202	0.00461999999999998	0.00451000000000003	0.00498000000000002	0	0.00540000000000003	0.00549999999999998	0.00503999999999999	0.00546999999999999	0.00550999999999998	0.00603000000000004	0.00576999999999999	0.00500999999999999	0.00601	0.00550000539994602	5.00069999299998e-05	0.00553000000000001	0.00551000539994603	0.00492999999999998	0.00578000000000001	0.000329999999999983	0.00552000000000003	0.00548000000000001	0.00500999999999999	0.00552999999999999	0.00595	0.00526998489984899	0.00483000000000002	0.00420999999999999	0.000359989000110031	0.00398002069979305	0.00561000429995704	0.00561000000000001	0.00585999079990803	0.00557999539995397
