XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.213134110771936	0.349446712607607	0.183744339701078	0.407468791542311	0.359891644089336	0.356474636882711	0.360982179652303	0.349092030901804	0.430060104025286	0.181175631013332	0.221643563942293	0.311367050237022	0.19284584539662	0.00103254340075823	0.403108597852811	0.209946817883247	0.31472019857596	0.405433746959504	0.221270660299881	0.430324763800771	0.220896912713998	0.00669750398714605	0.351542526003075	0.210880566429139	0.431920548430998	0.195216422033576	0.182044084662822	0.314013247007594	0.195935837273294	0.351522072126512	0.148268778544167	0.327196151574802	0.316646985310707	0.397807443957433	0.231096014353226	0.181588520539841	0.15946560925608	0.151231125551523	0.0311584380822009
XT_D06-NFlex-R1-A	0.213134110771936	0	0.141559727542784	0.0891362070267391	0.208688402980309	0.166479574071102	0.164975354493471	0.166849755459982	0.141235015524494	0.221762880919565	0.0911149178316474	0.0518420123165094	0.131382131537532	0.101140185475459	0.213042791790566	0.204058232312404	0.00364761990804039	0.139432028422801	0.206473359405475	0.0515935097268258	0.222047509279188	0.0509124723602625	0.211724238484987	0.143965561933839	0.00270466534503744	0.223693343630489	0.0990096532424847	0.0906464371620156	0.136031687372113	0.0983611133619138	0.155012359050885	0.116496626410455	0.119932594645252	0.124793835414643	0.190910676788512	0.196495913129433	0.0787369879943823	0.141554601026074	0.0774962742175857	0.219762950791976
XT_D08-NFlex-R1-C	0.349446712607607	0.141559727542784	0	0.184315603011143	0.078791156765045	0.106541559328403	0.109957534092525	0.105731162233827	0.000514743523225313	0.0889047343496587	0.186784807670354	0.158061760868547	0.152262876720475	0.196730728806888	0.349435596193972	0.0742109329726331	0.14500725391985	0.156698994254158	0.0766360935796517	0.158395965652712	0.0891494356457664	0.15826887599419	0.34865411748773	0.00286604055625436	0.144064221818348	0.0908151928597011	0.194790245286344	0.185945846947607	0.154036317639807	0.194181902314238	0.0998933003272976	0.229461196373524	0.0308713962197773	0.116662571653403	0.0552020103266448	0.295214482937543	0.209236919387369	0.245677866559724	0.217585692995529	0.35696078831188
XT_D07-NFlex-R1-C	0.183744339701078	0.0891362070267391	0.184315603011143	0	0.258815607198051	0.242071208281066	0.240266580668254	0.242351355754858	0.18408089279005	0.261257756219646	0.00285907750486793	0.10013401775184	0.166725508646254	0.0331798972146395	0.183723222588877	0.254365346984328	0.0867394816458061	0.170108985553903	0.256640513400648	0.10000186862158	0.261462406093863	0.0998878790243569	0.182981766495012	0.185991262362089	0.0879049184882884	0.263158212329113	0.033730040751424	0.00275041256188429	0.16944163417525	0.0337515255384174	0.202558803857187	0.048755792803985	0.162747752164625	0.198404819650054	0.226815090030446	0.206087478222566	0.109174769865702	0.0744816856171191	0.0956711044839744	0.191218471556678
XT_D10-NFlex-R1-C	0.407468791542311	0.208688402980309	0.078791156765045	0.258815607198051	0	0.112657531356198	0.115582669901732	0.112077247016871	0.0790458091618323	0.0811880484442892	0.261244993520163	0.215264676003274	0.180192658920677	0.270650766812527	0.407567528872844	0.00617164141784327	0.212055808909286	0.186197677662589	0.00385620108048253	0.215608352906138	0.0814526580961591	0.215791640581728	0.405635313630412	0.076755351070214	0.211112358507071	0.0829984849494505	0.268670271688746	0.260375839732631	0.182956640739513	0.268042018358459	0.0885664733094653	0.30435163411013	0.103410197208537	0.156072938780885	0.0741144377912842	0.306526325271456	0.268192173224386	0.31859743587642	0.274382198277241	0.411159011463309
XT_D05-NFlex-R1-C	0.359891644089336	0.166479574071102	0.106541559328403	0.242071208281066	0.112657531356198	0	0.00564963078756954	0.00150073536032654	0.106481849540962	0.123664721703873	0.24389945582292	0.16820317471992	0.203699789591306	0.249140195725163	0.359810283868437	0.112407315676622	0.168846232223255	0.208715248735577	0.112667450321745	0.168075879284027	0.123634874676116	0.167369253041149	0.35816818547192	0.106921937558566	0.16776061699004	0.123866685013338	0.246839620581377	0.243531406900858	0.205813469602936	0.246290883289023	0.152273017811655	0.269061289199508	0.0952758308264357	0.0524181925678789	0.116941663305492	0.337636798365226	0.199306761261284	0.288692284183238	0.220269218086958	0.363001432725528
XT_D05-NFlex-R1-A	0.356474636882711	0.164975354493471	0.109957534092525	0.240266580668254	0.115582669901732	0.00564963078756954	0	0.00667071642388958	0.109887870238233	0.127390881171308	0.242074854829933	0.166258083773912	0.201794504239268	0.247325240783122	0.356383274161799	0.11533245442224	0.167342012145061	0.206809963883803	0.115592588667016	0.16613078913877	0.127451321047608	0.165424163096121	0.35474117406358	0.110358655954987	0.166256397312038	0.129107042039391	0.245024665639336	0.241716798200884	0.203918182948597	0.244475928346983	0.150137830016028	0.267476868238748	0.0987517412108121	0.0494919378606318	0.120617625591414	0.335931582230058	0.197071447264209	0.286927231529794	0.216021251924384	0.359564398096299
XT_D05-NFlex-R1-B	0.360982179652303	0.166849755459982	0.105731162233827	0.242351355754858	0.112077247016871	0.00150073536032654	0.00667071642388958	0	0.105671437936375	0.122924368933416	0.24416961820819	0.168653395328018	0.204280073930633	0.249550396723652	0.360910822231821	0.111827031337296	0.169216413612135	0.209295539079586	0.112087157576535	0.168526099892125	0.122894530111467	0.167819473649247	0.359258720434334	0.106121403168289	0.16813079837892	0.122964363524764	0.247249821579866	0.243801573287488	0.206393753942262	0.246701084287513	0.152843305054199	0.269401455881182	0.0944754386342615	0.0534270989014883	0.1162012933224	0.338267119126208	0.199867035795806	0.289132499888934	0.2213797622536	0.364071957282561
XT_D08-NFlex-R1-B	0.349092030901804	0.141235015524494	0.000514743523225313	0.18408089279005	0.0790458091618323	0.106481849540962	0.109887870238233	0.105671437936375	0	0.089209265394729	0.186540098850028	0.15773715289249	0.151948258340153	0.196456059904154	0.349080914287986	0.0744555892714481	0.144682547503919	0.156394376373549	0.0768907517788177	0.158071357276367	0.089453962188859	0.157944267817991	0.348299435381558	0.00318063612722546	0.143739527308106	0.0911197195028348	0.194525456729255	0.185711136826555	0.153721699359526	0.193927213002317	0.0997634367887011	0.2291865146655	0.0304768267628299	0.116552919003674	0.0555166257057364	0.294859867860255	0.208862319016838	0.24541319635566	0.217181011993315	0.35660610540454
XT_D02-NFlex-R1-B	0.430060104025286	0.221762880919565	0.0889047343496587	0.261257756219646	0.0811880484442892	0.123664721703873	0.127390881171308	0.122924368933416	0.089209265394729	0	0.263637073519763	0.242725683864523	0.234766343922541	0.271492506038408	0.430019037452115	0.085279667544304	0.225280435305434	0.239272528086518	0.0846941550011651	0.243069889347896	0.000354680180106298	0.242922791486363	0.429337563440766	0.0865387188824498	0.224317465935558	0.00202048491637992	0.269562023517802	0.262797992656408	0.23652977853947	0.268933869940013	0.167714014929203	0.306173481635593	0.119386203827726	0.173592370694889	0.0376040798428782	0.376947647332927	0.294691057946893	0.320319641598747	0.29855894897967	0.437914446914882
