XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.204367127302433	0.328576650894081	0.170543998380197	0.337046548738368	0.306242061150396	0.30126764775089	0.306886334926503	0.328240977031941	0.392296733248505	0.167801029250188	0.199742479473836	0.186171447225836	0.17290688894565	0.000880149625436366	0.332801773969365	0.200912918572495	0.182039655363929	0.3336274897351	0.199125479710673	0.392511749399638	0.198775441206437	0.00631697387055577	0.330661194851545	0.201953022582896	0.393956860158352	0.175990010410981	0.168821100655186	0.184578417864595	0.176815797474225	0.251290902808146	0.123097900031142	0.30286279080485	0.257137381114986	0.36199930760371	0.0489846922068599	0.156212855489377	0.135413514541954	0.140901006864926	0.0252842983307162
XT_D06-NFlex-R1-A	0.204367127302433	0	0.127940235218818	0.0808964717177374	0.133559520445204	0.12443389928252	0.121962911295299	0.124308759487421	0.127604569057987	0.191660336677281	0.0828394208492266	0.030655826603542	0.0328160454256482	0.0943348720490373	0.204367127302433	0.129394727872096	0.00347421033006576	0.0390095799539476	0.130220417633411	0.0307925287094805	0.191835358029762	0.0304524913053661	0.203629065941618	0.130034787377604	0.00245409911820847	0.193340448784611	0.0917319370148071	0.0823393864468665	0.0357996038749016	0.0912564784196217	0.0712957036562925	0.106381068764581	0.102426419536105	0.0761000829257195	0.161622929834387	0.156532522601808	0.0786962957036563	0.128807974628269	0.0753183652330021	0.212748552144656
XT_D08-NFlex-R1-C	0.328576650894081	0.127940235218818	0	0.165083206656533	0.0457234932629994	0.0762753574020056	0.0797301964174936	0.0754562383353974	0.000355672361740698	0.0663302574661914	0.167026155888037	0.149726406355333	0.143415628465799	0.178361595286995	0.328596654294659	0.0431283420076172	0.131314409943275	0.147737581152221	0.0437835026802143	0.150183670775831	0.0664652214081316	0.150213674076194	0.327688657458952	0.00228449414755668	0.130254303732637	0.0680504776905709	0.175758661352974	0.166536121185576	0.145088701434605	0.175273203758129	0.0806964557164574	0.208268865163469	0.0293743769528565	0.0933139950950032	0.035292823425874	0.282082566605328	0.200156012480999	0.221655668867787	0.202708553147804	0.336658024727633
XT_D07-NFlex-R1-C	0.170543998380197	0.0808964717177374	0.165083206656533	0	0.210516675317424	0.1936494509291	0.191188471444753	0.193544316335209	0.164837649313552	0.229503312810754	0.00279297753098896	0.0666425637283306	0.0492405619072188	0.0149814888452369	0.170564001780775	0.207921524862192	0.0782834649974318	0.0429869449659579	0.208566685334827	0.0663461472841379	0.229648279253079	0.0662761395832908	0.169656008546094	0.166607808227822	0.0795035778079768	0.231253532634875	0.016121893211803	0.00177290832632071	0.0462669829539798	0.0163325219475973	0.151472117769421	0.0477061223511984	0.143800017252705	0.14536564517448	0.198475878070246	0.124229938395072	0.0784462757020561	0.0585426198238633	0.0817855602760422	0.178575378115904
XT_D10-NFlex-R1-C	0.337046548738368	0.133559520445204	0.0457234932629994	0.210516675317424	0	0.0536983746482827	0.0596141911473577	0.0529843896753901	0.0459590537065728	0.0583408291324677	0.212469622648563	0.160776077607761	0.162516251625162	0.224045080048804	0.337036547038079	0.00425478087007228	0.136933693369337	0.168689782953134	0.00342906860491636	0.161233341828217	0.0585158515851585	0.16126334512858	0.336308482576017	0.0441988952923155	0.135893589358936	0.0600409382392141	0.221442144214421	0.211959586946064	0.165499810274454	0.220956686419532	0.0861857321422997	0.235991267363513	0.0672167216721672	0.104613685348851	0.044084571470188	0.289121917432162	0.211195685733867	0.258508180927803	0.208337835373649	0.345477982082036
XT_D05-NFlex-R1-C	0.306242061150396	0.12443389928252	0.0762753574020056	0.1936494509291	0.0536983746482827	0	0.00597581629685618	0.000939157476378431	0.0761950845561997	0.108538915257321	0.195912553181404	0.131835680992661	0.153489530864011	0.202406959212569	0.306292069651841	0.0494635968783953	0.126966875798029	0.159913307029501	0.0502893114439263	0.131952369696006	0.10870387379796	0.131672339492785	0.305264105229439	0.0772251772645436	0.125756754785927	0.110249148883767	0.199073807143674	0.195322515879473	0.156533153024829	0.198498033880465	0.060002249246281	0.222004377608774	0.0645436501883088	0.0509953168004234	0.0870362110690747	0.2699855452145	0.16302482438896	0.235939972382938	0.181984348978141	0.313473290459378
XT_D05-NFlex-R1-A	0.30126764775089	0.121962911295299	0.0797301964174936	0.191188471444753	0.0596141911473577	0.00597581629685618	0	0.00665979997024798	0.0796499235716878	0.114444728855651	0.193441576997968	0.128593570106268	0.151018544477398	0.199835790560272	0.301317659453552	0.0553694156782215	0.124495887810808	0.15744232734461	0.0561951307438375	0.128710258809612	0.114609692897995	0.128430229006544	0.300289691829934	0.0806800162800316	0.123285766798706	0.116154961681793	0.196502638491377	0.192861536395126	0.154062166638216	0.195926865228168	0.0550278486516411	0.219533393623073	0.0679984898038708	0.0468320856431479	0.0904810447829054	0.267514558027583	0.159782713502566	0.233358799229287	0.177009955385462	0.308398822042538
XT_D05-NFlex-R1-B	0.306886334926503	0.124308759487421	0.0754562383353974	0.193544316335209	0.0529843896753901	0.000939157476378431	0.00665979997024798	0	0.0753759654895915	0.107804931885169	0.195797421888425	0.131740306314443	0.153364391469052	0.20235179210577	0.306936344828438	0.0487396142062539	0.12684173600293	0.159798175236236	0.0495653292718699	0.131856995017787	0.107979890825793	0.13157696911582	0.305908379005546	0.0764060581979354	0.125631614990828	0.109515166511737	0.199018640036875	0.195217381285583	0.15640801362987	0.198442866773666	0.0606565280238322	0.221879245415675	0.0637145329223567	0.0516592986737613	0.0861970876015383	0.269860405619471	0.163342331454049	0.235864801075281	0.182648635057392	0.314037541329917
XT_D08-NFlex-R1-B	0.328240977031941	0.127604569057987	0.000355672361740698	0.164837649313552	0.0459590537065728	0.0761950845561997	0.0796499235716878	0.0753759654895915	0	0.0666459981398326	0.166780598445033	0.149390659280747	0.143079954803693	0.178126031342821	0.32826098043252	0.0433639027512476	0.130968739281745	0.147401909390438	0.0440190652241508	0.149847923701246	0.0667809623818239	0.149877927001609	0.327352983796846	0.0026202358212239	0.12992863467123	0.0683662200645032	0.1755230974088	0.166290564142632	0.1447530277725	0.175037639813954	0.0803607934562899	0.207923121189475	0.0290386269777781	0.0929882459199888	0.0356085652997193	0.281746894243444	0.199820268706974	0.221329919692772	0.202362885586808	0.336322350865493
XT_D02-NFlex-R1-B	0.392296733248505	0.191660336677281	0.0663302574661914	0.229503312810754	0.0583408291324677	0.108538915257321	0.114444728855651	0.107804931885169	0.0666459981398326	0	0.231866134520767	0.21555661341654	0.207125716221951	0.240511646048144	0.392316736649083	0.0624756228060525	0.195034502100088	0.211507700512935	0.0616299365454772	0.21601387703687	0.000225021952145719	0.216043880337233	0.391408743414401	0.0640757668190137	0.194014399989868	0.00175023662683384	0.238518905145307	0.230966072716548	0.208788790991189	0.237943722311893	0.144396557275082	0.27395908182715	0.0955446057151844	0.159434226058201	0.0315074584410813	0.345752656462179	0.265996225843221	0.287295856627096	0.266478663207298	0.400308095180033
