XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.569791156508008	0.594727071500849	0.509973762272575	0.752241345381594	0.590818362207336	0.589772857098926	0.591713873708892	0.594830178067654	0.635743965397702	0.5087159341392	0.492863090370053	0.481219651198961	0.567541787945568	0.00587372082183715	0.749566453115576	0.568061169702194	0.480333781149975	0.752719220499777	0.492780624896237	0.635778040877458	0.491901683991612	0.0135788278742213	0.592970196683552	0.568826949295062	0.636645661259112	0.570194218342489	0.510086152391211	0.479950791167051	0.570967412475088	0.75695758142314	0.493982097191745	0.596166667117274	0.603017934855415	0.648047705405013	0.479362593233742	0.495942710909548	0.579497302770691	0.551211265018102	0.0650101218410237
XT_D06-NFlex-R1-A	0.569791156508008	0	0.347661570978917	0.480281308389311	0.698396176735856	0.512943620386612	0.512398999219703	0.513330097512952	0.347508265414083	0.639645683111626	0.480014619240787	0.422367912224533	0.551156111819647	0.465134655319596	0.570049083738022	0.696083752944304	0.00900107220981165	0.557552009247366	0.698540825734137	0.421127026203779	0.639698618717449	0.421352765811913	0.568591923012785	0.348632684714115	0.00608744960363718	0.639795684999397	0.464697646187556	0.47876848021989	0.55522752848079	0.465204840611359	0.706617597687161	0.483657037173962	0.370507503031305	0.524528232405768	0.647665507470562	0.547542103037484	0.427712313572008	0.469449285009098	0.104371504814277	0.566023114774721
XT_D08-NFlex-R1-C	0.594727071500849	0.347661570978917	0	0.473581790369976	0.679399241252969	0.556457641885795	0.557417723597227	0.557206654736768	0.00466390255450107	0.501335487223725	0.474930373488058	0.466310760641042	0.566422355187818	0.435252690060725	0.595087666267819	0.677240056807773	0.347058270909744	0.573628544003874	0.679899437116493	0.465909152977455	0.501481060832809	0.465635580177305	0.593323029020792	0.0129986093441635	0.347836181043871	0.501783887564105	0.439712393364216	0.473583565437843	0.570899135568778	0.440267874627917	0.690343603997396	0.498128740717319	0.0675993865600887	0.577853576998948	0.50312078339946	0.579612360858728	0.473788204817138	0.456030669344067	0.367025149107788	0.590941009139334
XT_D07-NFlex-R1-C	0.509973762272575	0.480281308389311	0.473581790369976	0	0.683650630896474	0.561087496889188	0.559584371524447	0.560997871192785	0.473486255593678	0.594746584462134	0.0104546972682154	0.432698512240436	0.480593396491424	0.411871522778704	0.510715395615609	0.680728288047775	0.479316882975534	0.488975931093628	0.683669711425293	0.432715040274902	0.59484940335443	0.432083104542829	0.508972838952666	0.47843076919731	0.480142714355678	0.595396848089532	0.412237209940422	0.00639378522961208	0.485961403079109	0.412084571690705	0.693857500778259	0.135683045542952	0.4678346896563	0.573687746311374	0.601277159904176	0.489578616911492	0.437433506273301	0.41429287570758	0.484025996804734	0.510918076600541
XT_D10-NFlex-R1-C	0.752241345381594	0.698396176735856	0.679399241252969	0.683650630896474	0	0.679920070273164	0.683464919658213	0.680791742188563	0.679341287665873	0.690758472058305	0.680887834915808	0.684469291358919	0.696889161986336	0.64353312406676	0.752282114006351	0.0106767969259159	0.698031623855623	0.698620011436623	0.00767329259857648	0.68386184549836	0.690808105750039	0.683124253798591	0.75348784069539	0.67797335741097	0.699040031647434	0.690781734293491	0.648298465378183	0.683202448192086	0.697374084082392	0.648913420911356	0.0962499583334585	0.668854447440372	0.67577852718927	0.683501252638645	0.674230988056495	0.682023340340065	0.682781793575045	0.655790444466885	0.70991351725572	0.747147185978702
XT_D05-NFlex-R1-C	0.590818362207336	0.512943620386612	0.556457641885795	0.561087496889188	0.679920070273164	0	0.0171118586906461	0.00636581987504947	0.55674734697024	0.572435181965848	0.559945115228872	0.492464110353506	0.601584835275466	0.561405482090076	0.590735036219771	0.678164182879362	0.511689185935896	0.603478123371052	0.680436225239574	0.491904528356394	0.572487251212495	0.492298588396764	0.590287861668901	0.557187245667257	0.512014762227834	0.572762981912927	0.562335125023133	0.560931151701882	0.602289450805074	0.561871570884985	0.690771333556894	0.536076906122486	0.547701915480089	0.0651001404476019	0.580002943183827	0.591237322042478	0.504030810309556	0.553332427541544	0.501273699694232	0.582195880352201
XT_D05-NFlex-R1-A	0.589772857098926	0.512398999219703	0.557417723597227	0.559584371524447	0.683464919658213	0.0171118586906461	0	0.0152673288982337	0.557648319485821	0.575426339802881	0.558552724213506	0.492388916739203	0.600200105861176	0.560967093309277	0.589940285829444	0.68170505077776	0.511298114523605	0.602187593944184	0.683980127061046	0.491897994113058	0.575419827211858	0.492290332643841	0.588655539635949	0.558295449929391	0.511583247486823	0.575871871193064	0.561685010355636	0.559439164363873	0.600959770055312	0.561227286182512	0.693638954753353	0.534706548320252	0.547681502828476	0.0662385487509176	0.583689572112396	0.590391762878341	0.503977569295412	0.552495853668636	0.498526469333953	0.582592291973316
XT_D05-NFlex-R1-B	0.591713873708892	0.513330097512952	0.557206654736768	0.560997871192785	0.680791742188563	0.00636581987504947	0.0152673288982337	0	0.557402933603414	0.572724952451153	0.559850376888835	0.493632185824219	0.602001704881625	0.561604105066006	0.591710767437845	0.67903044897853	0.512124734023802	0.603926669290834	0.681305018390781	0.493091730045438	0.572792247457473	0.493465688059993	0.591244139315181	0.558030985707998	0.512411426246405	0.573038299015897	0.56249533285582	0.560831797454599	0.602712548486322	0.562037413952824	0.691228302498926	0.535972109029846	0.548078897843714	0.0645877341934869	0.580202606641234	0.591643432790706	0.505077453490158	0.553515947156196	0.502296796110521	0.583100627936634
XT_D08-NFlex-R1-B	0.594830178067654	0.347508265414083	0.00466390255450107	0.473486255593678	0.679341287665873	0.55674734697024	0.557648319485821	0.557402933603414	0	0.501838211114725	0.474844885103848	0.465323667265218	0.566486604550368	0.434315841262152	0.595146715680289	0.677171790209031	0.34693679349148	0.573705106008537	0.679851368939846	0.464933555118326	0.501983745228164	0.46468579083063	0.593401862025605	0.0138946380272884	0.347675074142107	0.502296659761038	0.438728064141997	0.472646388421183	0.570931940926178	0.439244027286967	0.690449995858874	0.498030545132547	0.0660139644413888	0.578030818574871	0.503682163118536	0.579593438361319	0.472716157804194	0.455048639048605	0.366267080933468	0.591009849544148
XT_D02-NFlex-R1-B	0.635743965397702	0.639645683111626	0.501335487223725	0.594746584462134	0.690758472058305	0.572435181965848	0.575426339802881	0.572724952451153	0.501838211114725	0	0.594346450459689	0.599110215022678	0.662446222738115	0.567588230744442	0.635709866447364	0.689623908523859	0.638975060767571	0.664065813548651	0.692211637281087	0.598868377437023	0.00280932994111627	0.598748641739329	0.636182855729782	0.500915257116406	0.639640579815827	0.005534899668341	0.570084102666863	0.59471602816675	0.662897228755296	0.570217133815927	0.712694838365323	0.597605724239996	0.508682306574638	0.587937334911404	0.0635964376410267	0.677095197616749	0.61063555277177	0.578375714477469	0.643846896018823	0.63259924862033
