sample	tax.level	method	value
XT_D04-NFlex-R1-A	kingdom	shannon	0.015
XT_D06-NFlex-R1-A	kingdom	shannon	0.012
XT_D08-NFlex-R1-C	kingdom	shannon	0.014
XT_D07-NFlex-R1-C	kingdom	shannon	0.011
XT_D10-NFlex-R1-C	kingdom	shannon	0.006
XT_D05-NFlex-R1-C	kingdom	shannon	0.021
XT_D05-NFlex-R1-A	kingdom	shannon	0.021
XT_D05-NFlex-R1-B	kingdom	shannon	0.022
XT_D08-NFlex-R1-B	kingdom	shannon	0.015
XT_D02-NFlex-R1-B	kingdom	shannon	0.043
XT_D07-NFlex-R1-B	kingdom	shannon	0.012
XT_D09-NFlex-R1-B	kingdom	shannon	0.013
XT_D03-NFlex-R1-C	kingdom	shannon	0.018
XT_D01-NFlex-R1-A	kingdom	shannon	0.011
XT_D04-NFlex-R1-C	kingdom	shannon	0.015
XT_D10-NFlex-R1-A	kingdom	shannon	0.007
XT_D06-NFlex-R1-B	kingdom	shannon	0.011
XT_D03-NFlex-R1-B	kingdom	shannon	0.018
XT_D10-NFlex-R1-B	kingdom	shannon	0.007
XT_D09-NFlex-R1-C	kingdom	shannon	0.013
XT_D02-NFlex-R1-A	kingdom	shannon	0.043
XT_D09-NFlex-R1-A	kingdom	shannon	0.012
XT_D04-NFlex-R1-B	kingdom	shannon	0.015
XT_D08-NFlex-R1-A	kingdom	shannon	0.015
XT_D06-NFlex-R1-C	kingdom	shannon	0.011
XT_D02-NFlex-R1-C	kingdom	shannon	0.045
XT_D01-NFlex-R1-C	kingdom	shannon	0.011
XT_D07-NFlex-R1-A	kingdom	shannon	0.011
XT_D03-NFlex-R1-A	kingdom	shannon	0.018
XT_D01-NFlex-R1-B	kingdom	shannon	0.011
Flex_D10-NF-R1	kingdom	shannon	0.007
Flex_D07-NF-R1	kingdom	shannon	0.013
Flex_D08-NF-R1	kingdom	shannon	0.016
Flex_D05-NF-R1	kingdom	shannon	0.027
Flex_D02-NF-R1	kingdom	shannon	0.044
Flex_D03-NF-R1	kingdom	shannon	0.031
Flex_D09-NF-R1	kingdom	shannon	0.012
Flex_D01-NF-R1	kingdom	shannon	0.011
Flex_D06-NF-R1	kingdom	shannon	0.008
Flex_D04-NF-R1	kingdom	shannon	0.02
XT_D04-NFlex-R1-A	kingdom	simpson	0.004
XT_D06-NFlex-R1-A	kingdom	simpson	0.003
XT_D08-NFlex-R1-C	kingdom	simpson	0.004
XT_D07-NFlex-R1-C	kingdom	simpson	0.003
XT_D10-NFlex-R1-C	kingdom	simpson	0.001
XT_D05-NFlex-R1-C	kingdom	simpson	0.005
XT_D05-NFlex-R1-A	kingdom	simpson	0.005
XT_D05-NFlex-R1-B	kingdom	simpson	0.006
XT_D08-NFlex-R1-B	kingdom	simpson	0.004
XT_D02-NFlex-R1-B	kingdom	simpson	0.013
XT_D07-NFlex-R1-B	kingdom	simpson	0.003
XT_D09-NFlex-R1-B	kingdom	simpson	0.003
XT_D03-NFlex-R1-C	kingdom	simpson	0.004
XT_D01-NFlex-R1-A	kingdom	simpson	0.003
XT_D04-NFlex-R1-C	kingdom	simpson	0.004
XT_D10-NFlex-R1-A	kingdom	simpson	0.002
XT_D06-NFlex-R1-B	kingdom	simpson	0.003
XT_D03-NFlex-R1-B	kingdom	simpson	0.004
XT_D10-NFlex-R1-B	kingdom	simpson	0.002
XT_D09-NFlex-R1-C	kingdom	simpson	0.003
XT_D02-NFlex-R1-A	kingdom	simpson	0.013
XT_D09-NFlex-R1-A	kingdom	simpson	0.003
XT_D04-NFlex-R1-B	kingdom	simpson	0.004
XT_D08-NFlex-R1-A	kingdom	simpson	0.004
XT_D06-NFlex-R1-C	kingdom	simpson	0.003
XT_D02-NFlex-R1-C	kingdom	simpson	0.014
XT_D01-NFlex-R1-C	kingdom	simpson	0.003
XT_D07-NFlex-R1-A	kingdom	simpson	0.003
XT_D03-NFlex-R1-A	kingdom	simpson	0.004
XT_D01-NFlex-R1-B	kingdom	simpson	0.003
Flex_D10-NF-R1	kingdom	simpson	0.002
Flex_D07-NF-R1	kingdom	simpson	0.003
Flex_D08-NF-R1	kingdom	simpson	0.004
Flex_D05-NF-R1	kingdom	simpson	0.007
Flex_D02-NF-R1	kingdom	simpson	0.014
Flex_D03-NF-R1	kingdom	simpson	0.008
Flex_D09-NF-R1	kingdom	simpson	0.003
Flex_D01-NF-R1	kingdom	simpson	0.003
Flex_D06-NF-R1	kingdom	simpson	0.002
Flex_D04-NF-R1	kingdom	simpson	0.005
XT_D04-NFlex-R1-A	phylum	shannon	0.699
XT_D06-NFlex-R1-A	phylum	shannon	0.835
XT_D08-NFlex-R1-C	phylum	shannon	0.815
XT_D07-NFlex-R1-C	phylum	shannon	0.735
XT_D10-NFlex-R1-C	phylum	shannon	0.883
XT_D05-NFlex-R1-C	phylum	shannon	1.034
XT_D05-NFlex-R1-A	phylum	shannon	1.041
XT_D05-NFlex-R1-B	phylum	shannon	1.033
XT_D08-NFlex-R1-B	phylum	shannon	0.815
XT_D02-NFlex-R1-B	phylum	shannon	0.771
XT_D07-NFlex-R1-B	phylum	shannon	0.733
XT_D09-NFlex-R1-B	phylum	shannon	0.919
XT_D03-NFlex-R1-C	phylum	shannon	0.805
XT_D01-NFlex-R1-A	phylum	shannon	0.788
XT_D04-NFlex-R1-C	phylum	shannon	0.701
XT_D10-NFlex-R1-A	phylum	shannon	0.887
XT_D06-NFlex-R1-B	phylum	shannon	0.834
XT_D03-NFlex-R1-B	phylum	shannon	0.794
XT_D10-NFlex-R1-B	phylum	shannon	0.886
XT_D09-NFlex-R1-C	phylum	shannon	0.919
XT_D02-NFlex-R1-A	phylum	shannon	0.771
XT_D09-NFlex-R1-A	phylum	shannon	0.918
XT_D04-NFlex-R1-B	phylum	shannon	0.714
