XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
unclassified	11.755351070214	5.71940035802506	5.88841218885322	5.37153715371537	5.64950845576102	13.3936162763946	13.6738715130177	13.4388221526521	5.88258825882588	7.32365912932164	5.42259648561342	9.72036085051907	6.49784471981358	7.36510476571486	11.6482131605005	5.64756475647565	5.70245619649572	6.38157434169075	5.62073069499035	9.74236393095033	7.30473047304731	9.64535034904887	11.7622348246167	5.90341323892672	5.71045683654692	7.31251187583131	7.30873087308731	5.3836460375245	6.51452116169294	7.32902606364891	5.12056326195882	5.35948235341181	6.39083080800504	13.9330652743604	7.28187382485898	6.2750040006401	7.8119374324919	7.07484898187783	5.56422256890276	11.6344432330789
classified at a higher level	4.78395679135827	7.55552888702209	7.72554078785515	6.73167316731673	8.60377433969057	10.6898862692927	10.7902659558507	10.7262525130277	7.7017701770177	11.7930613755238	6.71073818119993	7.55005700798112	5.83675877864122	7.08606290943642	4.81391464378232	8.56185618561856	7.48559884790783	5.77952015681411	8.52510826407433	7.54705658792231	11.8181818181818	7.59206288880443	4.72589792060491	7.77654435810507	7.50960076806144	11.8658306081426	7.03270327032703	6.74680961715406	5.82246579726378	7.07299021863061	7.25979857784356	6.14055264973848	6.38783041795433	9.96019124207326	10.2702324278913	5.09681549047848	6.41476977237268	6.20774492939153	6.10024400976039	4.62497124396123
Clostridia	63.2236447289458	53.1907233506345	44.8731411198784	59.5369536953695	39.2865357882209	34.1822292018845	34.1181648146111	34.1191650246552	44.9154915491549	36.6172955566001	59.6585624418686	48.7768287560258	46.8530909018172	57.9616942541381	63.2330142727118	39.6729672967297	53.4562765021202	46.6712004080367	39.5171372278396	48.7938311363591	36.5976597659766	48.8418378573	62.7719266660666	44.696128729011	53.3402672213777	36.4565519586371	57.8007800780078	59.744169300316	46.6207296583727	57.7060788510391	44.7269199611957	60.9964896840716	46.79408323082	37.4502390525916	39.6977637316478	53.7105936949912	52.5113013561627	60.8383005960715	56.6542661706468	61.3748887266326
Bacteroidia	8.8377675535107	27.3039112737892	38.3476843379037	24.1074107410741	38.8674980748267	31.1504106108649	30.602426509567	31.2005521159443	38.3328332833283	42.712844155974	23.884627309004	23.9933590702698	26.1754028023643	22.4503675551333	8.84868124943739	38.5078507850785	27.0331626530122	25.8403256293066	38.6040185224079	23.9563538895445	42.7272727272727	23.980357250015	8.89969094127884	38.5166961687318	27.1121689735179	42.8169971898033	22.6402640264026	23.9648757850942	26.0240819265541	22.681175364551	32.0525257778356	20.243821943975	36.0446858091552	27.2790013803037	40.4548545825499	13.7902064330293	20.3854462535504	18.492219066288	21.0568422736909	8.14371017913762
Actinobacteria (1760)	6.32126425285057	3.60425229766084	0.448031362195354	1.32813281328133	0.208018721684952	4.31716563472137	4.45193490633033	4.26289520799368	0.448044804480448	0.258023222089988	1.36715038654252	3.28345968435581	0.826107393961215	0.760114017102565	6.39721547093948	0.224022402240224	3.67529402352188	0.784070566350972	0.210027303549461	3.30246234472826	0.258025802580258	3.33246654531634	6.69927286184375	0.431030172112048	3.69129530362429	0.252017641234886	0.791079107910791	1.3321598591831	0.80006400512041	0.790110615486168	0.282031023412575	2.89626066345971	0.677088021442788	4.31794994898878	0.393047165659879	1.32121139382301	4.62555506660799	1.36616393967276	6.52726109044362	7.8716530471399
Negativicutes	1.34526905381076	0.67004690328323	0.153010710749753	0.035003500350035	2.10018901701153	1.56042131375471	1.55332619850169	1.55632682863401	0.153015301530153	0.174015661409527	0.0350038504235466	1.9672754185586	8.85015051956754	0.494074111116667	1.34225502845541	1.98319831983198	0.690055204416353	9.65986938824494	2.10927420564673	1.9692756985978	0.174017401740174	1.95027303822535	1.39026415018854	0.151010570739952	0.688055044403552	0.17501225085756	0.489048904890489	0.0350042005040605	9.30074405952476	0.490068609605345	2.5572813009431	0.0440039603564321	0.222028863752288	1.91842205285163	0.241028923470816	12.5690110417667	1.82921950634076	0.67708124974997	0.993039721588864	1.50531611638444
Coriobacteriia	1.1502300460092	1.28609002630184	1.13307931555209	0.145014501450145	4.39939594563511	1.50040510937953	1.55432640854579	1.4903129657228	1.14211421142114	0.237021331919873	0.147016171778896	1.25717600464065	2.88337483872903	0.460069010351553	1.1522189215951	4.52945294529453	1.29610368829506	2.7492474322689	4.52958884655005	1.26617726481707	0.235023502350235	1.2741783849739	1.22023184405037	1.08207574530217	1.29410352828226	0.235016451151581	0.486048604860486	0.144017282073849	2.78622289783183	0.477066789350509	6.85775435297883	0.351031592843356	1.62621140748297	1.61435515813479	0.302036244349322	4.42770843334934	1.81421770612473	0.980117614113694	2.35909436377455	1.48431170545815
Erysipelotrichia	1.39927985597119	0.167011690818357	0.209014631024172	0.958095809580958	0.324029162624636	0.221059686115251	0.215045159483492	0.219045999659929	0.211021102110211	0.160014401296117	1.00211023212553	0.585081911467605	0.385050056507346	0.210031504725709	1.38626339004411	0.312031203120312	0.165013201056084	0.420037803402306	0.324042125476312	0.564078971055948	0.157015701570157	0.55407757085992	1.32325141776938	0.230016101127079	0.162012961036883	0.163011410798756	0.208020802080208	0.880105612673521	0.41103288263061	0.20402856399896	0.618067987478623	2.34521106899621	0.291037834918539	0.341075036508032	0.286034324118894	0.693110897743639	1.06312757530904	0.284034084090091	0.30701228049122	1.78537492873503
Bacilli	0.183036607321464	0.236016521156481	0.447031292190453	0.519051905190519	0.297026732405917	0.5791563722205	0.558117204612969	0.577121195451045	0.442044204420442	0.287025832324909	0.536058966486313	0.242033884743864	1.1381479592347	0.918137720658099	0.181034396535342	0.289028902890289	0.237018961516921	1.17510575951836	0.288037444867833	0.246034444822275	0.293029302930293	0.249034864881083	0.178033826427021	0.457031992239457	0.23401872149772	0.285019951396598	0.853085308530853	0.528063367604112	1.1640931274502	0.845118316564319	0.275030253327866	0.616055444990049	0.445057857521478	0.601132249094801	0.554066487978558	1.53124499919987	0.255030603672441	0.894107292875145	0.221008840353614	0.234049150321568
Betaproteobacteria	0.0530106021204241	0.0260018201274089	0.317022191553409	0.257025702570257	0.011000990089108	1.29735028457684	1.33027935866532	1.2962722171656	0.314031403140314	0.0830074706723605	0.252027723049535	1.58822235112916	0.0970126116395131	0.0850127519127869	0.0530100719136636	0.016001600160016	0.0250020001600128	0.0920082807452671	0.0120015602028264	1.58322165103114	0.083008300830083	1.56921969075671	0.0560106420219842	0.302021141479904	0.0260020801664133	0.0820057404018281	0.089008900890089	0.253030363643637	0.0930074405952476	0.0890124617446443	0.0110012101331146	0.212019081717355	0.533069299008871	1.33829442477345	0.11001320158419	0.0590094415106417	1.28215385846302	0.0930111613393607	0.0240009600384015	0.0690144930435391
Deltaproteobacteria	0.126025205041008	0.0110007700539038	0.26101827127899	0.501050105010501	0.0070006300567051	0.415112080261671	0.440092419408076	0.422088638614109	0.261026102610261	0.115010350931584	0.494054345978058	0.324045366351289	0.0740096212507626	0.684102615392309	0.125023754513358	0.008000800080008	0.0100008000640051	0.0710063905751518	0.00700091011831538	0.322045086312084	0.116011601160116	0.324045366351289	0.131024894729999	0.252017641234886	0.0100008000640051	0.115008050563539	0.732073207320732	0.494059287114454	0.0720057604608369	0.734102774388414	0.00700077008470932	0.432038883499515	0.366047586186204	0.453099681930025	0.121014521742609	0.072011521843495	0.39904788574629	0.767092051046126	0.0120004800192008	0.16303423718981
Verrucomicrobiae	0.00400080016003201	0.00200014000980069	0.0210014701029072	0.004000400040004	0.0070006300567051	0.333089934282256	0.340071414997149	0.328068894467838	0.021002100210021	0.00600054004860437	0.00400044004840532	0.00400056007841098	0.0600078010141318	1.23718557783668	0.0050009501805343	0.006000600060006	0.00200016001280102	0.0580052204698423	0.00600078010141318	0.00400056007841098	0.007000700070007	0.00400056007841098	0.0050009501805343	0.0220015401078075	0.00200016001280102	0.00900063004410309	1.27012701270127	0.00400048005760691	0.0590047203776302	1.28417978516992	0.00700077008470932	0.00400036003240292	0.0250032504225549	0.386084938686511	0.0070008401008121	0.0780124819971195	0.00300036004320518	2.00024002880346	0.00200008000320013	0.00500105022054631
Gammaproteobacteria	0.108021604320864	0.0760053203724261	0.070004900343024	0.054005400540054	0.146013141182706	0.1270342992608	0.124026045469549	0.120025205293112	0.071007100710071	0.106009540858677	0.0530058306413705	0.490068609605345	0.156020282636743	0.138020703105466	0.109020713935648	0.147014701470147	0.0770061604928394	0.156014041263714	0.151019632552232	0.483067629468125	0.107010701070107	0.47006580921329	0.109020713935648	0.0760053203724261	0.0780062404992399	0.105007350514536	0.139013901390139	0.0530063607632916	0.161012881030482	0.143020022803192	0.124013641500565	0.0490044103969357	0.0740096212507626	0.132029046390206	0.128015361843421	0.125020003200512	1.42917150058007	0.145017402088251	0.0690027601104044	0.110023104852019
Alphaproteobacteria	0.11502300460092	0.0280019601372096	0.0280019601372096	0.351035103510351	0.022001980178216	0.0870234963440129	0.0890186939257244	0.0850178537492874	0.029002900290029	0.0270024302187197	0.331036414005541	0.0290040605684796	0.0390050706591857	0.0390058508776316	0.113021474080075	0.022002200220022	0.0280022401792143	0.0360032402916262	0.0220028603718483	0.0290040605684796	0.028002800280028	0.0290040605684796	0.119022614296716	0.0270018901323093	0.0280022401792143	0.0270018901323093	0.04000400040004	0.339040684882186	0.0370029602368189	0.0400056007841098	0.01500165018152	0.211018991709254	0.0350045505915769	0.083018264018084	0.0280033604032484	0.041006561049768	0.0270032403888467	0.044005280633676	0.0290011600464019	0.0890186939257244
Lentisphaeria	0.350070014002801	0	0	0.023002300230023	0	0.00100027007291969	0.00100021004410926	0.00100021004410926	0	0	0.021002310254128	0.0330046206468906	0.0010001300169022	0.00100015002250338	0.356067652854042	0	0	0.00100009000810073	0	0.0320044806272878	0	0.0320044806272878	0.362068793070683	0	0	0	0.001000100010001	0.0210025203024363	0.00100008000640051	0.00100014001960274	0	0.0120010800972087	0	0.00100022004841065	0	0	0.0190022802736328	0.00100012001440173	0	0.503105652186959
Sordariomycetes	0.0360072014402881	0.0170011900833058	0.0160011200784055	0.016001600160016	0.0120010800972087	0.0390105328438678	0.0440092419408076	0.042008821852589	0.015001500150015	0.0200018001620146	0.0170018702057226	0.0250035004900686	0.0220028603718483	0.0210031504725709	0.0340064612276333	0.013001300130013	0.0170013601088087	0.0190017101539139	0.0130016902197286	0.0260036405096713	0.019001900190019	0.0250035004900686	0.036006841299847	0.0150010500735051	0.0160012801024082	0.0190013300931065	0.022002200220022	0.0160019202304277	0.0210016801344108	0.0220030804312604	0.0160017601936213	0.0190017101539139	0.0210027303549461	0.0500110024205325	0.0260031203744449	0.0270043206913106	0.0260031203744449	0.0250030003600432	0.016000640025601	0.0560117624701187
