XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
classified at a higher level	1348238	2324560	1441536	1455790	1506377	1997134	2347419	2365613	1665082	4149775	1703732	1951148	1152908	2652849	1206902	1450594	2169550	958884	1693269	2284899	4096859	1992053	1181163	1396534	1776013	3815067	2497203	1603231	1077096	2090434	2346422	6455548	2142638	3955461	4744091	2672992	1973089	1941135	2866993	2837305
unclassified	3313317	1759790	1098645	1161624	989132	2502188	2974763	2963733	1271677	2577116	1376642	2512106	1283441	2757026	2920408	956871	1652605	1058757	1116365	2949669	2532423	2530662	2939967	1060112	1350596	2351044	2594955	1279410	1205298	2166171	1654909	5634478	2143649	5533340	3363513	3291196	2403021	2212129	2615203	7137684
Monjiviricetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
Ellioviricetes	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	0	2	0	1	0	2	1	1	1
Chytridiomycetes	115	56	27	36	26	94	129	150	35	104	37	38	47	98	122	19	45	42	23	53	117	34	121	28	42	84	78	35	43	85	31	102	57	309	99	97	38	48	78	279
Monoblepharidomycetes	11	2	1	16	1	0	1	1	0	4	9	0	3	6	10	2	3	1	0	5	1	3	7	1	1	4	3	15	1	3	0	53	3	1	3	2	3	3	1	19
Neocallimastigomycetes	71	59	44	30	23	22	27	43	46	108	38	59	28	40	61	27	60	27	33	92	84	47	56	48	54	105	45	30	39	30	136	436	100	160	269	218	148	128	120	647
Blastocladiomycetes	31	11	8	19	9	68	89	78	9	16	12	11	12	23	29	5	13	7	8	23	19	8	36	6	8	12	17	24	17	15	2	64	17	169	20	22	7	32	9	56
Glomeromycetes	1237	734	388	541	378	345	516	629	516	1371	744	1115	848	788	907	473	679	513	637	1324	1184	927	1080	373	429	1247	979	587	881	741	1482	4220	1181	3106	3913	5044	1907	1402	1823	8688
Endogonomycetes	0	9	0	0	0	0	0	0	0	0	1	2	0	2	2	0	13	0	0	2	1	4	1	0	15	0	1	0	0	1	0	2	0	0	1	6	3	1	37	2
