XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
unclassified	11.7865917865918	5.72764874961191	5.89684526790185	5.37944572979578	5.65742957005939	13.4321770358927	13.7151628242942	13.4779163197544	5.89172134021135	7.33480904255852	5.43047153559553	9.73984326458621	6.50904172719531	7.37698349094406	11.6775293291888	5.65514340650537	5.710394279591	6.39237843361183	5.62832992829388	9.76306452582837	7.31570512820513	9.66419817418405	11.7924291802457	5.91216385397366	5.71846332572207	7.32342454228597	7.32073808426662	5.39130260601326	6.52640016030458	7.34121418553396	5.12697268284867	5.36764190346458	6.40139448217828	13.9780846110621	7.29412943297936	6.28707712041045	7.82563393545931	7.08775023545679	5.57252596472603	11.6694589632721
classified at a higher level	18.9911247054104	25.6226902622961	23.5883825738608	25.4028825255651	29.3246937937527	24.6855125092791	24.4075924476815	24.6887821123695	23.5508589172134	22.8638107352838	25.5017827811386	23.9422363858658	27.0159795621901	29.6061067478763	19.1617366890605	29.3422528440955	25.7849038085986	26.7936927731362	29.2232504106077	23.9691703249343	22.9306891025641	24.1003697728252	18.5199298069692	23.7438028944865	25.7150582862637	22.8927126317055	28.6758960591429	25.5563567894558	26.9662358481114	28.8389100380685	27.5094128014099	23.5749556786426	20.5726192622869	21.307297102031	20.4718493287918	23.5008818342152	20.3710939456784	25.3822415486043	23.4488767814757	15.8358330240071
Bacteroides	1.9415333701048	24.0352932928722	29.6374561842764	14.3234878759653	33.3677178996705	19.5804827157274	19.0814422440258	19.5327468426807	29.6108579155607	35.0935005358627	14.2552381715476	16.2116930230694	5.51620497921154	9.53678474114441	1.94725759550787	33.0285611280244	23.8370404494607	5.45871651539741	33.1200176260866	16.1986088560146	35.1151842948718	16.2048681744847	1.95036349962397	29.882317592268	23.8733325321476	35.1898962381315	9.33323983731693	14.3440898984436	5.52149083258191	9.32678821879383	28.4927501401907	12.4250042568535	26.5312255815351	18.2517861443365	33.1216189140453	3.41810966810967	13.6445152435054	7.3011642586618	18.1968411669855	2.01747609827546
Faecalibacterium	8.78102592388307	14.2675439914271	8.82623935903856	9.01114750157748	0.0811208700964437	7.53164937905022	7.78406468829631	7.53242584437601	8.898682826664	5.1963661495007	8.9169103801931	12.852504359329	8.79126383810049	11.0895175508896	8.7315752531836	0.126181701650377	14.0306250187776	8.41798401154054	0.0851259864599608	12.8760999859683	5.17928685897436	12.7927368199537	9.04286788668839	8.51219390054585	14.2691182950767	5.15303874043508	11.7133812834332	9.03591530957675	8.50015028554253	11.7331196153076	0.0951293759512938	8.64591993108905	9.83751076916912	7.33724010596452	4.37186936485674	9.68213884880552	15.0922224559927	11.8038995651564	15.9353811331337	9.47140320428576
Ruminococcus	2.57834829263401	6.20737313343148	7.63044566850275	12.4765882435424	2.38956044506314	1.39136889834079	1.37843857220249	1.40135822407688	7.59953923974558	3.26625867646912	12.2310804855575	2.29190467600665	1.9686419876772	7.62441897740022	2.57695778602226	2.42449126742509	6.28323635744545	1.99655386588127	2.42358690862476	2.29719165313609	3.27624198717949	2.30181078453969	2.58410629230384	7.60278431568932	6.21019108280255	3.28913104442931	7.5020535732174	12.559341385734	1.98376916140667	7.47946303346023	3.2614355523512	8.71703442542493	7.83294263789545	1.48811912980653	4.05830494890803	2.47615039281706	2.43655636039394	7.73300202392642	5.88099792682805	2.86720372395389
unclassified Lachnospiraceae	4.97517926089355	3.82878146000461	2.12719078617927	4.82156986468756	0.679011727473936	0.958008145577112	0.936013964967194	0.954969956564917	2.12851204487404	2.32774767375474	4.92969031689436	3.14072114324655	3.69784100586084	1.98649623337073	4.95537952471674	0.6909950328473	3.91475468939341	3.79976357917092	0.6770019629051	3.12606490668912	2.31870993589744	3.13254702327865	4.92053146151918	2.15534077820622	3.86371830308857	2.30659829333761	1.97643900386673	4.79838951986059	3.73910429816652	1.96052895211381	0.827124889850196	5.25045322969982	2.02961271062491	1.07269005378502	2.68583450210379	4.13860830527497	3.01263362487852	2.02893613610404	3.98609873105852	4.83150914435337
Blautia	1.66474452188738	2.41164157878396	2.99649474211317	2.55901765772262	2.20829035262541	2.20993920911663	2.16898412889504	2.19683214798022	2.99794661190965	1.95214295014974	2.62709827330636	2.36305694185557	2.77313029103842	2.63363519794839	1.65045623182593	2.23622015702612	2.49366568856219	2.81601250225401	2.23030084525097	2.36735021147794	1.94411057692308	2.37796995721057	1.64853346703434	2.99964945665782	2.44662099907864	1.93802331637354	2.61354757277663	2.54491917553032	2.78429015128745	2.59066319374875	3.03713049747657	3.90929396328088	3.46316443269019	2.51364694549249	2.45141254257664	4.11956870290204	2.81326079769168	3.56191010560487	3.23795406972668	1.95226677635209
Bifidobacterium	6.24880910595196	3.5623791925808	0.389584376564847	1.24595615115732	0.129192496820262	4.16608149589712	4.29583258091053	4.11479701872824	0.388641258075825	0.216348320796482	1.28500460718721	3.2088669753272	0.76040675249211	0.640126622856227	6.3250777098165	0.147211985258773	3.63434248345067	0.722285668489912	0.134198613948644	3.22929821396356	0.217347756410256	3.25981300918921	6.62221108047129	0.373579047523662	3.6494011136482	0.212331236729298	0.662152144731833	1.2489233419466	0.736399158400962	0.662191945501904	0.208283265240727	2.82254429631707	0.616096652040632	4.17335634582965	0.351632939290723	1.24959916626583	4.55952631420757	1.21135001903693	6.4889280599317	7.80405100372195
Coprococcus	12.1044978187835	0.356538372943144	0.473710565848773	2.18943741674429	2.01800683017696	0.194611078787392	0.189610545957985	0.193602102538896	0.469775128962789	0.220354771181602	2.22747486078282	0.745595574529493	1.00586084255873	0.727280012822568	12.174872154818	2.02391443678898	0.361531451233313	1.02081705435675	2.02199254897248	0.750696574257823	0.221354166666667	0.76259382108607	11.9227876660817	0.474735840552857	0.359532107519128	0.219342173791114	0.697213150882536	2.21340864931995	1.01392646027452	0.696253255860549	2.24004646318994	2.16748965834994	0.466830959107211	0.198683471140724	0.281506712081747	1.09828443161777	0.860609339464799	0.841632767569084	0.365559305737779	8.59559184983798
Eubacterium	3.89409817981247	2.37358411200913	1.59439158738107	2.02718267680258	1.31796376601136	1.07838613245591	1.03433054435282	1.07032872232644	1.59863775229128	1.28106251064213	2.04018268498858	3.0916160583649	1.01788308370485	1.5747715980125	3.83936628898025	1.32691075148213	2.3224139485043	1.065897297189	1.32095501341986	3.07595165073065	1.28505608974359	3.07542764377549	3.70117824016044	1.71265461465271	2.3104194207427	1.29401866912383	1.49460060505279	2.05816958115498	1.05300070133253	1.47064716489681	1.92261475606825	1.87301555504362	1.3333734046603	1.33158063739263	1.70306551793228	1.36083052749719	2.81326079769168	1.15023144901108	2.00106162428516	3.78916321391667
