XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
unclassified	11.7586441491916	5.72025845686051	5.88929564504191	5.37245056165165	5.65007351396765	13.3964302865375	13.6774283913439	13.4419144423546	5.88335317122938	7.32483120780195	5.42319310248255	9.72133311994879	6.4988846765562	7.36628354789985	11.6517093375754	5.64807313389544	5.70319767151102	6.38285102679777	5.62112422484497	9.74411811779769	7.3059726126054	9.64699056707579	11.7650589753594	5.9041217831388	5.71102798503731	7.31404793342136	7.31041243610391	5.38434608652163	6.51588960798632	7.3305656979943	5.12102420484097	5.36034008502126	6.39147003810876	13.9369684842421	7.28311210250973	6.27607110346414	7.81303138816092	7.07619362002221	5.56483472520878	11.6380517869292
classified at a higher level	5.40059228429646	7.5976714877273	7.70769569305247	6.77783001410381	9.29176543543273	10.6671202177045	10.7860694526427	10.7077113930129	7.68076657631255	11.260815203801	6.75148532677189	7.70484916379931	5.82368886977223	7.19623083155778	5.4356634751028	9.25375821406067	7.52758079196631	5.75566914405177	9.22184436887378	7.70246478873239	11.284046692607	7.75040262481369	5.36630751223026	7.74447144957542	7.55135924466404	11.3001640459329	7.15236027889204	6.79169792448112	5.80468335817387	7.19351773120592	8.07261452290458	6.1505376344086	6.37146543705052	9.91695847923962	9.76583209130648	4.9836446027189	6.58371176505891	6.3709750022507	6.14892233835075	5.51586825149078
Clostridiales	63.203337602049	53.1666966732681	44.8278621296685	59.5060666379923	38.6243386243386	34.0003201536738	33.9339489560093	33.9319300492217	44.8683197135341	36.5851462865716	59.6251175258557	48.6956869648716	46.8415840593772	57.8209244865908	63.2119738671949	39.0054110280953	53.4312205563168	46.6615318442348	38.8427685537107	48.7155889884763	36.5648725155792	48.7621162560394	62.7469812019168	44.6504835918825	53.3135964473605	36.4251990557356	57.661028139286	59.7099274818705	46.6115173400286	57.5661481518531	43.9347869573915	60.9662415603901	46.7427508326915	37.2666333166583	39.6595012553641	53.7007212380085	52.4256306639726	60.6808110514259	56.6264939740961	61.3529035098251
Bacteroidales	8.83323995517849	27.3030066614655	38.3444357758707	24.1035079471457	38.8653844230404	31.1459500560269	30.5983812391824	31.1967265596863	38.3288156275943	42.7096774193548	23.8792534357559	23.9767544210611	26.1735903411989	22.4479588672488	8.84333323328431	38.5053160100419	27.0306764420528	25.8404937431855	38.6017203440688	23.9406610115237	42.7255358946916	23.9654292830778	8.8948247746531	38.5123173402947	27.1098797783601	42.8169887568519	22.6394710254384	23.9599899974994	26.0235468285803	22.6799379782924	32.0504100820164	20.2410602650663	36.0412894965842	27.2766383191596	40.4537315821588	13.7875498914642	20.3762978374377	18.4907321269594	21.0541581237186	8.13923240084844
Bifidobacteriales	6.23599327677285	3.56078337234191	0.390085818880154	1.24933732107669	0.130024704693892	4.15799583800224	4.28601442678059	4.10580655488415	0.389089490582834	0.22205551387847	1.28728320230451	3.20376890453709	0.759220173850417	0.640198461523072	6.31309341577373	0.148028125343815	3.63276288020484	0.722209440737814	0.13502700540108	3.22403169014084	0.223060226261091	3.25500905280637	6.60884180197485	0.374071073503966	3.64865675821648	0.218061057095987	0.662218532115598	1.25231307826957	0.735213211831431	0.662231781123393	0.209041808361672	2.82270567641911	0.616141712593897	4.16308154077038	0.359104140200658	1.24841197595206	4.55318382779523	1.20937490622093	6.48397259588938	7.78504822507704
Coriobacteriales	1.01848887465984	1.11524535397788	0.939206625457601	0.016004321166715	4.3008171552595	1.33664158796222	1.38164937520635	1.32558325663292	0.945217400002	0.097024256064016	0.0150033007261598	1.13027126510362	2.81781716697842	0.0290089927877642	1.01949955478184	4.42684109980896	1.12223566949059	2.68777945604225	4.42588517703541	1.13736395646607	0.0970261970732098	1.14535506006862	1.0804645997779	0.89517008231564	1.12120181632694	0.096026887528508	0.0310102333770144	0.0150037509377344	2.72278960898661	0.0300105036762867	6.68033606721344	0.0250062515628907	1.32730528021445	1.43371685842921	0.118034229926679	4.32542739103904	1.59441454778242	0.05001550480649	1.97729659448917	1.29567375035018
Selenomonadales	0.724347686889707	0.0080017603872852	0.0140030806777491	0.0100027007291969	1.80334263510067	0.0120057627661277	0.0130061128730503	0.0120052823242227	0.0140032207407704	0.00600150037509377	0.0100022004841065	1.08426022245339	8.17236998729632	0.0120037211535576	0.71535052175566	1.68331983076785	0.0080016803528741	8.97460263476408	1.8123624724945	1.0773447503201	0.00600162043751813	1.04632436055177	0.755324789659554	0.014002660505496	0.00800144025924666	0.00600168047053175	0.0120039613072314	0.0100025006251563	8.62150023506817	0.0130045515930576	2.12942588517704	0.0130032508127032	0.0170039108995069	0.0140070035017509	0.00600174050474638	11.6338391669251	0.569147978474403	0.0130040312496874	0.00900135020253038	0.811421939408492
Erysipelotrichales	1.39967184248439	0.167036748084579	0.209045990117826	0.958258729857061	0.324061571698623	0.221106130942853	0.215101097515832	0.219096402417064	0.211048541164468	0.160040010002501	1.00222048850747	0.585140433704089	0.385111682387892	0.210065120187258	1.38667947294174	0.31205929126534	0.165034657278028	0.420121835332246	0.324064812962592	0.564180537772087	0.157042401448391	0.554171793255909	1.32356913472793	0.230043708304578	0.162029165249745	0.163045652782779	0.208068662658677	0.880220055013753	0.411119224575127	0.20407142499875	0.618123624724945	2.34558639659915	0.291066945397441	0.341170585292646	0.286082964059577	0.693228765492612	1.06327645187749	0.284088067300863	0.307046056908536	1.78592868291512
Veillonellales	0.559268448855451	0.659145011902619	0.0040008801936426	0.00500135036459844	0.0050009501805343	1.53973907475588	1.53171990835693	1.53567569730681	0.00400092021164868	0.0690172543135784	0.00500110024205325	0.752180523325598	0.552160126436667	0.479148536046174	0.564276495482787	0.00800152028885488	0.67914261995019	0.557161576857289	0.00500100020004001	0.761243597951344	0.0690186350314585	0.773239704308336	0.571245635623318	0.00400076014442744	0.677121881938749	0.0700196054895371	0.473156141526704	0.00500125031257815	0.552160126436667	0.473165607962787	0.00500100020004001	0.00600150037509377	0.00500115026456085	1.89494747373687	0.0800232067299517	0.809267058129183	1.10328685458219	0.660204663445668	0.981147172075811	0.637331412334414
Lactobacillales	0.107051384664639	0.206045329972594	0.41509132009042	0.489132065657728	0.25804902931557	0.528253561709621	0.507238402048963	0.526231541878426	0.411094551746902	0.258064516129032	0.505111124447378	0.210050412098904	1.09931880245271	0.872270403825186	0.107052455703295	0.257048839279463	0.207043479130617	1.13432895539707	0.257051410282056	0.213068181818182	0.263071029177878	0.217067290860167	0.104044739237872	0.424080575309309	0.20403672661079	0.256071700076021	0.801264417257695	0.498124531132783	1.12532634463995	0.79627869754414	0.247049409881976	0.583145786446612	0.414095241905638	0.548274137068534	0.522151423912935	1.48749087198776	0.227059035349191	0.831257689883864	0.193028954343151	0.113058790571097
