XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
classified at a higher level	1521638	2337241	1438027	1465664	1626670	1992364	2345910	2360869	1660374	3961803	1713791	1990891	1150102	2693470	1362509	1567704	2181396	954793	1831553	2331660	3911078	2033240	1341041	1390582	1785880	3632564	2538903	1613629	1073631	2125630	2608709	6464847	2136980	3937212	4510158	2613387	2024995	1991700	2889967	3383282
unclassified	3313317	1759790	1098645	1161624	989132	2502188	2974763	2963733	1271677	2577116	1376642	2512106	1283441	2757026	2920408	956871	1652605	1058757	1116365	2949669	2532423	2530662	2939967	1060112	1350596	2351044	2594955	1279410	1205298	2166171	1654909	5634478	2143649	5533340	3363513	3291196	2403021	2212129	2615203	7137684
Caudovirales	266	4672	19171	7741	1421	23661	24331	26926	22895	193166	9918	9563	15377	12792	228	1257	4474	14676	1557	11070	190806	9079	227	20631	3338	186588	9953	8530	14942	8072	2502	52979	35876	59459	239766	93768	8887	6450	7112	589
Herpesvirales	8	1	3	2	1	0	1	2	0	1	5	2	1	5	6	1	2	1	5	5	2	2	2	0	1	4	3	3	0	4	3	5	3	0	0	4	6	2	9	7
Ligamenvirales	0	0	0	0	0	9	18	13	0	0	0	41	0	0	0	0	0	0	0	41	0	25	0	0	0	0	0	0	1	0	1	0	0	9	0	0	26	0	0	0
Ortervirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2
Nidovirales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0
Picornavirales	7	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2
Tymovirales	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Mononegavirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
Bunyavirales	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	0	2	0	1	0	2	1	1	1
Chytridiales	8	1	1	1	0	4	4	5	1	8	4	2	15	21	13	1	0	10	3	10	3	5	9	1	1	0	20	2	6	31	2	9	4	5	16	18	6	3	2	18
Spizellomycetales	15	25	5	7	8	56	66	86	7	10	4	6	11	6	23	5	15	7	5	11	15	11	23	6	16	12	10	5	6	4	3	20	10	190	9	11	6	5	25	40
Rhizophydiales	16	11	3	6	9	5	14	18	9	22	8	14	1	8	12	7	10	0	8	14	29	11	26	6	9	21	6	6	2	7	14	14	10	42	22	5	13	3	12	64
Rhizophlyctidales	14	3	5	1	2	9	5	9	6	27	1	7	0	5	11	1	4	2	2	8	34	4	15	6	4	24	4	2	3	5	1	4	18	13	20	2	7	6	30	28
Caulochytriales	32	9	7	12	2	7	13	7	1	8	14	6	13	36	29	3	7	10	1	2	8	1	23	4	4	6	24	13	13	20	8	43	9	12	8	48	4	25	9	55
Synchytriales	15	4	2	3	1	2	5	8	6	23	2	1	0	0	16	1	2	2	3	2	18	1	12	1	2	15	1	3	4	4	1	0	3	9	20	2	1	3	0	35
Monoblepharidales	11	2	1	16	1	0	1	1	0	4	9	0	3	6	10	2	3	1	0	5	1	3	7	1	1	4	3	15	1	3	0	53	3	1	3	2	3	3	1	19
Neocallimastigales	71	59	44	30	23	22	27	43	46	108	38	59	28	40	61	27	60	27	33	92	84	47	56	48	54	105	45	30	39	30	136	436	100	160	269	218	148	128	120	647
Blastocladiales	31	11	8	19	9	68	89	78	9	16	12	11	12	23	29	5	13	7	8	23	19	8	36	6	8	12	17	24	17	15	2	64	17	169	20	22	7	32	9	56
Glomerales	514	334	175	219	165	119	185	217	220	534	295	379	386	352	363	209	319	279	267	470	459	310	441	148	197	481	413	238	429	305	676	1997	507	1209	1560	3226	727	591	827	3824
Diversisporales	691	390	206	306	203	222	318	398	286	811	424	715	439	416	513	248	354	225	345	827	708	606	607	221	225	742	547	336	433	417	754	2105	655	1794	2258	1771	1123	775	938	4289
Endogonales	0	9	0	0	0	0	0	0	0	0	1	2	0	2	2	0	13	0	0	2	1	4	1	0	15	0	1	0	0	1	0	2	0	0	1	6	3	1	37	2
Mucorales	439	346	165	197	180	246	355	372	212	396	332	403	323	322	366	214	372	216	240	530	340	417	377	126	237	308	325	284	310	287	412	1035	277	1085	848	920	532	341	405	1661
Mortierellales	42	14	3	7	5	46	59	58	3	16	9	14	6	15	33	3	8	3	6	16	5	10	32	5	1	9	13	16	7	11	16	65	2	51	27	10	31	12	12	79
Zoopagales	61	14	13	19	0	26	38	43	15	26	12	19	37	61	77	3	15	25	4	33	16	22	76	6	15	19	71	19	36	58	2	48	14	103	30	119	21	29	19	174
Kickxellales	12	0	0	0	0	2	3	4	1	2	0	3	3	6	14	1	0	1	1	1	0	1	15	0	2	1	4	1	1	7	2	4	3	4	0	4	7	8	0	42
Dimargaritales	18	1	4	5	1	1	2	2	2	3	5	15	0	6	15	0	1	0	1	18	4	12	14	2	0	6	5	9	1	5	2	32	5	13	6	5	8	11	1	43
Harpellales	249	198	90	107	53	31	81	66	99	178	142	184	122	180	215	64	162	90	84	230	141	169	210	96	134	166	165	126	127	139	229	1443	234	419	604	1097	234	278	396	1567
Entomophthorales	157	88	65	49	39	57	72	69	62	138	60	134	42	104	145	40	78	21	41	139	116	115	139	61	42	121	97	53	24	81	118	250	98	204	246	136	157	70	120	621
Schizosaccharomycetales	22	7	5	4	1	2	4	5	4	52	5	6	4	14	19	3	10	1	2	9	50	4	17	2	3	42	7	4	5	9	7	22	4	10	115	9	9	22	7	28
Taphrinales	29	19	10	3	1	3	8	2	7	22	3	12	10	48	20	2	9	7	2	25	24	16	26	8	13	14	45	8	12	42	1	16	13	7	11	14	11	22	17	44
Neolectales	0	0	1	2	1	1	1	1	6	3	2	3	0	4	1	0	0	1	0	5	2	3	1	1	0	4	0	1	0	0	0	2	4	13	4	1	2	0	1	2
Saccharomycetales	2636	1342	860	1156	485	802	1104	1171	999	2147	1589	1943	789	1873	2223	597	1279	567	665	2454	2010	1884	2203	809	940	2021	1749	1379	817	1446	1094	8141	1739	4125	4262	3039	2070	1553	2205	8402
Pezizales	307	154	92	101	91	138	187	192	117	168	138	229	125	274	237	92	172	72	111	326	145	230	268	78	116	134	227	120	89	177	103	542	168	402	223	230	277	215	240	636
Orbiliales	148	151	75	65	46	101	163	161	91	117	100	118	96	107	118	56	130	55	70	173	92	106	134	69	108	92	97	94	80	89	122	466	131	239	253	205	123	89	246	636
Chaetothyriales	396	120	69	71	84	125	164	152	86	117	78	114	91	286	345	63	101	80	80	134	121	146	361	65	87	104	286	81	88	213	82	258	122	414	109	284	122	170	167	644
Verrucariales	14	3	0	6	3	5	6	5	3	7	5	10	5	4	17	4	6	5	2	6	5	14	13	1	4	7	5	12	6	5	7	22	4	14	20	5	10	2	4	44
Phaeomoniellales	4	6	3	3	2	2	3	2	1	9	3	5	4	3	7	4	6	2	2	3	6	2	7	4	3	10	11	6	4	3	1	24	7	3	11	13	1	5	4	23
Eurotiales	1149	484	357	451	259	754	961	992	386	828	531	686	488	817	995	261	459	296	361	869	838	682	1009	307	342	817	831	491	450	718	831	2314	701	2803	1777	2061	904	910	806	4936
Onygenales	327	190	152	156	102	260	313	336	201	425	229	255	151	261	236	131	179	69	152	428	382	258	274	126	87	435	222	143	126	242	179	682	315	700	539	270	252	300	237	853
