XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
unclassified	11.7551159208658	5.71951475632807	5.88841218885322	5.37142971437715	5.64950845576102	13.3922766870368	13.6730509576436	13.4381501040166	5.88252942764849	7.32358588687095	5.42254225422542	9.72045806871031	6.49758478263044	7.36488378605433	11.6479801566266	5.64756475647565	5.70239916794176	6.38157434169075	5.62044963597088	9.74236393095033	7.30451131579211	9.64525388300479	11.7618819011042	5.9035313178186	5.71051394625516	7.31273127312731	7.30880396843653	5.38343067445396	6.51465146514651	7.3289527638593	5.12035842508976	5.35937515626094	6.39070297732751	13.9325078514133	7.28158252660213	6.27443921074475	7.81178117811781	7.07470747074708	5.56450080507246	11.633977776222
classified at a higher level	1.56228121061791	5.06745607104639	4.45231166181633	3.46227698215857	5.81452330709764	5.72297290539392	5.61984297644647	5.69491118578973	4.42839855587003	5.99347947835827	3.42934293429343	3.78456768515277	2.55723015071356	3.94947393687242	1.57626796555414	5.78357835783578	4.98934925444781	2.51222610034903	5.76146091687335	3.7535254935691	6.00842058944126	3.76348925360297	1.57425188030085	4.51740656659099	5.01945175065756	6.08660866086609	3.93743311764294	3.48427874229938	2.54125412541254	3.96951603708482	4.16829178042463	2.54717830248117	3.13834521797398	4.45580204436799	5.01740139211137	1.76512355864911	2.55125512551255	3.22632263226323	3.44430998789891	1.26721542662253
Firmicutes	69.2894721049789	56.6971027392465	48.901423099617	64.2541403312265	44.7620285825724	41.3770340957963	41.48222233335	41.3756200992159	48.9404046364173	42.7824225938075	64.4494449444944	55.2092813922088	60.4354391895271	62.4024882985958	69.296780452677	45.000500050005	56.988989229246	61.1265013851247	44.9655972477798	55.2387334226792	42.7719940395828	55.3001890245732	68.7289966394623	48.7403866347971	56.8581172305508	42.6042604260426	62.1168328516137	64.385150812065	60.7090709070907	62.0180623481053	51.2465872611083	67.5157261008271	50.9386032463571	45.6892240603309	45.7216577326186	71.7560229216045	59.4289428942894	65.3385338533853	60.7694692522327	68.1535861096386
Bacteroidetes	8.86159508711568	27.3204588412957	38.3736861580311	24.1279302344188	38.8915002350211	31.1913025214286	30.6435965394809	31.2419987197952	38.3574521706954	42.7814225138011	23.9043904390439	24.0926138920838	26.1943574921743	22.470696483578	8.87250832641549	38.5308530853085	27.0488934225396	25.8613275194768	38.6250900072006	24.0553677514852	42.7969957897053	24.0771300269035	8.92442790846535	38.5434689122021	27.1294416497485	42.8882888288829	22.6614927642041	23.9849187935035	26.045604560456	22.701951253663	32.0682447771344	20.2634184392907	36.0659672563982	27.3159168650357	40.5222417793423	13.807966557659	20.4480448044804	18.5098509850985	21.0698962906662	8.17038896612424
Actinobacteria (201174)	7.48334700246044	4.90444139972598	1.58811116778174	1.48211856948556	4.61441529737676	5.84799415900703	6.03690553583037	5.78292526804289	1.59614365292876	0.504040323225858	1.52315231523152	4.54668200230035	3.71633447010231	1.24014881785814	7.56128541852115	4.76147614761476	4.98534897442821	3.54031862867658	4.74737979038323	4.57564058968256	0.501035072455072	4.61259963795293	7.93226916306609	1.51913672230501	4.99844986048744	0.495049504950495	1.29814279570753	1.48511880950476	3.59235923592359	1.28716733175313	7.14750032502275	3.26122828598002	2.31325445799038	5.95907263307395	0.70405632450596	5.75640294820637	6.44764476447645	2.38023802380238	8.9088017921613	9.36859266075233
Proteobacteria	0.419075433578044	0.150013501215109	0.685047953356735	1.176094087527	0.194017461571541	1.95233189642239	2.01030154523178	1.94931188990238	0.685061655548999	0.462036962957037	1.14411441144114	2.44536680502075	0.382034383094479	1.19214305716686	0.416070732024444	0.201020102010201	0.150010500735051	0.37003330299727	0.200016001280102	2.43134038765427	0.46503255227866	2.40531269064978	0.43206913106097	0.667060035403186	0.152013681231311	0.458045804580458	1.25613817519927	1.15209216737339	0.379037903790379	1.26416434136438	0.165011550808557	0.918064264498515	1.02011221234336	2.03436618591346	0.559044723577886	0.314021981538708	3.15031503150315	1.28012801280128	0.143012871158404	0.451076683036116
Verrucomicrobia	0.0950171030785541	0.0130011701053095	0.0280019601372096	0.00600048003840307	0.0070006300567051	0.337057299740956	0.345051757763665	0.33205312850056	0.0280025202268204	0.0080006400512041	0.006000600060006	0.00500075011251688	0.0670060305427489	1.23914869784374	0.0960163227748717	0.007000700070007	0.0130009100637045	0.0640057605184467	0.00700056004480358	0.00500070009801372	0.00900063004410309	0.00500065008451099	0.10001600256041	0.0280025202268204	0.0130011701053095	0.01000100010001	1.27213993539289	0.00600048003840307	0.065006500650065	1.28616720173623	0.00800056003920274	0.00600042002940206	0.0340037404114453	0.391070392670681	0.00900072005760461	0.0850059504165292	0.005000500050005	2.002200220022	0.0150013501215109	0.165028054769311
Ascomycota	0.0740133223980316	0.0360032402916262	0.0330023101617113	0.0360028802304184	0.0250022502025182	0.0690117319944391	0.0770115517327599	0.0750120019203072	0.0330029702673241	0.0420033602688215	0.039003900390039	0.0540081012151823	0.0450040503645328	0.0410049205904709	0.070011902023344	0.027002700270027	0.0360025201764123	0.0390035103159284	0.0280022401792143	0.0570079811173564	0.0400028001960137	0.0530068908958165	0.0740118418947032	0.0310027902511226	0.0340030602754248	0.042004200420042	0.0420046205082559	0.0370029602368189	0.044004400440044	0.0420054607098923	0.0330023101617113	0.0420029402058144	0.0420046205082559	0.101018183272989	0.0600048003840307	0.0600042002940206	0.053005300530053	0.048004800480048	0.0340030602754248	0.115019553324065
Lentisphaerae	0.352063371406853	0	0.00100007000490034	0.0230018401472118	0	0.00200034005780983	0.00200030004500675	0.00200032005120819	0.00100009000810073	0.00100008000640051	0.021002100210021	0.0780117017552633	0.00100009000810073	0.00100012001440173	0.358060870347959	0	0	0.00100009000810073	0	0.0760106414898086	0.00100007000490034	0.0750097512676648	0.364058249319891	0.00100009000810073	0.00100009000810073	0.001000100010001	0.00100011001210133	0.0210016801344108	0.001000100010001	0.0010001300169022	0	0.0120008400588041	0.00100011001210133	0.00200036006481167	0.00100008000640051	0.00100007000490034	0.04000400040004	0.001000100010001	0	0.505085864596981
Candidatus Melainabacteria	0.0090016202916525	0.00300027002430219	0.00200014000980069	0.0140011200896072	0.00400036003240292	0.00100017002890491	0.00100015002250338	0.0010001600256041	0.00200018001620146	0.0510040803264261	0.015001500150015	0.00700105015752363	0.0120010800972087	0.0280033604032484	0.00900153026014422	0.004000400040004	0.00300021001470103	0.0130011701053095	0.00400032002560205	0.00700098013721921	0.0520036402548178	0.00700091011831538	0.00900144023043687	0.00200018001620146	0.00300027002430219	0.052005200520052	0.0280030803388373	0.0140011200896072	0.013001300130013	0.0270035104563593	0.00400028001960137	0.0250017501225086	0.00200022002420266	0.00100018003240583	0.0610048803904312	0.0140009800686048	0.007000700070007	0.044004400440044	0.00300027002430219	0.0160027204624786
