XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
unclassified	11.8356125757789	5.7397203906101	5.91034108931762	5.3931659118979	5.67100349355499	13.4864279599134	13.7701450443191	13.5315326202993	5.90491105489298	7.35145011193318	5.44399373468814	9.77088339080518	6.52695874061944	7.39825391562936	11.7272699809681	5.66871116375719	5.72420993454604	6.41100349636298	5.64126757877197	9.79487179487179	7.33193467109688	9.6956779635457	11.841827024741	5.92563592924973	5.73114793588341	7.34114434304188	7.34162464085512	5.40429291408148	6.54403713042867	7.36186457705445	5.13885961478627	5.38214321582806	6.41656457735023	14.0368202017352	7.31420649749864	6.30622480877283	7.84812161524008	7.11112004664348	5.58505565983759	11.7256882491104
classified at a higher level	39.8773438601438	50.5113459589117	52.2033285820401	53.8844651517738	63.2534232823355	48.7968978194088	48.2091055600322	48.7521904646807	52.1654017588242	51.4792245991989	53.7069761837825	46.4355728920568	51.2622939291347	51.392949355516	40.1864923922785	62.9862372888162	50.4668112275629	51.1503837961661	62.9212129729079	46.4786324786325	51.6066212268744	46.660701539204	39.2763999234712	52.4965367704632	50.4872981301001	51.6490467154604	50.2993711197284	54.1634038110154	51.2793723189439	50.5163753265019	56.3849327030201	46.7208998694386	46.5035245918101	44.1449430163545	46.8356337773492	44.6773010081517	40.599033428115	44.2831580852048	44.1414131274906	32.95430489612
Faecalibacterium prausnitzii	5.48428027632878	8.8609881672839	6.93621890747024	6.73769191376558	0.0622414970083926	4.20405902200735	4.3483078162772	4.20065663584909	6.99112556720074	4.20025498679891	6.66593035864894	8.43981541987956	5.54444902100642	8.19293328109145	5.45278781958976	0.0933575594527038	8.71280568606192	5.30884539645541	0.0652459773345513	8.45852187028658	4.17892169164517	8.41384579810389	5.66111832764402	6.67048123833042	8.84262930212484	4.16051725349638	8.67774406783066	6.734534064213	5.3555821219397	8.68595539481615	0.0752762638884707	6.72893441799739	8.04129094451027	4.15864730599865	3.6495690434573	6.19867523042748	10.541863012047	9.28949114377048	10.4022163556608	6.21767925726555
Ruminococcaceae bacterium	1.34236974079072	0.33119561617439	0.674549798237337	3.03647993252267	1.1524715897683	0.710077050914035	0.730257856567284	0.715048240578484	0.669598040396739	0.637466997279472	3.05032330615687	0.969146166142215	3.08214705498237	2.88535921315692	1.34532308900682	1.17951755222502	0.339316548207043	3.0352047582687	1.17141623922187	0.972347913524384	0.636424778405726	0.978213879980295	1.37550473773777	0.651488686783513	0.333229617287792	0.633515054767427	3.00174800586687	2.99881533240969	3.03292110788519	3.0098452883263	1.52660263165819	4.19805162197449	0.930853734460667	0.781950644403914	0.650955337231029	4.00144739619455	1.3262732725793	3.6761897102877	0.449695351475061	1.6078466950938
[Eubacterium] rectale	2.67668324907857	1.93197442768394	0.909437674409267	3.17103294540562	0.0532064409910453	0.16820264893992	0.1651893634166	0.167180292867646	0.914548447978155	0.114442893999779	3.24711835816699	1.96744714433643	2.07351744507288	0.661060711092358	2.65741589213248	0.0592268387925756	1.98168895313818	2.14604348350279	0.0542043504010118	1.94972347913524	0.114436001164437	1.95441704283833	2.64829975128135	0.930554719026682	1.95220363139987	0.115458369727819	0.661027505977376	3.14940867016043	2.10265116886509	0.651999196302994	0.0572099605552377	3.42874359746912	0.833450485007933	0.18138030411431	0.138629377373275	2.39021399350682	1.87285862127865	0.630290114397153	2.02764421870452	2.54231308152136
Bacteroides eggerthii	0.00906326156572879	6.6369594235189	5.57708136756941	0.00502063480906526	0.0110428462434245	0.0100720149065821	0.0100725221595488	0.00906399178198078	5.55756334578163	0.0180699306315441	0.0050202819390337	0.0211121052790317	0.00301383349574547	0.0110511669027598	0.0100697836003504	0.0110422919782768	6.65381680921977	0.00301410601615561	0.010037842666854	0.0231271995977878	0.0180688422891216	0.0241286054671399	0.0100695808033512	5.5763014716216	6.66258493842278	0.018071744826963	0.0120552128749673	0.00401582234001968	0.00301383349574547	0.011050833835644	0.0100368351851294	0.00401727427940143	5.31600827425542	0.00705367849333427	0.0170775319952585	0.00201027249243635	0.0170807921468546	0.0100524739138302	5.77878602330787	0.0110885978971986
Bacteroides stercoris	0.0100702906285875	0.0140507231104286	3.22017225110919	0.00903714265631746	0.0240934827129262	1.3687868258045	1.3527397260274	1.3676556488811	3.20543709593222	4.45223013060544	0.00803245110245391	0.0231227819722728	0.00703227815673944	0.00602790921968715	0.00906280524031539	0.0230884286818515	0.0130506364695017	0.00703291403769642	0.0230870381337643	0.024132730015083	4.44393137855228	0.0241286054671399	0.0100695808033512	3.19018651247766	0.0140518513314129	4.4054897944841	0.00703220751039762	0.00803164468003935	0.00904150048723641	0.0070323488045007	0.0210773538887718	0.00803454855880285	3.45430080533408	1.16385695140016	4.66819359893918	0.00703595372352722	0.0180855446260814	0.00603148434829812	0.0120454112002248	0.0100805435429078
Bifidobacterium adolescentis	2.80860405631307	0.958460040747097	0.110417377687659	0.501059353944713	0.00200779022607718	1.19856977388327	1.23489121676068	1.18234737244949	0.110428462434245	0	0.516084983332664	1.42054308377484	0.391798354446911	0.00200930307322905	2.84269991037893	0.00702691307708524	0.971770469421355	0.375758550014066	0.00200756853337081	1.42785319255907	0	1.444700252345	2.97958895971161	0.106406472725813	0.979614778532786	0	0.00200920214582789	0.49996988133245	0.381752242794426	0.00301386377335744	0.00100368351851294	1.2724716280004	0.186773241218645	1.34322191880208	0	0.72671350601574	2.31294020717996	0.00402098956553208	1.90819389096895	3.92133143819115
Lachnospiraceae bacterium	1.12585849227609	1.1371049488654	0.82110377225914	0.512104750524656	0.359394450467815	0.383743767940777	0.373690572119259	0.381694765041191	0.821186202465566	1.84514069448767	0.519097152496084	0.521770601896068	0.669071036055495	0.819795653877452	1.120766914719	0.36640332473373	1.15849496044653	0.672145641602701	0.36035855174006	0.522875816993464	1.83599514148907	0.524797168910292	1.11772346917198	0.824148246300869	1.14723329084321	1.82524622752327	0.810713065841554	0.510009437182499	0.671080258385992	0.805706248744223	0.491804924071342	0.616651601888119	0.828429698953668	0.428259051381009	2.11861852811765	0.731739187246831	0.531514061510947	0.870544240937695	1.22963572668962	1.21067327950323
Bacteroides vulgatus	0.061428772834384	1.97513022009454	0.342293870831744	0.847483155770216	2.05798498172911	1.78677544442766	1.7365028203062	1.77855660966423	0.338312653094005	0.859325590033429	0.855456042411342	0.214137067830178	0.23306979033765	0.0150697730492179	0.0624326583221727	2.03680094762942	1.9535798899731	0.233090865249367	2.06378045230519	0.213172448466566	0.854254710446802	0.211125297837474	0.0634383590611123	0.342307615089642	1.94818881673375	0.862423822575625	0.0150690160937092	0.846334558159147	0.23306979033765	0.0150693188667872	2.15490851424729	0.983227879883499	0.31530536420782	1.91255454004978	0.934241456211199	0.215099156690689	0.17884594130236	0.0150787108707453	1.53980506509541	0.0735879678632272
