Gammaproteobacteria	Betaproteobacteria	Verrucomicrobiae	Bacilli	Clostridia	Erysipelotrichia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
XT_D04-NFlex-R1-A	-2.7267	-3.7416	-7.367	-1.9644	6.4657	0.9675	0.9109	3.1434	0.6852	3.6269
XT_D06-NFlex-R1-A	-2.6866	-4.2201	-7.7978	-1.0526	6.7664	-1.5476	0.455	2.8828	1.3962	5.8044
XT_D08-NFlex-R1-C	-3.0911	-0.9193	-4.8038	-0.4239	6.2271	-1.5227	-1.9687	-0.4175	0.9195	6.0005
XT_D07-NFlex-R1-C	-3.0312	-0.79	-6.6697	0.2274	7.0682	1.1109	-3.6538	1.5825	-1.6083	5.7639
XT_D10-NFlex-R1-C	-1.9431	-5.6168	-6.4266	-0.9149	6.1315	-0.7925	1.9058	-1.4324	2.973	6.116
XT_D05-NFlex-R1-C	-3.599	-0.2484	-2.2118	-1.4119	4.4712	-2.8025	0.0177	1.4862	-0.0387	4.3371
XT_D05-NFlex-R1-A	-3.637	-0.2123	-2.1781	-1.4663	4.4685	-2.8397	0.0113	1.5303	0.0118	4.3115
XT_D05-NFlex-R1-B	-3.6687	-0.2338	-2.2163	-1.4022	4.4839	-2.7977	0.0293	1.4832	-0.0325	4.3549
XT_D08-NFlex-R1-B	-3.0687	-0.9306	-4.8243	-0.44	6.2277	-1.5058	-1.9661	-0.4208	0.9296	5.999
XT_D02-NFlex-R1-B	-1.7929	-2.1425	-5.8181	-0.3499	6.6437	-1.1987	-1.073	-0.5067	-0.6278	6.8658
XT_D07-NFlex-R1-B	-3.0572	-0.8188	-6.7602	0.2715	7.0689	1.1727	-3.6544	1.6218	-1.5925	5.7483
XT_D09-NFlex-R1-B	-1.2212	0.4747	-8.3011	-2.2373	5.4156	-0.9672	0.7836	1.5229	0.1379	4.392
XT_D03-NFlex-R1-C	-3.0167	-3.6991	-4.3869	-0.1504	5.2125	-1.7164	2.8081	-0.6138	1.1902	4.3726
XT_D01-NFlex-R1-A	-2.7892	-3.4829	0.3723	-0.0575	5.9224	-2.1841	-0.9511	-0.3299	-1.0541	4.5541
XT_D04-NFlex-R1-C	-2.7236	-3.7626	-7.3032	-1.9897	6.4615	0.9508	0.9031	3.1565	0.6828	3.6244
XT_D10-NFlex-R1-A	-1.9649	-5.2019	-6.5534	-0.9893	6.1113	-0.8817	1.7892	-1.3582	2.9806	6.0682
XT_D06-NFlex-R1-B	-2.6521	-4.2605	-7.9017	-1.0383	6.7795	-1.5565	0.5041	2.9169	1.4129	5.7958
XT_D03-NFlex-R1-B	-3.0176	-3.7858	-4.4457	-0.1025	5.2088	-1.5872	2.9365	-0.6858	1.1233	4.356
XT_D10-NFlex-R1-B	-1.9029	-5.538	-6.4977	-0.9711	6.1298	-0.8008	1.9017	-1.4217	3.0048	6.0961
XT_D09-NFlex-R1-C	-1.2402	0.4736	-8.2944	-2.2114	5.4194	-1.0138	0.7886	1.5343	0.1509	4.393
XT_D02-NFlex-R1-A	-1.7857	-2.1545	-5.7605	-0.3302	6.6364	-1.2298	-1.0763	-0.5108	-0.6484	6.8599
