Sutterella	Akkermansia	Firmicutes: environmental samples	Streptococcus	Clostridium	Butyricicoccus	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
XT_D04-NFlex-R1-A	-4.8781	-6.9878	0.2819	-3.4994	2.6583	-0.6667	1.8181	2.8529	4.9664	3.6838	1.3551	-0.6244	2.1041	-1.973	3.33	1.7695	0.1962	2.7356	-1.3168	4.5032	-1.4946	2.2545	2.0736	-4.1209	-3.4547	1.0712	0.8654	-8.3267	-5.574	0.2108	0.6446	4.0125	0.4542	2.3261	-5.7707	-0.3853	3.5154	-0.5795	-0.0307
XT_D06-NFlex-R1-A	-4.0991	-6.5441	1.0661	0.3208	3.1737	1.3048	-2.8765	2.2954	1.4426	4.8693	3.2074	1.33	4.202	1.2267	4.1792	1.0094	-1.2843	5.5661	-0.4005	6.7668	-0.3266	2.0467	2.1893	-5.5383	-0.6701	-3.9436	-8.4377	-9.8082	-7.08	2.2543	0.9648	4.7649	2.2984	7.5192	-5.6591	3.1958	-3.6559	-5.1708	-1.699
XT_D08-NFlex-R1-C	0.5914	-3.2403	1.4448	0.9343	3.1426	1.1669	-3.4967	3.2334	1.2891	3.4545	1.8476	0.1485	3.9492	-0.1028	3.0385	-0.2956	-1.6663	5.2974	0.3508	5.5073	1.5249	2.1263	2.0816	-2.3866	-1.0606	-3.7802	-8.7217	-9.2504	-8.0594	-8.2011	0.9563	1.0062	1.7214	7.255	-5.1917	3.7061	-4.0009	1.988	1.6927
XT_D07-NFlex-R1-C	-0.4012	-5.8892	1.7072	0.7334	2.3298	0.2087	-3.5893	1.0355	3.368	4.5067	1.3601	0.4502	3.5929	-0.3631	3.2565	1.9553	0.0985	5.8785	1.6341	5.4091	1.2075	4.1478	2.4442	-5.1719	1.9773	-2.9517	-8.9095	-8.274	-7.4133	-7.7995	0.8943	2.5546	-5.0782	6.0777	-3.2205	3.7677	-4.2152	0.3455	2.3357
XT_D10-NFlex-R1-C	-9.8248	-4.7492	1.5516	-0.0415	3.2959	2.0796	-2.8186	4.605	3.6182	2.0469	2.2916	0.7213	3.7485	2.4379	3.0045	0.7212	-3.0689	3.8627	-2.4943	-1.0114	-0.4922	2.86	3.4059	1.8113	-3.5651	-3.2344	-10.7026	3.4543	-7.804	-7.6354	0.9032	-0.3406	4.1294	7.6662	-2.9139	2.3447	-2.1925	0.6773	1.6522
XT_D05-NFlex-R1-C	2.0417	0.1168	3.502	0.5668	2.2194	0.2204	-4.1958	2.3165	-0.6491	1.6475	0.5564	0.8115	2.8529	0.8507	1.8176	0.118	-2.6879	2.1849	0.0559	4.6223	0.0113	1.9903	0.8175	-5.586	-3.948	-4.6323	-8.1917	-9.0204	1.642	0.8433	-1.5189	3.7678	1.5673	6.0005	-4.4513	2.2498	-3.5091	-0.2943	3.2937
XT_D05-NFlex-R1-A	2.0918	0.1647	3.6018	0.5257	2.1844	0.2618	-4.2013	2.2993	-0.6695	1.6302	0.526	0.7328	2.8421	0.8869	1.774	0.2058	-2.6207	2.1883	0.1205	4.686	0.0965	2.0484	0.8587	-5.5699	-3.9969	-4.6702	-8.086	-9.578	1.6638	0.8313	-1.478	3.8281	1.6326	5.9794	-4.525	2.3062	-3.5636	-0.2959	3.2877
XT_D05-NFlex-R1-B	2.0567	0.1115	3.5446	0.5795	2.2313	0.2329	-4.2197	2.3262	-0.6435	1.6583	0.5659	0.8139	2.8609	0.8673	1.8242	0.1637	-2.6448	2.2119	0.083	4.6389	0.0488	2.0159	0.8356	-5.6034	-3.9472	-4.6501	-8.3445	-9.2532	1.6538	0.8577	-1.4959	3.7662	1.5759	6.0132	-4.5185	2.266	-3.5265	-0.2763	3.3195
XT_D08-NFlex-R1-B	0.5913	-3.2534	1.449	0.9271	3.1535	1.1752	-3.5108	3.2399	1.2803	3.4603	1.8366	0.1557	3.9548	-0.1018	3.0481	-0.2569	-1.6654	5.2967	0.3869	5.5244	1.5426	2.1251	2.0996	-2.4089	-1.0104	-3.7748	-8.8207	-9.3856	-8.0688	-8.1179	0.955	1.0083	1.7304	7.2588	-5.1962	3.7156	-4.0435	2.0042	1.6955
XT_D02-NFlex-R1-B	-7.9403	-4.7125	0.5308	-0.4011	3.6943	-0.0416	-2.4992	3.8447	0.5937	3.998	0.9613	-0.6145	3.7442	-0.5605	3.1366	2.3552	3.1721	4.4866	2.2411	5.1569	1.6825	2.5712	4.585	-4.4947	-1.3562	-3.972	-8.6754	-9.3922	-8.0738	-7.5887	3.3573	0.5726	-1.3977	7.9124	-1.2564	2.4597	-1.6443	1.2624	2.3025
