Pseudomonadales	Burkholderiales	Verrucomicrobiales	Lactobacillales	Clostridiales	Erysipelotrichales	Selenomonadales	Veillonellales	Bifidobacteriales	Coriobacteriales	Bacteroidales
XT_D04-NFlex-R1-A	-4.6271	-3.5792	-6.9417	-2.302	6.9072	1.4101	0.4599	0.0869	3.5658	0.952	4.0682
XT_D06-NFlex-R1-A	-4.8611	-3.6736	-6.907	-0.3461	7.6645	-0.6488	-5.1167	1.3312	3.7647	2.0898	6.7031
XT_D08-NFlex-R1-C	-4.9279	0.3152	-3.5074	0.7687	7.524	-0.2229	-4.1092	-5.7654	0.6793	1.9472	7.2985
XT_D07-NFlex-R1-C	-4.3926	0.463	-5.3883	1.4332	8.3599	2.4033	-4.133	-5.0617	2.786	-3.5259	7.056
XT_D10-NFlex-R1-C	-4.6825	-5.2755	-5.2827	0.0336	7.2577	0.3597	2.8373	-5.6541	-0.951	4.0909	7.2666
XT_D05-NFlex-R1-C	-5.2144	0.6394	-1.3111	-0.645	5.3646	-1.9018	-6.0987	0.8999	2.3329	0.6961	5.238
XT_D05-NFlex-R1-A	-5.2158	0.661	-1.2895	-0.7141	5.349	-1.9503	-6.0139	0.8791	2.3639	0.7308	5.1997
XT_D05-NFlex-R1-B	-5.2055	0.6467	-1.3232	-0.64	5.3704	-1.9043	-6.1147	0.9044	2.3237	0.6932	5.2492
XT_D08-NFlex-R1-B	-4.8858	0.3106	-3.5189	0.7614	7.5301	-0.2016	-4.0753	-5.8651	0.6813	1.9607	7.3027
XT_D02-NFlex-R1-B	-3.0093	-1.2498	-4.7869	0.5303	7.6769	-0.1645	-4.9605	-1.3767	0.3147	-0.8744	7.9002
XT_D07-NFlex-R1-B	-4.4175	0.4287	-5.477	1.4823	8.3659	2.4708	-4.1074	-5.075	2.8331	-3.5498	7.0459
XT_D09-NFlex-R1-B	-1.3835	0.6711	-8.12	-2.2347	5.6188	-0.7614	0.1293	-0.3981	1.6924	0.1898	4.5965
XT_D03-NFlex-R1-C	-5.0321	-3.6163	-4.0066	0.1826	5.5954	-1.3321	3.0764	-0.8118	-0.3517	1.5404	4.7557
XT_D01-NFlex-R1-A	-5.2184	-2.3345	1.708	1.2038	7.2545	-0.8478	-5.0385	0.339	0.7571	-3.7127	5.8895
XT_D04-NFlex-R1-C	-4.5645	-3.6074	-6.8843	-2.313	6.8955	1.3848	0.4298	0.0875	3.5719	0.9416	4.058
XT_D10-NFlex-R1-A	-4.7786	-4.6625	-5.4918	-0.0963	7.1469	0.1785	2.6131	-5.1499	-0.8953	4.0077	7.1282
XT_D06-NFlex-R1-B	-4.844	-3.7363	-7.0117	-0.3343	7.6761	-0.6588	-5.0636	1.3788	3.7976	2.1032	6.693
XT_D03-NFlex-R1-B	-5.1033	-3.6964	-4.0576	0.2325	5.5955	-1.1988	3.2171	-0.7912	-0.4185	1.4776	4.743
XT_D10-NFlex-R1-B	-4.8319	-5.0921	-5.3457	0.0158	7.2548	0.3483	2.833	-5.6396	-0.9096	4.1212	7.2458
XT_D09-NFlex-R1-C	-1.4066	0.67	-8.1133	-2.2126	5.6223	-0.8084	0.1235	-0.3782	1.7049	0.2012	4.5973
XT_D02-NFlex-R1-A	-3.0103	-1.2623	-4.7344	0.5452	7.6647	-0.2009	-4.9252	-1.3777	0.3094	-0.8981	7.8894
XT_D09-NFlex-R1-A	-1.4565	0.6624	-8.1051	-2.1843	5.6291	-0.8291	0.086	-0.3485	1.7241	0.2175	4.6044
XT_D04-NFlex-R1-B	-4.6356	-3.5538	-6.8386	-2.3744	6.8641	1.2976	0.4886	0.0855	3.6172	1.0036	4.0457
