Proteobacteria	Verrucomicrobia	Firmicutes	Actinobacteria (201174)	Bacteroidetes
XT_D04-NFlex-R1-A	-2.7588	-4.8938	4.6102	1.3993	1.643
XT_D06-NFlex-R1-A	-3.514	-7.0518	5.0501	1.5188	3.9968
XT_D08-NFlex-R1-C	-1.7172	-6.3101	4.4405	-0.5039	4.0908
XT_D07-NFlex-R1-C	-0.5678	-8.1913	5.2034	-0.2345	3.7902
XT_D10-NFlex-R1-C	-3.0606	-7.8239	4.7886	1.5103	4.5857
XT_D05-NFlex-R1-C	-1.4901	-4.0256	2.9154	0.0926	2.5077
XT_D05-NFlex-R1-A	-1.4681	-4.0116	2.8991	0.1185	2.4622
XT_D05-NFlex-R1-B	-1.4852	-4.0384	2.9225	0.0838	2.5172
XT_D08-NFlex-R1-B	-1.7146	-6.3284	4.4443	-0.494	4.0927
XT_D02-NFlex-R1-B	-1.4737	-7.2931	5.0587	-1.3505	5.0586
XT_D07-NFlex-R1-B	-0.5905	-8.2541	5.2262	-0.1769	3.7953
XT_D09-NFlex-R1-B	0.0422	-8.8613	4.5391	0.9372	3.3428
XT_D03-NFlex-R1-C	-2.8348	-5.3445	4.4698	0.4458	3.2637
XT_D01-NFlex-R1-A	-2.012	-1.9561	3.6981	-1.9545	2.2245
XT_D04-NFlex-R1-C	-2.771	-4.8892	4.6072	1.4113	1.6417
XT_D10-NFlex-R1-A	-3.0184	-7.8886	4.7906	1.5498	4.5666
XT_D06-NFlex-R1-B	-3.5128	-7.0584	5.0539	1.5387	3.9787
XT_D03-NFlex-R1-B	-2.8456	-5.37	4.5222	0.4122	3.2812
XT_D10-NFlex-R1-B	-3.0231	-7.8818	4.7892	1.5458	4.5699
XT_D09-NFlex-R1-C	0.0259	-8.8276	4.5316	0.9379	3.3323
XT_D02-NFlex-R1-A	-1.4762	-7.2472	5.0458	-1.3691	5.0466
XT_D09-NFlex-R1-A	0.0149	-8.844	4.5374	0.9538	3.3379
XT_D04-NFlex-R1-B	-2.7541	-4.8603	4.5583	1.4429	1.6131
XT_D08-NFlex-R1-A	-1.7343	-6.2913	4.456	-0.5477	4.1174
XT_D06-NFlex-R1-C	-3.4996	-7.0642	5.0464	1.5386	3.9789
XT_D02-NFlex-R1-C	-1.5479	-7.0064	4.9902	-1.4357	4.9998
XT_D01-NFlex-R1-C	-1.9735	-1.9557	3.6547	-1.9255	2.2
XT_D07-NFlex-R1-A	-0.5872	-8.2007	5.217	-0.2215	3.7923
XT_D03-NFlex-R1-A	-2.8273	-5.3673	4.4981	0.4193	3.2773
XT_D01-NFlex-R1-B	-1.967	-1.9416	3.6496	-1.9408	2.1998
Flex_D10-NF-R1	-3.3873	-7.7732	4.8929	2.051	4.2166
Flex_D07-NF-R1	-1.0355	-8.3511	5.165	0.7931	3.4285
Flex_D08-NF-R1	-1.4107	-6.327	4.2322	-0.2286	3.7341
Flex_D05-NF-R1	-1.4811	-3.8617	3.0079	0.0691	2.2658
Flex_D02-NF-R1	-1.3781	-7.3566	4.9766	-1.0443	4.8024
Flex_D03-NF-R1	-3.1203	-5.0117	4.7165	1.0766	2.3389
Flex_D09-NF-R1	0.2694	-9.0471	4.5071	1.3027	2.9679
Flex_D01-NF-R1	-2.2138	-1.5678	3.4601	-1.319	1.6405
Flex_D06-NF-R1	-3.7171	-7.0124	5.0092	2.2392	3.4811
Flex_D04-NF-R1	-2.8692	-4.3195	4.3706	1.5078	1.3102
