Guerin_crAss_Delta_07	Sutterella wadsworthensis	Bilophila wadsworthia	Akkermansia muciniphila	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Clostridium phoceensis	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. CAG:354	Clostridium sp. CAG:356	Clostridium sp. 28_12	Clostridiaceae bacterium	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp.	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Dorea sp. OM07-5	Anaerostipes hadrus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. BIOML-A1	[Clostridium] bolteae	Anaerobutyricum hallii	Eubacterium ramulus	Eubacterium ventriosum	Eubacterium sp. CAG:38	Eubacterium sp. CAG:86	Eubacterium sp.	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Ruminococcus callidus	Ruminococcus lactaris	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp.	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Clostridiales bacterium	Clostridiales bacterium UBA7739	Clostridia bacterium	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium longum	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides xylanisolvens	Bacteroides oleiciplenus	Bacteroides mediterraneensis	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. AF39-10AT	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes onderdonkii	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Parabacteroides distasonis	Parabacteroides merdae
XT_D04-NFlex-R1-A	-10.2511	-1.9821	-1.3104	-5.2747	-4.5394	-0.0149	-0.9933	3.2756	5.3755	-4.3587	1.3471	-7.3624	-7.0143	-7.4248	3.4794	4.832	1.8418	4.6478	-2.6812	4.9016	4.6238	2.4488	4.1529	4.029	6.4526	5.2027	3.7455	-0.9954	3.0328	2.4835	1.7125	3.5683	-0.27	-1.182	2.0633	1.1525	1.2967	0.8542	2.3173	4.9902	5.1422	1.4848	3.9598	-0.8694	-6.0968	3.9467	-7.2708	2.3522	7.4874	4.2808	4.5871	-0.1628	5.4567	-4.4363	1.5343	4.5583	1.614	-0.4593	-3.4014	4.6912	-5.3713	-11.9698	-11.0732	-7.7895	-2.6247	0.9459	1.4326	6.5215	4.031	0.6317	1.8781	-4.8399	1.1699	1.116	1.0186	-1.6863	1.1271	-1.6504	1.7116	-3.272	-1.6792	-9.5203	-1.8231	3.6262	-1.1157	-5.1017	-7.0373	1.499	-9.0077	-2.0993	-4.8909	-2.3444	5.4816	4.5773	4.7962	-1.4009	-1.838
XT_D06-NFlex-R1-A	-8.3352	-3.3431	-7.1702	-4.242	1.5223	-2.8875	3.2542	3.5748	-6.1018	-1.2183	-7.2594	-7.4255	-8.1782	-7.747	2.4526	-1.9102	0.2225	3.9168	-4.6873	-1.1569	4.2622	0.9382	-2.0488	-4.199	7.1193	6.355	5.1283	-0.8612	4.5619	5.0512	4.1905	2.5816	1.3811	1.4164	4.3643	-0.4508	5.3655	0.7698	5.4941	2.5252	3.0584	-3.8907	4.0903	4.384	3.7644	5.8015	3.7618	2.8404	9.3167	0.478	3.5717	0.6344	4.5744	-4.1393	3.5793	4.6617	0.9986	-2.3668	-4.9041	-3.4603	-11.1046	-10.0388	-10.4352	-5.9718	-5.7456	-0.3794	-0.756	6.1075	6.5076	1.7405	4.1029	-4.3896	2.6273	5.9505	7.1515	8.8998	6.0322	-0.0065	3.5577	0.4786	1.1606	-7.3193	-0.3119	-0.2089	0.1634	-5.4694	-7.6812	0.4475	-5.8386	-2.4306	4.7185	0.8923	-4.6876	-4.443	-7.6019	0.1542	0.1478
XT_D08-NFlex-R1-C	-6.53	-8.477	1.2128	-1.5139	-1.2935	3.1976	3.7321	2.8297	-4.8514	2.1312	-7.5523	-8.9824	-12.0872	-12.0123	2.9119	-2.3742	4.9462	0.6748	-5.3147	-2.1857	3.4006	1.5678	-1.764	-5.9041	5.387	5.2394	3.8272	0.8382	3.2976	5.1294	2.9502	4.2215	3.6659	1.3877	1.4863	-2.1474	3.515	-1.9182	2.0607	4.1197	1.6991	-5.7828	2.5687	3.1922	5.0281	5.5319	3.0606	3.5114	8.3176	-0.1811	2.4641	4.1771	4.9562	-5.3821	3.4675	4.3939	0.6943	0.7715	-4.8968	-4.2648	-8.9728	-10.4302	-10.515	-7.6589	-7.8705	2.805	2.2014	2.3396	2.913	1.4014	3.3007	-4.5044	3.3318	4.2809	3.9795	8.0032	4.1086	7.2107	4.5721	3.0856	-0.5794	-8.3143	-0.8875	1.4735	-2.076	-2.9455	-7.6322	-1.7597	5.5104	-2.0321	4.3002	3.3149	-3.8801	-4.8647	-10.3571	2.8434	2.1559
XT_D07-NFlex-R1-C	-11.9148	-7.8211	4.2752	-2.7338	-3.6776	3.1927	2.0216	3.9463	-4.3477	-4.4748	-7.6227	-8.8445	-6.3176	-8.9406	2.4901	-2.5831	-1.0491	-0.5957	2.0568	2.739	3.7527	3.0665	1.6704	-0.3375	7.3869	4.7573	3.5382	-0.4304	3.9266	2.7719	3.0252	4.4468	1.6429	0.7153	3.6857	2.5083	0.7858	-4.2427	1.4175	3.6443	4.3419	-2.9544	4.1607	4.5019	2.625	4.4385	7.4668	5.1225	8.4741	3.3469	3.3793	2.8206	7.3243	4.5105	4.2106	4.7684	0.4385	-1.719	4.0855	-3.8995	-6.6562	-10.3994	-11.9431	-6.4905	-6.9417	-3.7629	-3.1355	4.7244	3.8287	-5.5214	-2.4765	-6.6734	0.9742	5.0214	5.4829	-1.9699	0.6133	-1.1472	4.5673	3.5955	-0.7691	-9.2359	3.3205	1.4071	-0.9816	-3.1637	-7.8801	-0.0534	-4.3562	0.2673	4.3729	1.832	-4.0918	-3.6981	-7.6134	-0.0841	4.0644
XT_D10-NFlex-R1-C	-6.3431	-7.5741	-6.6711	-2.1561	-2.1793	0.3282	4.4009	2.7257	-6.1843	4.5835	-8.333	-9.1054	-11.3272	-8.8301	4.4413	-2.7194	6.22	0.2377	5.2932	-2.4906	5.674	5.0184	-4.6601	-6.009	1.743	4.4865	1.347	5.1641	4.0551	4.0825	4.8065	4.894	0.2195	4.7247	3.9275	5.3863	-2.7903	-3.36	-3.3887	-1.2259	1.1417	-4.6832	-7.2237	0.2227	-8.1396	4.4396	-7.0975	0.8666	1.9606	-3.7939	-5.219	-2.1914	6.1666	-7.4724	4.5642	4.4425	-6.0105	5.1722	-7.531	-3.6866	3.7825	2.3988	5.025	-7.3047	-7.7185	-4.168	-6.1035	-3.3204	2.7749	4.0036	6.0317	5.1901	0.7838	5.2544	7.0041	-0.5417	5.3827	0.5921	4.7451	6.0166	3.9008	1.943	4.8677	1.9194	1.6101	-0.9017	3.8024	3.4665	-0.7712	0.4472	3.9145	1.8141	-5.2467	-1.4959	-8.9105	3.0761	2.3955
XT_D05-NFlex-R1-C	2.2155	5.7031	3.0535	2.441	6.851	4.4679	2.6361	2.5546	-3.8525	-0.3554	-4.2895	-3.9456	2.6255	2.7467	1.9239	-3.027	2.4696	1.1683	-4.6709	-2.1576	2.0904	0.9527	-6.6152	-6.5317	2.7945	3.9855	2.9787	-2.6434	4.4657	1.8259	2.5235	3.4882	-1.5632	2.8961	2.7999	-1.4427	0.9426	3.3384	-5.2326	1.8088	2.7639	-4.1039	-5.0183	1.5205	-0.6093	3.6524	-0.0974	3.7195	7.4392	-0.1785	1.1212	1.3213	4.8732	-4.5726	3.182	2.8302	-3.7459	-2.0931	-4.7288	-4.5392	-7.0739	-9.539	-11.0365	5.1962	-6.2684	-3.1043	-2.7834	5.6283	5.8039	1.5086	2.6869	-0.7171	4.4503	3.9805	6.2046	-1.2904	5.3701	5.8197	-0.0046	-2.5704	-1.8332	-8.4501	-2.6959	1.5612	-3.2002	-4.0835	-7.149	0.4288	-4.2008	-0.7884	-2.1548	-1.2981	-3.675	-3.6081	-5.0085	4.9798	4.758
XT_D05-NFlex-R1-A	2.0844	5.7894	3.1774	2.5305	6.9909	4.5898	2.7854	2.599	-3.6395	-0.2853	-4.4526	-4.0269	2.5478	2.6785	1.9871	-3.0056	2.4951	1.1466	-4.7085	-2.008	2.1054	0.9251	-6.6398	-6.4258	2.8231	3.9988	2.9836	-2.6734	4.421	1.8322	2.5295	3.5173	-1.4801	2.9901	2.785	-1.4007	0.8423	3.3592	-5.1061	1.7521	2.8902	-3.9996	-4.8561	1.5015	-0.6053	3.7246	-0.0422	3.8201	7.5397	-0.0073	1.2343	1.459	4.9657	-4.5367	3.2763	2.9339	-3.6572	-2.0591	-4.8375	-4.6126	-8.0338	-9.4853	-12.5177	5.2527	-6.3214	-3.0166	-2.7038	5.7245	5.9088	1.6162	2.7795	-0.6674	4.4421	4.006	6.2155	-1.2588	5.3805	5.8555	-0.0408	-2.5218	-1.8743	-9.075	-2.8666	1.5649	-3.1812	-4.2544	-7.2421	0.4305	-4.3403	-0.8266	-2.13	-1.1549	-3.5366	-3.4036	-5.0683	5.0067	4.7922
XT_D05-NFlex-R1-B	2.2063	5.7501	3.1305	2.4666	6.9269	4.5479	2.7145	2.6028	-4.0076	-0.3412	-4.4925	-3.9194	2.6516	2.7729	1.9879	-2.9867	2.5051	1.1956	-4.6596	-2.0339	2.1313	0.9748	-6.8659	-7.3083	2.8373	4.0282	3.0198	-2.665	4.5006	1.8825	2.5745	3.5344	-1.5333	2.938	2.8399	-1.4039	0.9614	3.3794	-5.1986	1.8288	2.8324	-4.0024	-5.0337	1.5412	-0.576	3.7148	-0.0085	3.7803	7.4869	-0.1032	1.14	1.4206	4.932	-4.4113	3.237	2.8796	-3.6464	-2.0678	-4.7961	-4.531	-7.5634	-8.9781	-12.142	5.2372	-6.0244	-2.9129	-2.7372	5.6579	5.8376	1.5696	2.7178	-0.7289	4.4741	4.0169	6.2466	-1.313	5.4211	5.8678	0.0039	-2.6684	-1.8655	-8.7815	-2.7258	1.6174	-3.2383	-4.4116	-7.5136	0.436	-4.322	-0.8205	-2.2748	-1.2182	-3.5497	-3.4042	-5.0352	5.0412	4.822
XT_D08-NFlex-R1-B	-7.1935	-8.2237	1.165	-1.556	-1.3096	3.1821	3.7246	2.8248	-4.8527	2.1301	-7.9693	-9.276	-11.1444	-10.6855	2.8984	-2.3496	4.9248	0.6656	-4.9071	-2.2302	3.3635	1.5231	-1.7966	-6.0196	5.3656	5.2118	3.7891	0.7695	3.27	5.1023	2.9415	4.198	3.6463	1.3507	1.4418	-2.2761	3.4825	-2.0326	2.016	4.1109	1.7351	-5.5238	2.5066	3.1612	5.0048	5.5032	3.0216	3.5153	8.3009	-0.1987	2.4538	4.1603	4.9172	-5.3679	3.4352	4.3893	0.6763	0.7146	-4.9439	-4.1357	-10.1668	-9.481	-10.1355	-7.8191	-8.3615	2.7727	2.1861	2.3208	2.879	1.3798	3.282	-4.4519	3.2963	4.2552	3.9324	7.9699	4.0886	7.1757	4.5493	3.0472	-0.6202	-7.7438	-0.9053	1.4289	-2.1573	-3.064	-8.0338	-1.9753	5.4891	-2.0666	4.2764	3.2742	-4.0364	-4.7064	-9.4332	2.8019	2.1515
XT_D02-NFlex-R1-B	4.3081	-8.6345	1.5244	-2.9496	-4.8876	0.9499	2.1684	3.5077	-4.4867	-4.1711	-9.4374	-4.5875	-5.5444	-5.8748	3.2083	-2.2319	4.0524	1.805	-0.322	-1.1883	2.0529	0.452	-3.099	-5.8051	2.0614	6.0724	2.1356	-2.8932	1.7753	2.4507	1.5856	2.2067	5.0609	-1.1668	0.1605	0.1261	2.6205	4.1736	1.737	1.1835	4.1966	3.9623	3.8331	-1.0038	-5.2038	6.076	-6.625	4.6548	7.2589	2.4335	1.249	2.4069	4.5396	-5.5401	2.1813	6.6561	4.0199	-2.1067	-1.1918	-4.0875	-9.9639	-12.0878	-9.9775	-9.4599	-8.1229	3.942	4.7731	-6.265	-4.532	-2.7235	-0.3592	-6.2779	3.4633	2.1255	4.97	-0.5903	5.2894	7.343	4.5931	4.3526	2.8081	4.0733	3.3547	1.6174	-0.1182	0.4807	5.8604	4.8985	-1.095	1.1565	-4.3293	-1.2126	-4.5359	-1.5643	-5.4172	3.0878	2.6348
