XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Clostridia	75.750150030006	61.3329066325306	51.9472336680402	67.730386519326	45.8164979797576	45.0208049931984	45.1667433532718	44.9915976473413	51.974197419742	45.2710743966957	67.8957895789579	58.958843826574	53.4438788266709	67.7511626744012	75.6903811724228	46.2440868495534	61.5775419787781	53.1333760051206	46.0261423528117	58.9940289849274	45.2490724165175	59.0134421507441	75.1642877861908	51.7791423313865	61.4655318978708	45.1061574310202	67.4797723704082	67.9860791647499	53.1839139088081	67.414438021323	51.045104510451	68.9212029082617	53.6473647364736	49.2057935063116	48.1482592737056	60.5998779841379	61.2187340607467	70.157225156025	64.1403382439717	73.2913228307077
Bacteroidia	10.5891178235647	31.4845187615009	44.3923270792495	27.4253712685634	45.3284394127295	41.027846683204	40.5125332586472	41.143520185652	44.3574357435743	52.8067526077347	27.1827182718272	29.0023503525529	29.8572843012731	26.2419362904436	10.5910122923355	44.8849373431077	31.1398025822324	29.4185302236268	44.9620465841926	28.9639238670574	52.8287545879129	28.9746359417507	10.6574512137792	44.6195695655652	31.2428118530668	52.975708299581	26.4314360866913	27.2706362381743	29.6878594217248	26.4967095393355	36.5806580658066	22.8740586652799	41.3241324132413	35.8413187428731	49.0673787592387	15.5590226729475	23.766614327576	21.3244119059049	23.8390990828808	9.72543135783946
Actinobacteria (1760)	7.57351470294059	4.15533242659413	0.519062287474497	1.51107555377769	0.242029043485218	5.68636472753461	5.89353231840278	5.6215740407314	0.518051805180518	0.319028712584133	1.55615561556156	3.96859528929339	0.942103631399454	0.889133370005501	7.65845510647023	0.261028713158447	4.23338100429039	0.893107172860743	0.245022051984679	3.99267875538842	0.319028712584133	4.02664426308209	8.0218450243556	0.499039923193855	4.2533828044524	0.312021841528907	0.923120005600728	1.51609096545793	0.912118575414804	0.92212909807373	0.321032103210321	3.27329459651369	0.777077707770777	5.67347510352692	0.476061888045446	1.49019372518427	5.39259318525038	1.57525204032645	7.38996069489033	9.40035008752188
Negativicutes	1.61132226445289	0.772061764941195	0.177021242549106	0.040002000100005	2.44929391526983	2.05549331839642	2.05653469902175	2.05157444084344	0.177017701770177	0.215019351741657	0.04000400040004	2.37835675351303	10.0951104621508	0.578086713006951	1.60630519798762	2.31225434797828	0.79507155644008	10.996319558347	2.45622105989539	2.3814048388226	0.216019441749757	2.35737718034886	1.66438280804585	0.17501400112009	0.792071286415778	0.216015121058474	0.571074239651155	0.0400024001440086	10.6093792192985	0.573080231232372	2.91929192919292	0.0490044103969357	0.254025402540254	2.5206553703963	0.292037964935442	14.1818436396732	2.13323465581214	0.7811249799968	1.12414613899807	1.79744936234059
Coriobacteriia	1.37827565513103	1.48311864949196	1.31115733888067	0.166008300415021	5.13061567388087	1.97647435384492	2.05753495908936	1.96555035409915	1.32113211321132	0.293026372373514	0.168016801680168	1.51922788418263	3.28936182980128	0.538080712106816	1.37926205979136	5.27958075388293	1.49213429208629	3.13037564507741	5.27547479273135	1.53026014422452	0.290026102349211	1.5392462794047	1.46133610730468	1.25410032802624	1.49113420207819	0.290020301421099	0.568073849600448	0.164009840590435	3.17841319371518	0.557077990918729	7.82678267826783	0.396035643207889	1.86418641864186	2.12055134334927	0.366047586186204	4.99564943442648	2.11523267559432	1.13118098895823	2.67034714512887	1.77244311077769
Erysipelotrichia	1.67633526705341	0.193015441235299	0.241028923470816	1.09005450272514	0.377045245429452	0.291069856765624	0.28507411927101	0.289080942663946	0.244024402440244	0.197017731595844	1.14011401140114	0.707106065909886	0.439048295312484	0.24603690553583	1.65931526990128	0.363039934392783	0.191017191547239	0.478057366884026	0.377033933053975	0.682115959713151	0.194017461571541	0.670107217154745	1.58436440381288	0.267021361708937	0.187016831514836	0.201014070984969	0.243031594107234	1.00206012360742	0.469060977927131	0.238033324665453	0.706070607060706	2.65023852146693	0.334033403340334	0.449116770360294	0.347045115865062	0.782101673217518	1.23913630499355	0.328052488398144	0.348045245881965	2.1315328832208
Bacilli	0.22004400880176	0.272021761740939	0.517062047445694	0.591029551477574	0.3470416449974	0.76318316395935	0.738191929901774	0.760212859600688	0.511051105110511	0.355031952875759	0.61006100610061	0.293043956593489	1.29814279570753	1.07316097414612	0.216041047799082	0.337037074078149	0.273024572211499	1.33816057926951	0.335030152713744	0.298050668613664	0.362032582932464	0.301048167706833	0.213049001270292	0.529042323385871	0.270024302187197	0.353024711729821	0.996129496834588	0.60103606216373	1.32817266244612	0.987138199347909	0.314031403140314	0.696062645638107	0.51005100510051	0.789205193350271	0.672087371358277	1.72722453919009	0.297032673594095	1.03116498639782	0.250032504225549	0.280070017504376
Betaproteobacteria	0.0640128025605121	0.0300024001920154	0.367044045285434	0.292014600730036	0.0130015601872225	1.70941025846203	1.76145797907456	1.70947865402313	0.364036403640364	0.103009270834375	0.286028602860286	1.91928789318398	0.111012211343248	0.100015002250338	0.0630119722747322	0.018001980217824	0.0290026102349211	0.10401248149778	0.0140012601134102	1.91432543532401	0.102009180826274	1.89630340854537	0.0670154135451154	0.350028002240179	0.0300027002430219	0.102007140499835	0.104013521757829	0.287017221033262	0.106013781791633	0.105014702058288	0.013001300130013	0.240021601944175	0.611061106110611	1.75845719887171	0.134017422264894	0.0670087111324472	1.49516446809149	0.108017282765242	0.0270035104563593	0.0820205051262816
Deltaproteobacteria	0.152030406081216	0.0120009600768061	0.302036244349322	0.570028501425071	0.00900108012961555	0.547131311514764	0.583151619421049	0.557156003681031	0.302030203020302	0.142012781150304	0.562056205620562	0.39105865879882	0.0850093510286132	0.799119867980197	0.150028505416029	0.0100011001210133	0.0120010800972087	0.08100972116654	0.00800072006480583	0.389066141244011	0.144012961166505	0.392062730036806	0.157036118307211	0.29202336186895	0.0120010800972087	0.142009940695849	0.854111034434476	0.562033722023321	0.0820106613859802	0.857119996799552	0.008000800080008	0.488043923953156	0.419041904190419	0.59515474023246	0.147019112484623	0.0820106613859802	0.465051155627119	0.885141622659625	0.0130016902197286	0.194048512128032
Verrucomicrobiae	0.00500100020004001	0.00300024001920154	0.0250030003600432	0.00500025001250063	0.00800096011521383	0.438105145234856	0.451117290495529	0.432120993878286	0.025002500250025	0.00800072006480583	0.005000500050005	0.0040006000900135	0.0690075908349919	1.44621693253988	0.0050009501805343	0.00700077008470932	0.00200018001620146	0.0660079209505141	0.0070006300567051	0.00400068011561966	0.00800072006480583	0.00400064010241639	0.00600138031747302	0.0250020001600128	0.00200018001620146	0.0110007700539038	1.48219268504906	0.00500030001800108	0.0670087111324472	1.50021002940412	0.008000800080008	0.00500045004050365	0.028002800280028	0.507131854282113	0.00900117015211977	0.0880114414873934	0.00400044004840532	2.30636901904305	0.00300039005070659	0.00600150037509377
