XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Bacteroidaceae	2.78990149755746	33.5080838802625	41.5420172691527	20.0142072456953	50.6998849367152	31.7658013035512	31.0861010703808	31.7651181417701	41.4750555322087	52.7682993946065	19.9477717967703	26.5086767678789	7.65890169708614	14.5774957969738	2.79888284933481	50.2246055646154	33.2613001980911	7.5569876118238	50.245137276875	26.4861889511609	52.8178033941723	26.4789183454929	2.79087460083886	41.9677609789776	33.2923132334844	52.9275785807924	14.1031670585881	20.0804418297515	7.65944247663645	14.1197426224095	42.1819346059951	16.9930258852723	36.1717882265827	28.6074808472285	48.3332165767641	4.68327829480636	20.6370331825641	10.5738730174613	24.4842421210605	2.83657408334502
Ruminococcaceae	19.9737727236326	30.5256523131103	26.6431208540526	38.7697725840179	7.22697483615989	19.1027322513791	19.7244445334481	19.195034040849	26.6924816393508	17.005053284635	38.3957336961959	26.5527111146694	20.0938600704451	37.0867024257465	19.9085057609338	7.43949656338479	30.3319526982412	19.449836892349	7.33810934123109	26.6333066453163	16.9938760806916	26.5359634110948	20.358969738831	26.0633773926617	30.5399645826455	16.9400274194678	37.6374643518287	38.9492536118782	19.6183786596226	37.7190261280283	9.09673029975587	35.3338469697121	28.832164263486	18.6330178759201	16.6458172793051	23.1051736215351	29.4870511948125	38.4820133086506	31.9469734867434	21.4179866631956
Lachnospiraceae	39.169736525987	17.9986393468865	14.8308603559887	20.4224154318703	18.5441993096203	16.5897417927334	16.27199086822	16.5078093712455	14.8065878209361	13.6258568069245	20.8972845336482	18.5314545345369	19.5835334614153	20.0904651348971	39.2254021642292	18.6627715026062	18.4604918262401	19.8671122941141	18.5964139918354	18.5268214571657	13.6087095741274	18.6797570080364	38.4035556623322	15.0108564052791	18.2129243329231	13.5526223618769	19.4906689348076	20.449633809581	19.7534570050629	19.4274049093875	21.1580021611238	24.2262935131728	14.8713689624463	17.7136848430224	15.9102508931878	23.839687781447	18.8007845334828	21.1567518887277	20.3071535767884	34.061918016701
Clostridiaceae	5.16437094578361	2.92040179286057	3.75298908421463	2.59232208426297	5.9822902596428	3.69840109730579	3.62667841515555	3.69743692430917	3.76418322627124	4.08465502576675	2.59540151681908	5.32415283921459	5.55155299391611	3.83075814586502	5.18534090112816	6.07785659259852	2.91834243752126	5.49462645345928	6.05839269991195	5.28322658126501	4.06960454691002	5.24914682599253	5.19134708750013	3.73320258952782	2.89441826494983	4.06088322709123	3.89653274628509	2.56733501420739	5.50719417262012	3.86766869139706	5.81802537319406	3.09482594730891	4.09457958513864	6.49842271293375	4.79369114217948	5.3667567297108	6.15318416523236	4.03462250462801	2.95247623811906	6.33698460059675
Bifidobacteriaceae	8.86421878753904	4.94637425964463	0.54628953345273	1.73888683228447	0.197108409625294	6.72400156185861	6.96097966376626	6.65598718462155	0.544315703107803	0.33121528993846	1.79496928341304	4.69966573927664	1.02265449887928	0.968697462172764	8.97524450183689	0.224105329504867	5.05132360886008	0.969639962375168	0.205114864324021	4.7337870296237	0.332212616074288	4.77977602305822	9.35663733645655	0.525309932860388	5.06948404718312	0.325230913948904	0.99164456896983	1.74690839236403	0.990574533229273	0.993685643093735	0.309160763597071	3.84026575679651	0.839528903209022	6.5144459466226	0.519399937952223	1.65215650955669	6.26726173798183	1.74213238605093	8.70835417708854	10.8406592306306
Rikenellaceae	0.463482021302154	2.06699215623499	3.80201506798603	5.4797946952946	1.40977537645705	2.92147655710295	3.01889437374213	2.9295154185022	3.81221108242781	1.82718767198679	5.36489704440398	1.41210143912252	2.57064521293628	7.85765751340965	0.46247635064116	1.40666113073144	1.99091582127779	2.45261872836072	1.41279116305131	1.40712570056045	1.81816362471982	1.42012189629808	0.485500065067019	3.68717543350577	2.04500205100499	1.81628956559157	8.32341021664082	5.33877616360507	2.4934461987953	8.36176962103852	0.893464601592828	4.41560520707217	5.25030769384712	2.66987131340444	1.96050959238614	1.27489242469729	1.52403634471441	7.83109020863561	2.14507253626813	0.642809940525062
Eubacteriaceae	5.56278529670858	3.33360012806147	2.26820214713798	2.85445577244395	2.14017709740357	1.919283947898	1.858397332559	1.91329595514618	2.27231794440776	1.93725921849202	2.87655333880295	4.58457596925602	1.54899135446686	2.48578976863342	5.48765228185031	2.15401238582134	3.26450167076855	1.61506594352273	2.13919795085248	4.56565252201761	1.94424431636247	4.56660762001982	5.26742544821166	2.4374380884722	3.24559033926624	1.95738974672017	2.33651873717917	2.90350982510906	1.60192911888896	2.30358947673895	3.03357746027935	2.59853313454938	1.85616938671363	2.26828901907766	2.50292725398557	2.01841288902232	3.9356762598567	1.77415319957973	2.7343671835918	5.30468390171616
Prevotellaceae	7.60691118763514	0.0460220906034897	0.0500265140524478	0.032016328327447	0.338186002301266	0.0851012705119092	0.0821059166324559	0.0820985182218662	0.0500290168297613	0.132085855806274	0.031016749044484	0.250195152218731	21.7799391610631	0.0410295412697142	7.60082885371933	0.335157524036297	0.0470216299497769	21.5141993715852	0.337188825742416	0.248198558847078	0.131083893691963	0.246194493649983	7.61684535071123	0.0530312884601915	0.0460225510500145	0.13109307608402	0.0420273177565418	0.0310161283867611	21.6645654479598	0.0420290000100069	0.260135270340577	0.0290171201008595	0.0420264766803086	0.0701016473887136	0.114087847642685	10.2781947363154	0.141095945242765	0.0320208135287937	0.0350175087543772	6.12271462042173
Coriobacteriaceae	1.19023784736126	1.38966704017929	1.30469148648784	0.0150076539034908	6.48456651158137	2.03341976952574	2.11272541578636	2.02442931517821	1.31176082127634	0.138089758342923	0.0150081043763632	1.62526770881287	3.74239513288505	0.0260187334881114	1.19623211908266	6.68013966564285	1.39964383616464	3.5593491704525	6.66273112943248	1.63630904723779	0.137087736151137	1.65030373995456	1.25228985855431	1.24673557398865	1.39968584606457	0.13609662860631	0.0280182118376945	0.0150078040581102	3.61709791679174	0.0270186428635759	9.8351142594149	0.024014168359332	1.79513093248747	2.1160682990336	0.162124836123815	5.6839787851496	2.17347796501621	0.046029919447641	2.34417208604302	1.45983939764103
Selenomonadaceae	1.02606710979419	0.00600288138306387	0.00600318168629374	0.00900459234209447	2.72750012506879	0.0140166798490203	0.0140180833274925	0.013015618742491	0.00600348201957135	0.00700455295942362	0.00900486262581794	1.5882388262845	11.003041946846	0.00800576415018813	1.01304343473778	2.54819765289686	0.00600276127018428	12.045950327216	2.7355318978628	1.57926341072858	0.00700448286903618	1.53421202750173	1.06609808102345	0.006003542089833	0.00600294144130624	0.00700497353120716	0.00900585380497323	0.00900468243486613	11.6077324848412	0.0100069047642874	3.14263416976828	0.0110064938313605	0.00900567357435184	0.0160232336888488	0.00700539415349819	15.3987791454018	0.781531441380139	0.00900585380497323	0.00700350175087544	1.12641928830326
