XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Poxviridae	1	0	0	0	0	2	0	5	0	3	4	2	4	0	2	2	1	2	1	8	1	3	1	1	1	1	1	4	5	1	1	18	1	6	4	4	2	2	2	2
Baculoviridae	0	2	0	0	0	1	0	1	0	10	1	3	0	4	1	0	1	1	1	0	12	3	1	0	0	10	3	0	1	4	2	2	1	1	14	1	1	5	0	2
Polydnaviridae	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	4	0	1
Iridoviridae	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3
Phycodnaviridae	18	0	2	1	2	0	0	0	6	15	4	19	0	0	10	1	1	0	0	30	9	30	14	4	0	11	0	4	2	2	0	14	7	0	24	6	6	1	0	45
Adenoviridae	0	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	2	1	0	1	2	0	1	1	0	1	1	1	1	2	0	2	3	0	2	0	0	1	1	1
Corticoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Geminiviridae	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
Microviridae	32	16	137	42	194	448	527	536	175	316	58	121	398	129	38	197	5	334	264	145	298	132	30	145	4	267	125	50	386	95	332	156	80	749	556	1255	75	82	9	97
Inoviridae	88	0	0	2	0	0	0	0	0	8	1	428	0	1	99	1	0	0	0	528	3	401	89	0	0	2	2	1	0	2	3	3	0	0	21	1	291	0	0	265
Myoviridae	37	598	195	9	20	76	108	112	216	101	16	420	61	342	39	10	706	59	20	520	113	457	38	206	451	102	321	9	69	292	36	70	477	275	159	294	636	341	1369	95
Siphoviridae	169	159	1843	2979	22	145	137	153	2061	104	3701	292	1318	1105	137	25	144	1081	29	338	120	247	154	1842	110	121	1097	3347	1230	848	50	17773	2554	253	225	3942	412	849	253	368
Podoviridae	49	3910	17114	4746	1377	23435	24080	26658	20595	192918	6197	8809	13730	11290	41	1219	3621	13296	1507	10179	190555	8335	31	18560	2772	186334	8476	5169	13406	6885	2410	35115	32822	58927	239351	88717	7795	5215	5480	109
Ackermannviridae	6	1	0	1	0	2	0	0	0	33	0	1	0	0	7	0	1	0	0	0	14	0	3	0	1	19	1	0	0	0	0	0	0	0	14	0	0	0	0	5
Herelleviridae	5	2	4	0	2	0	1	0	4	3	2	2	0	7	2	2	2	0	0	2	1	0	0	5	2	4	0	2	0	4	5	11	4	1	5	2	0	4	6	11
Circoviridae	4	0	0	1	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	3	0	0	0	0	0	2	0	0
Ascoviridae	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Asfarviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Papillomaviridae	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Polyomaviridae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nimaviridae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herpesviridae	7	1	1	2	1	0	1	2	0	1	5	1	1	5	5	1	2	1	5	5	2	2	2	0	1	4	3	3	0	4	3	5	3	0	0	4	6	2	9	5
