XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Bacteroides	2.80339136105955	35.0019036931647	42.0202586941057	20.6844388342901	51.3061514875197	31.6118731548611	30.8125753314584	31.5594469490828	41.9495431227958	50.2564873259192	20.6291009266216	24.4327240276343	8.29540670048319	15.1279121055375	2.81314271381991	50.7934917645173	34.792280406421	8.16721288473295	50.8144823578914	24.4264629206273	50.3170675509161	24.449858141097	2.79731505914696	42.4641340065721	34.8115788102562	50.4087684847513	14.5774231382259	20.7645838968533	8.29716645450992	14.6090844385633	42.2847297351445	17.4765840220386	36.3207263543984	28.1777001034542	45.8334168386877	4.86496782083926	18.9942174518706	10.8081284022897	25.6304668009258	2.78143036386449
Faecalibacterium	12.6764661616415	20.7773079774763	12.5139015519643	13.012552720424	0.125254266160305	12.1593396662181	12.5703093611892	12.1705340736799	12.6072058352036	7.44214006612564	12.9045830202855	19.370105584021	13.2215249513804	17.5919242952805	12.6170052671181	0.194365406965094	20.4783662999259	12.5940848091243	0.130237031397143	19.4170376609313	7.42228589174623	19.3018336391069	12.9691873940221	12.0952552696962	20.8069897698466	7.38187793050936	18.2954579628497	13.0796742103207	12.7745091160581	18.3773921586318	0.141242937853107	12.1612822439269	13.4678211372337	11.3267243197638	6.04946189149648	13.7829059486336	21.0095908120622	17.4728568707456	22.4463214003026	13.0559598494354
Ruminococcus	3.72247027542267	9.03953670120033	10.8196655612219	18.0166100642162	3.67445915207872	2.24629968067801	2.22579349136199	2.26321126986836	10.7656700865662	4.67688608355876	17.6989732031054	3.45429204560267	2.96028229444433	12.0945106058783	3.72410333584149	3.72901053981485	9.17152648349666	2.98666025236277	3.71776633472921	3.46428428187543	4.69440298133659	3.47278614895686	3.70533877813118	10.8038791376132	9.05584000480948	4.71185829359195	11.7184758964283	18.1809074424709	2.98088584630496	11.7159383677684	4.84032535961854	12.2604557976459	10.7229471068086	2.2970841996364	5.61556807022466	3.52567315596367	3.39236142429071	11.4467312955518	8.28298616329516	3.95282308657465
unclassified Lachnospiraceae	7.18205990066724	5.5768190289161	3.01576010179443	6.96260231018143	1.04411956271231	1.54640210471351	1.5116512655685	1.5422770676654	3.01579031740943	3.33333333333333	7.13448534936138	4.73273104651512	5.56067927100668	3.15169012390232	7.16127414095811	1.06299843706168	5.71354135353414	5.6846768293294	1.03889078122182	4.71363253519432	3.32294807705793	4.72695920679319	7.05649813880221	3.0626352488579	5.63409917537549	3.3042119184066	3.086500195475	6.94657329766878	5.6199821587868	3.07058434332802	1.22711063028409	7.38592536939644	2.77794480187601	1.65627102982091	3.71665631200273	5.89149307295948	4.193099024884	3.00353888259531	5.61483663470498	6.65997490589711
Blautia	2.40305021823107	3.51181291705909	4.24911581119939	3.69568919744738	3.39489163000892	3.56777057016046	3.50140618722379	3.54944624622212	4.24715453671048	2.79531109107304	3.80165289256198	3.56158065195376	4.16925637067185	4.17719234933237	2.38475043892651	3.43846431290827	3.63935149000982	4.21239363781232	3.4212266324711	3.56956643805398	2.78598691658068	3.58807783692743	2.36387169273681	4.2628436322834	3.56802901716381	2.77621929226947	4.08292149924316	3.68366743806289	4.18366426445088	4.05802331759446	4.50775333573747	5.49962434259955	4.74114605255246	3.88103775574773	3.39298955849049	5.86442648916334	3.91549662768207	5.27223330559705	4.56080234853267	2.69109159347553
Bifidobacterium	9.02021772939347	5.18806484580085	0.553056337604825	1.79925665454473	0.199404791727206	6.72684915550379	6.93652069104058	6.64805759440925	0.551058031420327	0.310590121230338	1.85925369396444	4.83600886384374	1.14281131583696	1.01547776574843	9.1397040381239	0.226425680278924	5.30471552536123	1.08141154775149	0.206375603598549	4.87005173865961	0.311557688261989	4.91844366246604	9.49662375711118	0.531978841067564	5.32148332214463	0.304572596481385	1.03451386870094	1.80827297408309	1.10655614469424	1.03756278006676	0.308530672757142	3.96994740796394	0.843805744292787	6.44328602565262	0.487003226646893	1.77937726807948	6.34677249631701	1.79249917292404	9.13963950424319	10.7573400250941
Eubacterium	5.6208297797622	3.45670600965874	2.2603172058632	2.92729841012232	2.02711504353838	1.74020444640813	1.67034953796705	1.7300412679606	2.26534947098429	1.83448552249274	2.95216629100927	4.65853144959942	1.53076568358161	2.49709290669233	5.54803110107851	2.03983488959243	3.38984749193371	1.59455585956683	2.02668857320323	4.63843099506678	1.8422977129061	4.63973853850241	5.30767455627239	2.43347759878176	3.36863621334028	1.8534845509558	2.33367082009283	2.97939270078843	1.58265593521034	2.30369011458302	2.85290700004007	2.63461056849487	1.8249052973363	2.05502154458071	2.35685512155039	1.93676444052369	3.91649880240121	1.70227270448827	2.81944152213773	5.22358845671267
Roseburia	4.03752571113229	0.936817425806064	2.58694105741967	0.628136927839389	6.14747938314779	2.45918100937883	2.40357573322619	2.44997138353097	2.58796890028855	2.99669371806432	0.643125469571751	1.88908162958358	2.89612446618682	3.26296162636834	4.0250815149235	6.14455175730373	0.94891681196016	2.92151497840184	6.13716964876074	1.89106806240725	2.9883491449695	1.91083441105998	3.97222751763372	2.60880019235393	0.935843611915474	2.9765960004809	3.19376083883838	0.634147807531632	2.91673766400385	3.18286166832075	6.20066514404776	0.71725519659404	2.46427354538713	2.47386024648206	3.56233841713931	3.13471139001945	2.08552559053145	3.28725100001003	0.953840912962017	4.13350062735257
Coprococcus	17.4735363467617	0.519006873334269	0.672284062559489	3.1617227181198	3.10229766425844	0.31530536420782	0.307352350341503	0.313275029369534	0.665277332478359	0.314597735697826	3.2236413724017	1.12402362354734	1.51272129438419	1.15381530935483	17.5921745673439	3.11285216206468	0.527064670634682	1.52640388065386	3.10164499388888	1.13103116351823	0.317568447521063	1.15091180687138	17.0989394684299	0.675242446100826	0.525034317605683	0.314591431891957	1.08864540834227	3.2037988759655	1.52452164499995	1.09169649033112	3.32371679288376	3.04833458552467	0.638366103461407	0.306344853908659	0.389802994167986	1.56284459771037	1.19860096409208	1.24612778072963	0.513992004568818	11.8494353826851
unclassified Ruminococcaceae	2.66693422966939	0.788529747710559	1.20129447244237	5.42782436209539	1.83372245658687	1.96111903279577	2.0198875050221	1.97604249294629	1.19529496633536	1.24035667768761	5.4595542198848	1.63439652665671	4.77775327305171	4.92902682545411	2.66967644845749	1.87652787240011	0.803623319104591	4.67943514036301	1.85838225570538	1.64039626198211	1.23420923452981	1.65117747902193	2.71203106344126	1.16013464775186	0.794565293628448	1.22830922133611	5.04425754583638	5.37773369799337	4.70186129960208	5.07152667087707	2.32499899827704	6.92111194590533	1.60343134307418	2.09720673757797	1.2906587570395	5.81831305010325	1.9853081186174	5.87474561148483	1.07507489454647	2.88883312421581
