XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Clostridiales	76.2843279475764	61.33287990478	51.8798947779034	67.7261589238386	45.4080816163233	44.7679362887815	44.9193580661944	44.7309181498935	51.9063812762553	44.9347843482436	67.886898510717	58.9756414745161	53.4198207569817	67.6689172293073	76.2290653700702	45.8360839384665	61.5775470603533	53.1054005661642	45.6125786415147	59.0108340085832	44.9103293757564	59.0312512504502	75.715586325573	51.7063412682537	61.4689819353032	44.7517404177002	67.4008502125531	67.9791968795319	53.1562259319644	67.3388548793662	50.6116406773558	68.8935344482676	53.5814669960889	48.9315084939072	47.805951487872	60.5113636363636	61.241147521306	70.1054337387964	64.1424699186829	74.0499869929762
Bacteroidales	10.6607973588115	31.4966142890007	44.3773192370398	27.4331149672451	45.6911382276455	41.0090944562836	40.5040621122984	41.1251513241488	44.3408681736347	52.4565895814996	27.1881657514928	29.038163357175	29.8501640393694	26.2705676419105	10.6649058566941	45.247954550001	31.1518534077497	29.4085284732572	45.3285189889877	29.0007302702	52.4760694959841	29.0124444800128	10.7330445309295	44.5979195839168	31.2561265929142	52.6036248699688	26.463615903976	27.2780917137571	29.677825899957	26.5304285199856	36.9214919431469	22.873489637513	41.313154551729	35.8144746583428	48.7641910477619	15.5369718309859	23.8026647461289	21.361835787452	23.8480080816972	9.82330458447562
Bifidobacteriales	7.52738732429593	4.10786265115674	0.451094729893278	1.4212131819773	0.153030606121224	5.47468259447129	5.6739504542362	5.41265219957779	0.450090018003601	0.273065535728575	1.46627859293266	3.87935777522133	0.866207889893575	0.749187296824206	7.61350221101707	0.174038288423453	4.18692112264698	0.821238159066129	0.159033397013373	3.90544501465542	0.274063034497935	3.94041855067824	7.97574860184287	0.434086817363473	4.20609358433193	0.268064335440506	0.774193548387097	1.42621393208981	0.838192784340398	0.774216780698596	0.241055442751833	3.1897655437305	0.7061906714813	5.46651459671449	0.432108027006752	1.40645006402049	5.31848917696955	1.39744718309859	7.34454235389432	9.39607387989514
Coriobacteriales	1.22955329898454	1.28627011672451	1.08722831794677	0.0180027004050608	5.05601120224045	1.75986233254295	1.82995157481891	1.74785644966033	1.09321864372875	0.120028806913659	0.0180034206499235	1.36847896763867	3.21377130511323	0.0340085021255314	1.22956560017608	5.20214447178379	1.29328452259497	3.0588870772524	5.19709138919173	1.37750967858107	0.119027376296548	1.38649913969029	1.30361269796804	1.0372074414883	1.29233600736191	0.118028326798432	0.0370092523130783	0.0180027004050608	3.10571431429229	0.0350098027447685	7.69476979705332	0.0280067216131872	1.52141078091085	1.88286611841447	0.142035508877219	4.8735595390525	1.86352178610011	0.0570182458386684	2.23947028876064	1.56384447601705
Selenomonadales	0.874393477064679	0.00900189039698337	0.0160033607057482	0.0120018002700405	2.12042408481696	0.0160078438434833	0.0170088445991916	0.0160078438434833	0.017003400680136	0.00700168040329679	0.0120022804332823	1.31245936077627	9.32023685684564	0.0130032508127032	0.862396702483142	1.97843525575627	0.00900198043569585	10.2139620489942	2.1274467638204	1.30548302872063	0.00700161037038519	1.26645592413269	0.911428371334527	0.017003400680136	0.00900234060855822	0.00700168040329679	0.0140035008752188	0.0120018002700405	9.83226142012663	0.0150042011763294	2.45356431979355	0.0140033608065936	0.0200054014583938	0.0190087440222502	0.0070017504376094	13.1091949423816	0.66418597207218	0.0150048015364917	0.0100021004410926	0.979528945630641
Erysipelotrichales	1.68976039217648	0.193040538513088	0.241050620630332	1.09116367455118	0.380076015203041	0.291142659903353	0.285148277104094	0.289141679422917	0.244048809761952	0.19604705129231	1.14021664116182	0.708247886760366	0.43910538529247	0.246061515378845	1.67276947395802	0.366080537718298	0.191042029246434	0.478138660211461	0.38007981676152	0.68425317367426	0.193044400212049	0.671241646992918	1.59775094294318	0.267053410682136	0.187048632644488	0.200048011522765	0.243060765191298	1.00215032254838	0.469107894815808	0.238066658664426	0.712163797673465	2.65063615267664	0.334090204355176	0.448206174840427	0.345086271567892	0.78125	1.24134757732165	0.328104993597951	0.348073095350024	2.15516378844576
Veillonellales	0.675303886749037	0.76015963352304	0.00500105022054631	0.00600090013502025	0.00600120024004801	2.02799371692129	2.02705406811542	2.02399175596042	0.00500100020004001	0.0850204048971753	0.00600114021664116	0.91031861151403	0.629150996239097	0.560140035008752	0.680312943954219	0.00900198043569585	0.783172297905539	0.634183913334867	0.00600126026465558	0.921340896131569	0.0850195544975344	0.936337081349286	0.689323982271668	0.00500100020004001	0.780202852741713	0.0860206449547891	0.553138284571143	0.00600090013502025	0.630144933334667	0.554155163445765	0.00500115026456085	0.00700168040329679	0.00500135036459844	2.48714408627969	0.097024256064016	0.912291933418694	1.2893610210859	0.762243918053777	1.11123335900539	0.769415484361555
Lactobacillales	0.12905807613426	0.238049990498005	0.480100821172446	0.55708356253438	0.304060812162432	0.695340716951306	0.672349621803338	0.694340226711088	0.476095219043809	0.317076098263583	0.575109270761445	0.255089281248437	1.25430103224774	1.02025506376594	0.129059367308962	0.303066674668427	0.239052591570145	1.29037420852047	0.302063433320997	0.258095495333273	0.323074307090631	0.262094353967428	0.125058777625484	0.491098219643929	0.235061115890131	0.314075378090742	0.936234058514629	0.567085062759414	1.28329515788631	0.931260753010843	0.285065565079968	0.659158197967512	0.474128014563932	0.719330892210417	0.629157289322331	1.67653649167734	0.265074220781819	0.960307298335467	0.218045789615819	0.137074019970784
Burkholderiales	0.0530238607373318	0.0240050410586223	0.351073725482351	0.284042606390959	0.00800160032006401	1.69182899620814	1.74290631128187	1.69282948644836	0.348069613922785	0.0920220853004721	0.2770526400016	1.91066873405692	0.0900216051852444	0.0880220055013753	0.0530243912199612	0.0130028606293385	0.023005061113445	0.0850246571505737	0.00900189039698337	1.90570511089103	0.0920211648679196	1.88767956464327	0.0550258621552129	0.335067013402681	0.0230059815552044	0.0910218452428583	0.0910227556889222	0.279041856278442	0.0860197845504466	0.0920257672148202	0.00800184042329736	0.232055693366408	0.601162313824733	1.73879984793005	0.123030757689422	0.045014404609475	1.48641619653503	0.095030409731114	0.0210044109262945	0.0700378204230284
Desulfovibrionales	0.138062127957581	0.00300063013232779	0.292061332879905	0.562084312646897	0.00300060012002401	0.515252473712119	0.549285628526834	0.524256885874078	0.291058211642328	0.132031687605025	0.554105280003201	0.382133746811384	0.0740177642634232	0.789197299324831	0.136062588790844	0.0040008801936426	0.00300066014523195	0.0700203058887077	0.00300063013232779	0.381141022178206	0.134030827090231	0.383137929654676	0.143067241603554	0.281056211242248	0.00300078020285274	0.132031687605025	0.844211052763191	0.555083262489373	0.0710163337567641	0.847237226423399	0.00300069015873651	0.479114987597023	0.406109649605394	0.560257718550533	0.137034258564641	0.0680217669654289	0.456127715760413	0.873279449423816	0.00300063013232779	0.180097252516359
