XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Negarnaviricota	1	0	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	1	0	0	3	1	0	0	1	0	0	0	1	0	0	2	0	1	0	2	1	1	47
Chytridiomycota	197	117	72	82	50	116	157	194	81	217	84	97	78	144	193	48	108	70	56	150	202	84	184	77	97	193	126	81	83	118	167	591	160	470	371	317	189	179	199	945
Microsporidia	238	145	89	103	53	44	62	80	108	228	119	241	136	266	237	52	153	99	87	261	189	192	208	78	110	197	290	112	137	236	192	877	164	507	613	841	286	378	321	1151
Blastocladiomycota	31	11	8	19	9	68	89	78	9	16	12	11	12	23	29	5	13	7	8	23	19	8	36	6	8	12	17	24	17	15	2	64	17	169	20	22	7	32	9	56
Cryptomycota	179	1	1	4	1	0	2	0	1	4	3	5	4	4	164	1	1	2	2	5	7	1	128	1	0	2	2	1	2	4	14	4	4	5	22	3	4	5	4	262
Mucoromycota	1744	1127	572	769	574	642	941	1081	749	1827	1115	1558	1208	1165	1323	706	1088	746	920	1916	1551	1379	1518	512	696	1602	1354	912	1237	1072	1953	5418	1494	4301	4886	6061	2509	1835	2327	10563
Zoopagomycota	504	302	173	181	93	118	196	184	180	348	221	358	205	358	471	108	258	138	131	423	278	319	461	165	194	313	342	208	189	293	353	1785	355	743	886	1361	428	397	537	2461
Ascomycota	20752	11098	6118	7848	4335	12902	16728	16634	7107	14628	9810	14003	8889	15172	17662	4619	10310	6465	5624	17168	13721	13785	18390	5582	7968	13374	14961	8834	8078	12542	10521	43866	13958	40150	27497	31267	16446	15092	16202	70563
Basidiomycota	5749	16420	1341	1778	1167	2750	3422	3479	1592	3683	2306	3030	1942	3898	4908	1237	13277	1495	1529	3695	3392	2935	5144	1223	10930	3291	3657	2083	1857	2955	2181	8867	3030	7606	6006	7348	2943	3330	4231	15603
Proteobacteria	118143	46084	127774	254452	33990	364761	437306	429913	148046	162636	290373	631885	75493	446176	104445	33977	43558	61379	39751	736073	161356	631218	108100	119830	35999	147420	445980	273902	70038	373528	53270	965036	342087	807986	258037	164672	969049	400238	67445	276698
Fusobacteria	1042	638	292	319	453	318	370	371	304	710	403	455	417	735	866	440	644	404	517	541	737	439	844	291	515	736	728	336	418	631	923	1835	455	1037	1284	1789	555	827	1207	2477
Nitrospirae	435	265	171	211	138	359	418	426	224	262	229	196	170	431	346	119	232	144	137	258	278	221	351	175	222	253	379	215	153	300	186	963	404	620	374	454	311	386	379	885
Acidobacteria	2020	1256	862	1046	445	2429	2948	2885	1039	1245	1217	1111	1146	1972	1749	356	1193	896	463	1352	1218	1130	1894	822	952	1062	1977	1129	994	1620	537	4580	2101	4940	1531	3434	1286	1870	2018	4864
Dictyoglomi	0	0	1	1	14	0	0	2	1	1	0	0	0	4	1	17	1	0	16	3	2	0	2	2	0	2	2	0	0	1	56	10	0	0	21	1	3	6	0	6
Elusimicrobia (74152)	409	225	159	193	139	636	770	726	207	294	229	339	178	363	361	136	211	134	157	416	333	321	360	188	195	286	360	194	145	290	225	1062	354	1343	481	456	396	309	358	1026
Aquificae (200783)	55	21	24	13	43	50	40	59	22	69	20	86	19	46	55	26	27	17	33	90	69	93	44	17	27	62	59	13	17	54	41	15	18	97	105	26	92	48	22	111
Thermotogae (200918)	208	91	56	65	88	128	122	142	74	177	80	147	84	123	179	49	78	58	93	183	154	133	180	68	73	159	118	72	70	99	80	430	116	264	303	215	162	109	124	666
Deferribacteres (200930)	59	40	15	62	28	16	20	17	28	31	64	47	28	33	53	27	54	12	21	53	32	61	58	20	36	25	25	65	22	27	52	506	42	27	34	67	31	28	60	159
Chrysiogenetes (200938)	13	27	16	11	7	13	24	20	12	12	17	12	4	36	14	10	15	1	8	12	9	12	20	7	22	8	28	21	4	27	9	68	24	26	9	7	11	36	23	29
Thermodesulfobacteria (200940)	13	14	13	9	12	14	13	9	8	13	6	8	7	40	13	10	7	10	15	11	9	13	12	21	16	12	23	7	8	22	9	16	6	12	7	16	7	23	17	24
Spirochaetes	2154	1159	715	845	623	1223	1472	1447	818	1529	1005	1066	718	1293	1849	571	1021	596	634	1191	1481	1112	1860	694	910	1405	1438	1011	679	1091	994	4517	1538	2699	2515	1903	1156	1263	1918	5295
Synergistetes	376	199	385	167	69	389	435	458	481	295	182	377	159	354	332	81	183	141	101	450	249	399	321	338	168	242	332	181	148	285	123	759	1040	869	438	535	528	353	248	911
Calditrichaeota	14	11	18	8	4	18	31	26	14	63	18	11	6	21	15	1	9	6	4	18	52	5	18	13	6	44	17	12	9	11	6	76	20	33	67	13	8	9	11	33
Coprothermobacterota	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Candidatus Omnitrophica	184	109	85	106	107	142	136	150	80	199	96	121	127	206	165	85	126	77	92	158	193	122	205	91	86	209	226	97	101	176	112	422	137	173	158	313	86	256	125	438
Verrucomicrobia	26895	3977	5293	1288	1250	62884	75053	73265	6035	2878	1430	1324	13245	463894	24054	1162	3726	10662	1373	1596	2957	1365	25114	5088	3044	3351	451544	1398	12044	380184	2550	6058	11311	155122	4094	44380	1523	626187	6882	101249
Kiritimatiellaeota	14	6	4	1	3	16	18	14	3	1	2	4	2	9	16	3	4	1	2	3	3	5	9	2	2	0	3	1	0	7	8	8	11	26	6	1	3	10	4	28
Planctomycetes	1323	666	493	587	306	1237	1453	1326	625	809	752	724	587	1214	1177	283	678	468	339	856	741	746	1236	486	525	716	1182	664	582	990	481	2764	1105	2479	915	1989	834	1081	1080	3144
Chlamydiae	290	162	108	110	145	174	140	110	94	230	131	212	281	386	211	126	118	244	168	252	226	230	247	107	116	208	382	115	274	335	181	462	111	194	321	467	245	204	114	345
Lentisphaerae	99187	143	96	4947	52	364	436	430	144	332	5398	20142	159	326	89662	62	127	134	32	23045	345	19708	90897	105	123	325	350	5067	157	276	45	12447	223	718	444	363	12380	340	211	309714
Candidatus Marinimicrobia	58	39	47	33	34	53	62	38	37	42	40	75	22	93	51	37	44	19	46	103	51	100	41	43	47	37	87	36	24	62	51	100	84	75	76	76	50	71	36	138
Fibrobacteres	790	265	135	102	145	242	254	247	152	301	112	212	225	327	712	161	209	163	180	279	284	251	688	117	201	294	259	125	222	235	244	522	338	432	379	701	190	265	546	1732
Candidatus Latescibacteria	66	41	30	22	12	19	26	26	32	55	35	30	23	47	58	16	41	19	13	39	47	31	73	18	26	47	33	46	18	27	10	221	58	34	55	54	33	39	40	129
Gemmatimonadetes (142182)	484	235	176	263	151	461	582	588	205	296	307	326	293	526	432	154	254	208	170	377	287	339	482	170	211	254	528	271	286	430	201	1058	405	978	309	907	340	482	376	1241
Candidatus Hydrogenedentes	30	10	15	8	0	9	6	10	11	23	4	3	11	33	27	1	7	12	0	7	19	5	29	19	3	18	29	6	28	19	0	38	26	17	23	82	10	16	20	60
