XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Faecalibacterium prausnitzii	11.3031713498178	20.2068160785418	16.5145370193324	16.4883175453255	0.199566597792672	11.0774683544304	11.3655700510493	11.0692549948861	16.6262392431181	10.1704636934471	16.264344674854	19.2049706982984	13.0902606365294	19.8103606372366	11.2853234257792	0.295223029411468	19.8316013962799	12.4627286646789	0.206557443121133	19.2739600254255	10.1467066470789	19.2119121118576	11.5270080655744	15.99975846383	20.1482778046033	10.1121107823602	20.4179302979315	16.6037545925814	12.6563019537114	20.551961791911	0.194186479389067	14.006216490801	17.0385354709499	9.88841862254713	7.93064584297704	12.6051266555875	20.3943792402311	19.0386048291278	20.6480867064809	11.187525878349
Ruminococcaceae bacterium	2.76647516735155	0.754436084174949	1.60717340767055	7.43126931556218	3.68996623494431	1.87139240506329	1.90827323555628	1.88352523012425	1.59327663429118	1.54463854451779	7.44312462250856	2.20594910279299	7.27606113422731	6.97594744107778	2.78448040868661	3.74419377915705	0.772581407747945	7.12486904665968	3.70997319791226	2.21565284069698	1.54454528989153	2.23452979036781	2.80023823223605	1.56193389960147	0.760502172863351	1.5407684721132	7.06390867598311	7.39443353968494	7.16797485062521	7.12270519718679	3.95415991709344	8.7382937845151	1.97155882974548	1.85800206557178	1.41485700485036	8.13818804451831	2.56477361947134	7.53468795940149	0.893808690756269	2.89332565819372
[Eubacterium] rectale	5.51780539765556	4.4049008168028	2.166715307899	7.76045179540353	0.172352970820944	0.443544303797468	0.432501418037436	0.441514516308696	2.17402244476876	0.276726775076477	7.92228709482585	4.47544406451418	4.89638010417401	1.59812980522163	5.50030792839908	0.189426380646266	4.51074874002837	5.03767426867596	0.172299135481531	4.44240412458507	0.27671006822161	4.46300667836895	5.39353744586778	2.23119037075802	4.44833413809754	0.280780146126442	1.55565183222335	7.76385323871357	4.9684121434401	1.54162384378212	0.148909839117005	7.13588766056753	1.767257429828	0.432352524250218	0.301889830337915	4.85974719242584	3.62369899140378	1.29286908190185	4.02465263115562	4.57478716635865
Bacteroides eggerthii	0.0191835869268903	15.1339878485495	13.2800627975082	0.0120800910033522	0.0352769238522401	0.0263291139240506	0.0253220970747913	0.024303551356442	13.217251270696	0.0442762840122363	0.012079726192873	0.0494245569441502	0.00705239932699961	0.0272064973146179	0.0201920261688659	0.0342579624573035	15.1438027503093	0.00805866709646224	0.0332507103560849	0.0524653678124968	0.0432673924855608	0.0554849383612776	0.0211986311741013	13.373052614629	15.1798647996137	0.0432743594388423	0.0272037561334395	0.0110725250390055	0.00705310991768013	0.0272051266549785	0.0251536890400346	0.00804723728285033	11.2637500880609	0.0151880277839655	0.0372330790750096	0.00402880596263282	0.0322106577013669	0.0211450550778339	11.469707023788	0.020197735833813
Bacteroides stercoris	0.0201932493967267	0.0311833581458979	7.66854187003734	0.0211401592558664	0.0776092324749282	3.60607594936709	3.53597763552386	3.60300148859252	7.62316944290675	10.7812751569796	0.0201328769881216	0.0514418857990135	0.0171272555084276	0.0161223687790329	0.0191824248604226	0.0735538605700928	0.0301789612401541	0.0171246675799823	0.0735546016967938	0.054483266574516	10.789680223783	0.0554849383612776	0.0201891725467632	7.65166458677187	0.0321905681635281	10.7068816295312	0.0151131978519108	0.0201318637072827	0.0211593297530404	0.0161215565362836	0.0553381158880761	0.0160944745657007	7.31962601773296	2.76827119742411	10.1445045987884	0.0130936193785567	0.0352304068608701	0.0130897960005639	0.0241298184231164	0.0181779622504317
Bacteroides vulgatus	0.127217471199378	4.50448637991389	0.816166332887176	2.07374895557547	6.59174519981858	4.70784810126582	4.5387326796856	4.68552217192737	0.805193498062503	2.0819916277572	2.08777934366821	0.487184918449481	0.549079661887827	0.0372829778015135	0.128219366172299	6.46770179451268	4.44737292142405	0.547989362559433	6.53527598089596	0.485304652265596	2.07482240244712	0.482214555212558	0.129210704299284	0.82021657743247	4.43827458554643	2.09528410120162	0.0362716748445859	2.08666767325985	0.55014257357905	0.0362735022066381	5.58210667176448	2.04701598382505	0.668256795789177	4.54729551851927	2.03071225873971	0.437125446945661	0.346264570289695	0.0302072215397628	3.05644366692807	0.131285282919785
Lachnospiraceae bacterium	2.32020435568389	2.59324830000402	1.95537753982711	1.25330944159779	1.15103562969309	1.01063291139241	0.976420063203954	1.00657208534597	1.95259423280157	4.46787956850749	1.26635796255285	1.18820669551447	1.57973744924791	1.98204371177235	2.31905420549425	1.16275554928612	2.63764121238947	1.57748408413248	1.14160772222558	1.19056026959127	4.45855386287255	1.19746585154248	2.27531974602021	1.97556459079747	2.61246579752133	4.43612503270737	1.90728556891114	1.2572348885198	1.58694973147803	1.90637406041553	1.27478896054895	1.28353434661463	1.75518049978362	1.01861039671129	4.60381991265321	1.48763660170217	1.02872788033741	1.78423988561532	2.44113329713861	2.17731592288504
Bifidobacterium adolescentis	5.78738527710186	2.18484689977065	0.261656284279489	1.22612923684025	0.00503956055032001	3.15746835443038	3.22907381897739	3.1159178134905	0.26370087061547	0.00100627918209628	1.2583048117576	3.23176082549097	0.925879283073234	0.00403059219475822	5.88294682429908	0.0231745040152347	2.2121178589033	0.882424047062616	0.00604558370110634	3.25386175375581	0.00100621842989676	3.29782297278212	6.06684635030233	0.255625779960549	2.23221471108965	0.0010063804520661	0.0050377326173036	1.2320700588857	0.902798069463057	0.00604558370110634	0.00301844268480415	2.64854697071812	0.396525869790566	3.19353597537514	0.00100629943445972	1.47756458679559	4.4742616713305	0.00805525907727007	3.78737608332831	7.05506912675089
uncultured Ruminococcus sp.	0.971295295982553	1.76739226652718	2.39516137148148	1.00566757602907	1.11475079373079	0.803037974683544	0.806255570861357	0.810118378548065	2.39142468924563	4.47894863951054	1.01973021944836	0.9915171321653	0.699195018991104	2.56647958001229	0.973255661339337	1.12849758682882	1.8016839860372	0.713192038036909	1.12649376297282	0.993815140294412	4.49779638163853	0.998728890502996	0.954947861461898	2.3932208848275	1.77651698052471	4.56695449147596	2.49166255251836	1.00961296492023	0.710348927423499	2.47163613646898	1.18222338488163	1.14572540814582	2.55728993689804	0.845466879974079	4.87652705939179	0.87022208792869	0.992490890423369	2.66024931026844	1.86905551869056	1.03513396148292
Clostridiales bacterium	1.48420383065941	0.801714078783245	1.08889269073234	1.26438285835087	1.11676661795091	0.453670886075949	0.466939470059152	0.454678939960102	1.10512807609079	6.69678795685075	1.2411918663177	0.999586447584753	1.03166527297823	1.17491762477202	1.49118113257075	1.13353552248431	0.776605269246633	0.984164719155452	1.12044817927171	1.00693148224754	6.69940230625264	1.00780824405302	1.5131784823799	1.0567207439314	0.790680830516659	6.65519392951311	1.22114638643439	1.25320851577835	1.00053402117948	1.21415472663886	1.01117829940939	1.12158369629726	1.52672523977738	0.472853931674126	5.91502807575422	0.853099662587501	1.23004449097095	1.14283988158769	1.03255514668919	1.55623554599529
Bifidobacterium longum	1.02985571923306	2.8829517563272	0.39047168577093	0.659371633932976	0.351761326412337	3.56556962025316	3.66866542419577	3.52907818655001	0.38749937094258	0.00301883754628884	0.682504529897322	1.08935758162617	0.0292170829261412	1.37241664231517	1.03988934769659	0.368776889981561	2.9504964439124	0.0282053348376179	0.359712230215827	1.11287116725354	0.00402487371958705	1.11373403547001	1.07507343811514	0.374381063564269	2.9434250764526	0.00603828271239659	1.38235383018811	0.67441743419397	0.0282124396707205	1.38343107026983	0.478926239322259	1.30767605846318	0.562583657900828	3.1246835827545	0.00402519773783887	0.0412952611169865	1.3780121997866	2.23734820871176	4.66308741026724	1.11390513123479
Bacteroides ovatus	0.137314095897741	2.07419627409166	0.892650477522719	0.0704671975195547	2.14282114599607	2.64101265822785	2.54436431407503	2.64402385798625	0.896784258467113	2.5972065689905	0.0684517817596134	0.872494729728367	0.0745539357425673	0.636833566771798	0.138315379256732	2.10686469112417	2.06524691420121	0.0755500040293335	2.12300747637184	0.869714366430236	2.59503733070375	0.866573855497044	0.136276914690651	0.93393985749366	2.06120231772091	2.61357003401566	0.620648658451804	0.0664351502340329	0.0765766219633843	0.622695121213953	1.84829307066174	0.0502952330178146	0.644102935700412	2.36629472874182	2.64656751262906	0.0423024626076447	0.673404062569203	0.44605997140383	1.54430837907945	0.133305056503166
