feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	Method	XT	0.609058335830893	0.0509602253136949	20	20	7.96928912966638e-07	5.7378881733598e-05
Firmicutes..environmental.samples	Method	XT	-0.106679113871699	0.0137264075620456	20	20	2.78711341549568e-05	0.000668907219718962
Coprobacillus	Method	XT	-0.262745058694581	0.0322136757585125	20	20	1.89577643460324e-05	0.000668907219718962
Collinsella	Method	XT	-0.158772171152862	0.0218961408394419	20	20	4.81032646509719e-05	0.000692687010973995
Prevotellaceae..environmental.samples	Method	XT	0.149688775874539	0.0202995229256982	20	20	4.21817653455947e-05	0.000692687010973995
Gordonibacter	Method	XT	-0.241079759467479	0.0374777101516988	20	20	0.000120569341509079	0.00144683209810895
Anaerobutyricum	Method	XT	-0.142341721949079	0.0231740140924078	20	20	0.000170296826978631	0.00175162450606592
Bifidobacterium	Method	XT	-0.179423715800289	0.0320667963697662	20	20	0.00033628551135462	0.00302656960219158
unclassified.Ruminococcaceae	Method	XT	-0.0706044929124243	0.0136832495205407	20	20	0.000595154558833567	0.00428511282360168
Romboutsia	Method	XT	-0.32294466331752	0.062121147636414	20	19	0.000565092366639736	0.00428511282360168
Subdoligranulum	Method	XT	-0.125900907289793	0.0254948860050754	20	20	0.000804136112238711	0.00483217844574799
Eggerthella	Method	XT	-0.202222658508738	0.0413039591318065	20	20	0.000852381425011475	0.00483217844574799
Pseudoflavonifractor	Method	XT	-0.0325944600265799	0.00668043618553019	20	20	0.000872476663815609	0.00483217844574799
Bacteroides	Method	XT	0.0841096298399129	0.0192252904125542	20	20	0.00178419195278897	0.009175844328629
Gemmiger	Method	XT	-0.107108786827497	0.0258689268945365	20	20	0.00251997961608764	0.0106728548446065
Butyricicoccus	Method	XT	-0.0724618269693451	0.0173560217499934	20	20	0.0023936944910693	0.0106728548446065
unclassified.Eubacteriaceae	Method	XT	-0.0669200800018231	0.0160047158885672	20	20	0.00237160791293281	0.0106728548446065
Anaerostipes	Method	XT	-0.0998140515127375	0.0263592453017465	20	20	0.00430468846582515	0.0172187538633006
Roseburia	Method	XT	-0.0316208505645605	0.00843486329772682	20	20	0.00456291968341259	0.0172910640634582
Parabacteroides	Method	XT	0.0961076265358024	0.0268450598790992	20	20	0.00592995368903785	0.0195229847558789
Dorea	Method	XT	-0.0662911343669578	0.0184951259460857	20	20	0.00589164588005753	0.0195229847558789
unclassified.Erysipelotrichaceae	Method	XT	-0.0807749034668696	0.0225862950622045	20	20	0.00596535645318522	0.0195229847558789
Blautia	Method	XT	-0.0552113086634794	0.0155690376160583	20	20	0.0062527790655703	0.0195739170748288
Enterococcus	Method	XT	0.145216578096173	0.0416019655372596	20	20	0.00682350764571484	0.0204705229371445
unclassified.Clostridiaceae	Method	XT	0.0590333418182425	0.0172600352616132	20	20	0.00762512118566537	0.0219603490147163
unclassified.Coriobacteriaceae	Method	XT	-0.110273439230458	0.0329594775737668	20	20	0.00858163762822066	0.0231181656766995
Acinetobacter	Method	XT	0.223973039321353	0.0670711119810792	20	20	0.0086693121287623	0.0231181656766995
Phascolarctobacterium	Method	XT	-0.0664729322396255	0.0200713405293132	20	20	0.00905740934846857	0.0232904811817763
Anaerotruncus	Method	XT	-0.0609420054587374	0.018864199837159	20	20	0.0103133270233573	0.0256055015752319
unclassified.Clostridiales..miscellaneous.	Method	XT	-0.0428378249582075	0.0134897486234141	20	20	0.0112644315446195	0.026164920132323
Ruthenibacterium	Method	XT	-0.0558781327942171	0.0175964892600446	20	20	0.0112654517236391	0.026164920132323
Prevotella	Method	XT	0.0973159120531811	0.0309371782645589	20	20	0.0118210158023688	0.0265972855553299
Fusicatenibacter	Method	XT	-0.0547538683949	0.0183544712377704	20	20	0.0153711752752811	0.0335371096915225
unclassified.Bacteroidales..miscellaneous.	Method	XT	0.0590527698292377	0.0214205999783709	20	20	0.0222274086130369	0.0470698064746663
Desulfotomaculum	Method	XT	0.101703952195702	0.0378490344333674	20	20	0.0249147920084997	0.0512532864174851
unclassified.Bacteroidaceae	Method	XT	0.0971241451426422	0.0367970723699787	20	20	0.0269379211221686	0.0538758422443372
Clostridiales..environmental.samples	Method	XT	-0.054518353394905	0.0212187940819342	20	20	0.030220365683945	0.0588071980876768
Barnesiella	Method	XT	0.0684518291481979	0.027819059045408	20	18	0.0361225341321819	0.0684426962504499
Intestinimonas	Method	XT	-0.0338719644722708	0.0148028761066919	20	20	0.0479154069198903	0.0884592127751822
Desulfovibrio	Method	XT	-0.0466417704418404	0.0209776855286554	20	20	0.0532676899481688	0.0958818419067038
Hungatella	Method	XT	-0.0239328926547202	0.0113666205028965	20	20	0.0645352088792935	0.113330122909979
Lachnoclostridium	Method	XT	0.0201682406624563	0.0105803814646311	20	20	0.0890022432719489	0.152575274180484
Clostridium	Method	XT	-0.0566932313206422	0.0313488902439595	20	20	0.103988167972196	0.171054153251201
Carnobacterium	Method	XT	0.0288419137927619	0.0159774764832036	20	20	0.104533093653512	0.171054153251201
Escherichia	Method	XT	0.129494371766843	0.0736305481731088	20	20	0.112491592467639	0.179986547948222
Lachnospira	Method	XT	0.0468037157787215	0.0290759565348674	20	20	0.141922828631814	0.222140079597622
unclassified.Firmicutes.sensu.stricto..miscellaneous.	Method	XT	-0.0299262270403126	0.0195792859170437	20	20	0.1607484093626	0.246252882427813
