Sample	Method	Donor	Replicate
XT_D04-NFlex-R1-A	XT	D04	A
XT_D06-NFlex-R1-A	XT	D06	A
XT_D08-NFlex-R1-C	XT	D08	C
XT_D07-NFlex-R1-C	XT	D07	C
XT_D10-NFlex-R1-C	XT	D10	C
XT_D05-NFlex-R1-C	XT	D05	C
XT_D05-NFlex-R1-A	XT	D05	A
XT_D05-NFlex-R1-B	XT	D05	B
XT_D08-NFlex-R1-B	XT	D08	B
XT_D02-NFlex-R1-B	XT	D02	B
XT_D07-NFlex-R1-B	XT	D07	B
XT_D09-NFlex-R1-B	XT	D09	B
XT_D03-NFlex-R1-C	XT	D03	C
XT_D01-NFlex-R1-A	XT	D01	A
XT_D04-NFlex-R1-C	XT	D04	C
XT_D10-NFlex-R1-A	XT	D10	A
XT_D06-NFlex-R1-B	XT	D06	B
XT_D03-NFlex-R1-B	XT	D03	B
XT_D10-NFlex-R1-B	XT	D10	B
XT_D09-NFlex-R1-C	XT	D09	C
XT_D02-NFlex-R1-A	XT	D02	A
XT_D09-NFlex-R1-A	XT	D09	A
XT_D04-NFlex-R1-B	XT	D04	B
XT_D08-NFlex-R1-A	XT	D08	A
XT_D06-NFlex-R1-C	XT	D06	C
XT_D02-NFlex-R1-C	XT	D02	C
XT_D01-NFlex-R1-C	XT	D01	C
XT_D07-NFlex-R1-A	XT	D07	A
XT_D03-NFlex-R1-A	XT	D03	A
XT_D01-NFlex-R1-B	XT	D01	B
Flex_D10-NF-R1	Flex	D10	
Flex_D07-NF-R1	Flex	D07	
Flex_D08-NF-R1	Flex	D08	
Flex_D05-NF-R1	Flex	D05	
Flex_D02-NF-R1	Flex	D02	
Flex_D03-NF-R1	Flex	D03	
Flex_D09-NF-R1	Flex	D09	
Flex_D01-NF-R1	Flex	D01	
Flex_D06-NF-R1	Flex	D06	
Flex_D04-NF-R1	Flex	D04	
