Sample	Genus	DNA_Abund	RNA_abund	Donor	Condition	Replicate
D01_NF_R1	Acidobacteria	0.006000600060006	0.0240019201536123	D01	NF	R1
D01_NF_R1	Actinobacteria (201174)	2.95829582958296	2.19817585406833	D01	NF	R1
D01_NF_R1	Aquificae (200783)	0	0	D01	NF	R1
D01_NF_R1	Armatimonadetes	0.001000100010001	0.00300024001920154	D01	NF	R1
D01_NF_R1	Ascomycota	0.054005400540054	0.174013921113689	D01	NF	R1
D01_NF_R1	Bacteroidetes	21.8761876187619	37.7470197615809	D01	NF	R1
D01_NF_R1	Balneolaeota	0	0	D01	NF	R1
D01_NF_R1	Basidiomycota	0.012001200120012	0.0750060004800384	D01	NF	R1
D01_NF_R1	Blastocladiomycota	0	0	D01	NF	R1
D01_NF_R1	Calditrichaeota	0	0	D01	NF	R1
D01_NF_R1	candidate division WOR-3	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	candidate division Zixibacteria	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Candidatus Aminicenantes	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Candidatus Bathyarchaeota	0	0	D01	NF	R1
D01_NF_R1	Candidatus Dormibacteraeota	0	0.00400032002560205	D01	NF	R1
D01_NF_R1	Candidatus Edwardsbacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Eisenbacteria	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Candidatus Eremiobacteraeota	0	0.00300024001920154	D01	NF	R1
D01_NF_R1	Candidatus Handelsmanbacteria	0	0.00500040003200256	D01	NF	R1
D01_NF_R1	Candidatus Hydrogenedentes	0	0	D01	NF	R1
D01_NF_R1	Candidatus Kryptonia	0	0	D01	NF	R1
D01_NF_R1	Candidatus Latescibacteria	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Candidatus Magasanikbacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Marinimicrobia	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Candidatus Melainabacteria	0.126012601260126	0.00600048003840307	D01	NF	R1
D01_NF_R1	Candidatus Moranbacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Nomurabacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Omnitrophica	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Candidatus Peregrinibacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Portnoybacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Rokubacteria	0.001000100010001	0.00300024001920154	D01	NF	R1
D01_NF_R1	Candidatus Saccharibacteria	0.001000100010001	0.00100008000640051	D01	NF	R1
D01_NF_R1	Candidatus Sumerlaeota	0	0	D01	NF	R1
D01_NF_R1	Candidatus Sungbacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Wallbacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Woesearchaeota	0	0	D01	NF	R1
D01_NF_R1	Candidatus Woesebacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Yanofskybacteria	0	0	D01	NF	R1
D01_NF_R1	Candidatus Zambryskibacteria	0	0	D01	NF	R1
D01_NF_R1	Chlamydiae	0.001000100010001	0	D01	NF	R1
D01_NF_R1	Chlorobi	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Chloroflexi	0.009000900090009	0.0360028802304184	D01	NF	R1
D01_NF_R1	Chytridiomycota	0.001000100010001	0.00100008000640051	D01	NF	R1
D01_NF_R1	Crenarchaeota	0	0	D01	NF	R1
D01_NF_R1	Cryptomycota	0	0	D01	NF	R1
D01_NF_R1	Cyanobacteria	0.003000300030003	0.0080006400512041	D01	NF	R1
D01_NF_R1	Deinococcus-Thermus	0.001000100010001	0.00400032002560205	D01	NF	R1
D01_NF_R1	Elusimicrobia (74152)	0.001000100010001	0.00300024001920154	D01	NF	R1
D01_NF_R1	Euryarchaeota	0.005000500050005	0.0200016001280102	D01	NF	R1
D01_NF_R1	Fibrobacteres	0.001000100010001	0.00100008000640051	D01	NF	R1
D01_NF_R1	Firmicutes	71.006100610061	54.1813345067605	D01	NF	R1
D01_NF_R1	Fusobacteria	0.003000300030003	0.00100008000640051	D01	NF	R1
D01_NF_R1	Gemmatimonadetes (142182)	0.002000200020002	0.00600048003840307	D01	NF	R1
D01_NF_R1	Ignavibacteriae	0.001000100010001	0.00100008000640051	D01	NF	R1
D01_NF_R1	Lentisphaerae	0.001000100010001	0.00400032002560205	D01	NF	R1
D01_NF_R1	Microsporidia	0.001000100010001	0.00300024001920154	D01	NF	R1
D01_NF_R1	Mucoromycota	0.008000800080008	0.0100008000640051	D01	NF	R1
D01_NF_R1	Negarnaviricota	0	0	D01	NF	R1
D01_NF_R1	Nitrospinae	0	0.00100008000640051	D01	NF	R1
D01_NF_R1	Nitrospirae	0.001000100010001	0.00200016001280102	D01	NF	R1
D01_NF_R1	Other	-7.105427357601e-14	-1.4210854715202e-14	D01	NF	R1
D01_NF_R1	Planctomycetes	0.004000400040004	0.0200016001280102	D01	NF	R1
D01_NF_R1	Proteobacteria	1.44114411441144	3.68729498359869	D01	NF	R1
D01_NF_R1	Spirochaetes	0.004000400040004	0.0100008000640051	D01	NF	R1
D01_NF_R1	Synergistetes	0.001000100010001	0.0080006400512041	D01	NF	R1
D01_NF_R1	Tenericutes	0.046004600460046	0.00900072005760461	D01	NF	R1
D01_NF_R1	Thaumarchaeota	0	0	D01	NF	R1
D01_NF_R1	Thermotogae (200918)	0	0	D01	NF	R1
D01_NF_R1	Verrucomicrobia	2.42224222422242	1.73013841107289	D01	NF	R1
D01_NF_R1	Zoopagomycota	0.001000100010001	0.00200016001280102	D01	NF	R1
D01_NF_R2	Acidobacteria	0.0070008401008121	0.0280025202268204	D01	NF	R2
D01_NF_R2	Actinobacteria (201174)	2.57230867704125	2.54522907061636	D01	NF	R2
D01_NF_R2	Aquificae (200783)	0	0	D01	NF	R2
D01_NF_R2	Armatimonadetes	0.00100012001440173	0.00300027002430219	D01	NF	R2
D01_NF_R2	Ascomycota	0.0460055206624795	0.365032852956766	D01	NF	R2
D01_NF_R2	Bacteroidetes	30.0856102732328	28.8445960136412	D01	NF	R2
D01_NF_R2	Balneolaeota	0	0	D01	NF	R2
D01_NF_R2	Basidiomycota	0.011001320158419	0.205018451660649	D01	NF	R2
D01_NF_R2	Blastocladiomycota	0	0	D01	NF	R2
D01_NF_R2	Calditrichaeota	0	0	D01	NF	R2
D01_NF_R2	candidate division WOR-3	0	0	D01	NF	R2
D01_NF_R2	candidate division Zixibacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Aminicenantes	0	0.00200018001620146	D01	NF	R2
D01_NF_R2	Candidatus Bathyarchaeota	0	0	D01	NF	R2
D01_NF_R2	Candidatus Dormibacteraeota	0	0.00400036003240292	D01	NF	R2
D01_NF_R2	Candidatus Edwardsbacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Eisenbacteria	0	0.00100009000810073	D01	NF	R2
D01_NF_R2	Candidatus Eremiobacteraeota	0	0.00400036003240292	D01	NF	R2
D01_NF_R2	Candidatus Handelsmanbacteria	0	0.00300027002430219	D01	NF	R2
D01_NF_R2	Candidatus Hydrogenedentes	0	0.00100009000810073	D01	NF	R2
D01_NF_R2	Candidatus Kryptonia	0	0	D01	NF	R2
D01_NF_R2	Candidatus Latescibacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Magasanikbacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Marinimicrobia	0	0	D01	NF	R2
D01_NF_R2	Candidatus Melainabacteria	0.0790094811377365	0.00800072006480583	D01	NF	R2
D01_NF_R2	Candidatus Moranbacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Nomurabacteria	0	0	D01	NF	R2
D01_NF_R2	Candidatus Omnitrophica	0	0.00200018001620146	D01	NF	R2
