feature,GramStatus,Phylum
Ruthenibacterium,Neg,Firmicutes
Ruminococcus,Pos,Firmicutes
Roseburia,Pos,Firmicutes
Prevotella,Neg,Bacteroidetes
Parabacteroides,Neg,Bacteroidetes
Megamonas,Neg,Firmicutes
Faecalibacterium,Pos,Firmicutes
Eubacterium,Pos,Firmicutes
Dorea,Pos,Firmicutes
Coprococcus,Pos,Firmicutes
Collinsella,Pos,Actinobacteria
Clostridium,Pos,Firmicutes
Blautia,Pos,Firmicutes
Bifidobacterium,Pos,Actinomycetota
Bacteroides,Neg,Bacteroidetes
Anaerostipes,Pos,Firmicutes
Alistipes,Neg,Bacteroidetes
