SampleName	SampleTitle	Organism	Host	IsolationSource	CollectionDate	GeoLocName	LatLong	SampCollectDevice	SampMatProcess	Donor
D04_OR	Donor04 omnigene 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	23C for 7 days	D04
D06_NF	Donor06 No Preservative -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	NA	Immediate storage at -80C	D06
D01_OF	Donor01 omnigene -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	Immediate storage at -80C	D01
D10_NF	Donor10 No Preservative -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	NA	Immediate storage at -80C	D10
D03_OH	Donor03 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D03
D07_OH	Donor07 omnigene 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	40C for 7 days	D07
D09_ZH	Donor09 zymo 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	40C for 7 days	D09
D10_ZF	Donor10 zymo -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	Immediate storage at -80C	D10
D01_ZH	Donor01 zymo 40C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	40C for 7 days	D01
D05_OF	Donor05 omnigene -80C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	DNA Genotek OMR-200	Immediate storage at -80C	D05
D03_ZR	Donor03 zymo 23C	human feces metagenome	Homo sapiens	not applicable	2021	USA:California	37.43 N 122.17 W	Zymo DNA/RNA Shield	23C for 7 days	D03
