Patient	Protocol_1	Protocol_2	bcdist
D01	NF	NF	0.119072605
D01	NF	NF	0.057388503
D01	NF	OF	0.193424753
D01	NF	OF	0.209174782
D01	NF	OF	0.185366233
D01	NF	OH	0.278598004
D01	NF	OH	0.233972867
D01	NF	OH	0.170621736
D01	NF	OR	0.298903618
D01	NF	OR	0.240321929
D01	NF	OR	0.244030076
D01	NF	ZF	0.190281579
D01	NF	ZF	0.140792317
D01	NF	ZF	0.273591748
D01	NF	ZH	0.190057554
D01	NF	ZH	0.197057818
D01	NF	ZH	0.229304381
D01	NF	ZR	0.149275362
D01	NF	ZR	0.163770465
D01	NF	ZR	0.177229899
D01	NF	NF	0.119072605
D01	NF	NF	0.111727866
D01	NF	OF	0.201575337
D01	NF	OF	0.204477771
D01	NF	OF	0.221445701
D01	NF	OH	0.241555778
D01	NF	OH	0.203408781
D01	NF	OH	0.164204003
D01	NF	OR	0.246637543
D01	NF	OR	0.221853696
D01	NF	OR	0.264486666
D01	NF	ZF	0.157397756
D01	NF	ZF	0.208438756
D01	NF	ZF	0.201102178
D01	NF	ZH	0.15531135
D01	NF	ZH	0.189192128
D01	NF	ZH	0.179499484
D01	NF	ZR	0.177935734
D01	NF	ZR	0.15745965
D01	NF	ZR	0.237775861
D01	NF	NF	0.057388503
D01	NF	NF	0.111727866
D01	NF	OF	0.154061898
D01	NF	OF	0.164454006
D01	NF	OF	0.144672705
D01	NF	OH	0.24062664
D01	NF	OH	0.195644108
D01	NF	OH	0.137032073
D01	NF	OR	0.256528959
D01	NF	OR	0.200085744
D01	NF	OR	0.211036556
D01	NF	ZF	0.173235595
D01	NF	ZF	0.129145708
D01	NF	ZF	0.250928216
D01	NF	ZH	0.163156126
D01	NF	ZH	0.158485091
D01	NF	ZH	0.206253713
D01	NF	ZR	0.114425637
D01	NF	ZR	0.144378752
D01	NF	ZR	0.161349512
D01	OF	NF	0.193424753
D01	OF	NF	0.201575337
D01	OF	NF	0.154061898
D01	OF	OF	0.05832468
D01	OF	OF	0.043032638
D01	OF	OH	0.143901696
D01	OF	OH	0.106596996
D01	OF	OH	0.065262654
D01	OF	OR	0.154992677
D01	OF	OR	0.072335628
D01	OF	OR	0.092123363
D01	OF	ZF	0.077711483
D01	OF	ZF	0.132541983
D01	OF	ZF	0.171091009
D01	OF	ZH	0.072784538
D01	OF	ZH	0.072805344
D01	OF	ZH	0.124836253
D01	OF	ZR	0.07377719
D01	OF	ZR	0.087194464
D01	OF	ZR	0.124660937
D01	OF	NF	0.209174782
D01	OF	NF	0.204477771
D01	OF	NF	0.164454006
D01	OF	OF	0.05832468
D01	OF	OF	0.089480247
D01	OF	OH	0.165628998
D01	OF	OH	0.127553387
D01	OF	OH	0.099677942
D01	OF	OR	0.114429898
D01	OF	OR	0.056578157
D01	OF	OR	0.101982417
D01	OF	ZF	0.110289102
D01	OF	ZF	0.18214721
D01	OF	ZF	0.159237501
D01	OF	ZH	0.094642054
D01	OF	ZH	0.115639232
D01	OF	ZH	0.120736778
D01	OF	ZR	0.112676418
D01	OF	ZR	0.134298602
D01	OF	ZR	0.174037146
D01	OF	NF	0.185366233
D01	OF	NF	0.221445701
D01	OF	NF	0.144672705
D01	OF	OF	0.043032638
D01	OF	OF	0.089480247
D01	OF	OH	0.161214098
D01	OF	OH	0.131244505
D01	OF	OH	0.082009777
D01	OF	OR	0.194148942
D01	OF	OR	0.106215583
D01	OF	OR	0.080821199
D01	OF	ZF	0.107612357
D01	OF	ZF	0.104399501
D01	OF	ZF	0.204471461
D01	OF	ZH	0.100122306
D01	OF	ZH	0.08111401
D01	OF	ZH	0.160367975
D01	OF	ZR	0.075437675
D01	OF	ZR	0.091281964
D01	OF	ZR	0.092443411
D01	OH	NF	0.278598004
D01	OH	NF	0.241555778
D01	OH	NF	0.24062664
