Feature	group1	group2	p	p.format
BrayCurtisWithinCondition	OF	NF	0.68	0.68
BrayCurtisWithinCondition	OR	NF	0.47	0.47
BrayCurtisWithinCondition	OH	NF	0.18	0.18
BrayCurtisWithinCondition	ZF	NF	0.67	0.67
BrayCurtisWithinCondition	ZR	NF	0.18	0.18
BrayCurtisWithinCondition	ZH	NF	0.23	0.23
BrayCurtisBetweenKits	OF_NF	NF_NF	< 0.001	0.001
BrayCurtisBetweenKits	ZF_NF	NF_NF	< 0.001	0.001
BrayCurtisBetweenTemps	OF_OR	OF_OF	0.18	0.18
BrayCurtisBetweenTemps	OF_OH	OF_OF	0.005	0.005
BrayCurtisBetweenTemps	ZF_ZR	ZF_ZF	0.04	0.04
BrayCurtisBetweenTemps	ZF_ZH	ZF_ZF	0.004	0.004
BrayCurtisBetweenConditions	OF_NF	ZF_NF	0.022	0.022
BrayCurtisBetweenConditions	OR_NF	OF_NF	0.016	0.016
BrayCurtisBetweenConditions	OH_NF	OF_NF	0.79	0.79
BrayCurtisBetweenConditions	ZR_NF	ZF_NF	<0.001	0.001
BrayCurtisBetweenConditions	ZH_NF	ZF_NF	<0.001	0.001
