Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D01-NF-R1	NF	R1	98.4	4.559263825	2.19e+12	0.283283144	40505064	35589832	34670145	31905354	1321292	1.43e+12	4.06e+11	52151623878	74758266752	860284410.3	1490360749	2.25e+11	1.55e+11	3.19834308	13.54565916	110	0.65332332	0.185075484	0.023796644	0.034111994	0.000392545	0.000680048	0.102561129	0.070736521
D01-NF-R2	NF	R2	5.9	4.490261832	1.65e+12	0.436626446	18808802	16947424	16491588	14175378	673036	9.63e+11	4.2e+11	34765817298	57896432980	730702225.1	955789918	1.74e+11	1.15e+11	3.058443342	11.29308443	103	0.58308544	0.254590523	0.021052392	0.035059104	0.000442476	0.000578777	0.105130269	0.069410765
D01-NF-R3	NF	R3	160.8	4.509996104	3.41e+12	0.354363186	47334082	42400668	41318265	38445859	1574535	2.11e+12	7.49e+11	79888103700	1.14e+11	1214594437	2282374748	3.54e+11	2.42e+11	3.181337465	13.43129356	109	0.61896021	0.219336712	0.023395114	0.033486054	0.000355692	0.00066839	0.103741503	0.070771673
D01-OF-R1	OF	R1	93.8	4.523915222	1.31e+13	0.549419249	127742187	110124115	107377859	96992316	4008210	7.43e+12	4.08e+12	1.84e+11	1.85e+11	2753697458	8400626662	1.25e+12	8.06e+11	2.958075787	10.11770983	96	0.565428272	0.310657176	0.01400571	0.0140854	0.000209621	0.000639486	0.094922412	0.06135856
D01-OF-R2	OF	R2	88.2	4.466311003	5.52e+12	0.650699835	18739613	16895087	16424871	15076792	691080	2.9e+12	1.89e+12	73455247543	1.05e+11	1384892734	3524876416	5.48e+11	3.41e+11	2.958827121	9.756211046	99	0.525559331	0.34198137	0.013306141	0.018962831	0.000250868	0.000638518	0.099252374	0.061761982
D01-OF-R3	OF	R3	102	4.611613129	1.28e+13	0.477585471	103527589	92160040	89423722	82330048	3957549	7.68e+12	3.67e+12	1.86e+11	1.51e+11	2307496197	9240457538	1.14e+12	7.64e+11	2.976888919	10.56515881	94	0.598004666	0.28559834	0.0145245	0.011735613	0.000179789	0.00071997	0.089191921	0.059508962
D01-OH-R1	OH	R1	60	4.624399073	1.03e+13	0.826313372	100406255	86182763	84086564	75492649	3007351	5.05e+12	4.18e+12	51583926530	1.42e+11	3760478178	5314256038	8.89e+11	5.25e+11	2.614651353	7.041320931	88	0.489634969	0.404591922	0.004996787	0.013734781	0.000364267	0.000514777	0.086124558	0.050870878
D01-OH-R2	OH	R2	39.6	4.58728675	1.63e+13	0.707882353	33243160	29317581	28558092	25996618	1168694	8.45e+12	5.98e+12	1.07e+11	2.45e+11	5670968958	9384497844	1.51e+12	9.2e+11	2.731460043	8.019411193	90	0.518063057	0.366727695	0.006533236	0.01502065	0.000347858	0.000575646	0.092684682	0.056455345
D01-OH-R3	OH	R3	4.64	4.597646345	4.94e+12	0.540047462	57983655	51505835	50140879	45467963	1972259	2.83e+12	1.53e+12	49772495582	69717237516	1561935624	2840596339	4.56e+11	2.93e+11	2.88400119	9.553245005	95	0.573065357	0.309482491	0.010074181	0.014111088	0.000316143	0.00057495	0.092331093	0.059207919
D01-OR-R1	OR	R1	48.4	4.352061337	1.48e+12	0.991782754	74533380	63790168	62267111	49335629	2221790	6.41e+11	6.36e+11	13227844206	30574474284	353418125.6	893594252.7	1.53e+11	89326659641	2.816547318	7.922830859	91	0.434735496	0.431163168	0.00896763	0.020727532	0.000239595	0.0006058	0.10351493	0.060557744
