feature	Condition1	Condition2	PercentChange	p	p.format
DNAConcentration	NF	OF	-35.5% [-59.6%, 2.9%]	0.07	0.07
Relative Abundance: Firmicutes	NF	OF	-21.0% [-26.9%, -14.6%] ***	< 0.001	0.001
Relative Abundance: Bacteroidetes	NF	OF	55.9% [40.1%, 73.4%] ***	< 0.001	0.001
Relative Abundance: Actinobacteria	NF	OF	-29.5% [-38.1%, -19.7%] ***	< 0.001	0.001
Relative Abundance: Other Bacteria	NF	OF	3.1% [-18.9%, 31.0%]	0.8	0.8
Relative Abundance: Viruses	NF	OF	-32.6% [-45.4%, -16.8%] ***	< 0.001	0.001
Relative Abundance: Fungi	NF	OF	-6.4% [-14.8%, 2.8%]	0.17	0.17
Relative Abundance: Unclassified + Root	NF	OF	-1.7% [-8.2%, 5.3%]	0.63	0.63
Relative Abundance: Unclassified	NF	OF	-12.3% [-20.4%, -3.5%] **	0.007	0.007
Richness 0.01%	NF	OF	-6.3% [-9.5%, -2.9%] ***	< 0.001	0.001
Shannon Entropy	NF	OF	-9.0% [-12.4%, -5.6%] ***	< 0.001	0.001
Inv Simpson	NF	OF	-28.4% [-36.2%, -19.7%] ***	< 0.001	0.001
DNAConcentration	NF	ZF	-84.5% [-90.1%, -75.5%] ***	< 0.001	0.001
Relative Abundance: Firmicutes	NF	ZF	-8.7% [-12.6%, -4.7%] ***	< 0.001	0.001
Relative Abundance: Bacteroidetes	NF	ZF	33.0% [15.6%, 52.9%] ***	< 0.001	0.001
Relative Abundance: Actinobacteria	NF	ZF	-26.9% [-40.9%, -9.6%] **	0.004	0.004
Relative Abundance: Other Bacteria	NF	ZF	0.8% [-20.6%, 28.1%]	0.95	0.95
Relative Abundance: Viruses	NF	ZF	3.6% [-15.7%, 27.4%]	0.74	0.74
Relative Abundance: Fungi	NF	ZF	-7.3% [-13.5%, -0.6%] *	0.03	0.03
Relative Abundance: Unclassified + Root	NF	ZF	-4.4% [-9.7%, 1.3%]	0.13	0.13
Relative Abundance: Unclassified	NF	ZF	-6.5% [-12.7%, 0.1%]	0.05	0.05
Richness 0.01%	NF	ZF	-4.5% [-8.0%, -0.9%] *	0.02	0.02
Shannon Entropy	NF	ZF	-3.4% [-5.5%, -1.2%] **	0.002	0.002
Inv Simpson	NF	ZF	-12.7% [-19.7%, -5.1%] ***	0.001	0.001
DNAConcentration	OF	OR	40.8% [-0.7%, 99.7%]	0.06	0.06
Relative Abundance: Firmicutes	OF	OR	-1.4% [-6.3%, 3.8%]	0.6	0.6
Relative Abundance: Bacteroidetes	OF	OR	1.3% [-4.3%, 7.3%]	0.65	0.65
Relative Abundance: Actinobacteria	OF	OR	-15.5% [-23.6%, -6.6%] ***	0.001	0.001
Relative Abundance: Other Bacteria	OF	OR	7.2% [-0.6%, 15.7%]	0.07	0.07
Relative Abundance: Viruses	OF	OR	27.2% [6.7%, 51.5%] **	0.007	0.007
Relative Abundance: Fungi	OF	OR	2.5% [-1.6%, 6.8%]	0.24	0.24
Relative Abundance: Unclassified + Root	OF	OR	2.8% [0.9%, 4.7%] **	0.004	0.004
Relative Abundance: Unclassified	OF	OR	3.0% [-0.6%, 6.8%]	0.11	0.11
Richness 0.01%	OF	OR	2.1% [0.6%, 3.7%] **	0.007	0.007
Shannon Entropy	OF	OR	-0.1% [-1.4%, 1.2%]	0.88	0.88
Inv Simpson	OF	OR	-2.3% [-7.7%, 3.4%]	0.42	0.42
DNAConcentration	OF	OH	21.8% [-26.7%, 102.5%]	0.45	0.45
Relative Abundance: Firmicutes	OF	OH	4.6% [-4.4%, 14.4%]	0.33	0.33
Relative Abundance: Bacteroidetes	OF	OH	-3.1% [-11.6%, 6.2%]	0.5	0.5
Relative Abundance: Actinobacteria	OF	OH	-27.4% [-40.5%, -11.5%] **	0.002	0.002
Relative Abundance: Other Bacteria	OF	OH	5.2% [-3.3%, 14.5%]	0.24	0.24
Relative Abundance: Viruses	OF	OH	55.5% [30.6%, 85.0%] ***	< 0.001	0.001
Relative Abundance: Fungi	OF	OH	4.1% [-4.6%, 13.5%]	0.37	0.37
Relative Abundance: Unclassified + Root	OF	OH	3.5% [-0.3%, 7.5%]	0.07	0.07
Relative Abundance: Unclassified	OF	OH	9.4% [3.0%, 16.3%] **	0.004	0.004
Richness 0.01%	OF	OH	1.7% [-0.5%, 3.9%]	0.14	0.14
Shannon Entropy	OF	OH	0.4% [-3.6%, 4.6%]	0.85	0.85
Inv Simpson	OF	OH	1.7% [-9.5%, 14.3%]	0.78	0.78
DNAConcentration	ZF	ZR	-41.7% [-55.3%, -24.0%] ***	< 0.001	0.001
