Protocols	estimate	CI_low	CI_high
NF_NF	0.165875863	0.123081953	0.223548632
NF_OF	0.341726973	0.287128492	0.406707544
NF_OR	0.461784472	0.398789542	0.534730417
NF_ZF	0.3677735	0.304963554	0.443519712
NF_ZH	0.597610819	0.538933792	0.662676373
NF_ZR	0.457724723	0.407380653	0.514290309
OF_NF	0.341726973	0.287128492	0.406707544
OF_OF	0.150657439	0.120345393	0.188604344
OF_OR	0.404908953	0.345230244	0.474904106
OF_ZF	0.261783678	0.219297631	0.312500842
OF_ZH	0.379056399	0.320389834	0.448465394
OF_ZR	0.276423575	0.238667916	0.320151925
OR_NF	0.461784472	0.398789542	0.534730417
OR_OF	0.404908953	0.345230244	0.474904106
OR_OR	0.16333321	0.122284345	0.218161511
OR_ZF	0.449734492	0.392044167	0.515914099
OR_ZH	0.487180325	0.429621345	0.552450831
OR_ZR	0.41459446	0.321891913	0.533994671
ZF_NF	0.3677735	0.304963554	0.443519712
ZF_OF	0.261783678	0.219297631	0.312500842
ZF_OR	0.449734492	0.392044167	0.515914099
ZF_ZF	0.119038625	0.089008705	0.159200094
ZF_ZH	0.366659533	0.319157914	0.421231019
ZF_ZR	0.202526883	0.167394867	0.245032236
ZH_NF	0.597610819	0.538933792	0.662676373
ZH_OF	0.379056399	0.320389834	0.448465394
ZH_OR	0.487180325	0.429621345	0.552450831
ZH_ZF	0.366659533	0.319157914	0.421231019
ZH_ZH	0.08765804	0.054042281	0.14218371
ZH_ZR	0.323085116	0.302031216	0.345606635
ZR_NF	0.457724723	0.407380653	0.514290309
ZR_OF	0.276423575	0.238667916	0.320151925
ZR_OR	0.41459446	0.321891913	0.533994671
ZR_ZF	0.202526883	0.167394867	0.245032236
ZR_ZH	0.323085116	0.302031216	0.345606635
ZR_ZR	0.187714358	0.146574812	0.240400649
