SampleName,DNAConcentration
D09_NF_R3,169.6
D01_NF_R3,160.8
D02_NF_R1,153.2
D07_OH_R3,150.8
D02_NF_R3,143.2
D06_NF_R1,140.8
D08_OF_R2,139.2
D09_NF_R2,134
D07_OH_R1,132.8
D05_NF_R3,129.2
D04_NF_R2,116
D06_OR_R3,116
D08_NF_R2,112
D08_NF_R3,112
D02_OR_R3,112
D02_OF_R3,110
D03_NF_R2,109.2
D09_OF_R3,108
D07_OR_R1,106
D08_OR_R1,104.8
D02_NF_R2,104
D04_NF_R1,104
D06_OH_R1,102
D01_OR_R3,102
D01_OF_R3,102
D08_OH_R1,100
D08_NF_R1,100
D09_NF_R1,99.6
D01_NF_R1,98.4
D02_OR_R2,98.2
D04_NF_R3,96.6
D06_OH_R3,94.8
D01_OF_R1,93.8
D09_OH_R1,91.8
D08_OH_R2,91
D09_OR_R3,90.4
D08_OF_R1,90.2
D02_OH_R3,89.6
D08_OR_R3,89
D01_OF_R2,88.2
D05_NF_R1,87.4
D07_OF_R1,85.8
D05_OF_R1,84.8
D10_NF_R1,83.8
D04_OH_R1,83.2
D10_OR_R3,83.2
D05_OR_R3,82.2
D05_OF_R3,81.8
D02_OH_R1,80.2
D04_OR_R1,79.8
D02_OR_R1,79.6
D05_OF_R2,79.2
D07_OF_R2,78.8
D09_OH_R3,76.6
D05_OH_R1,68.4
D07_OH_R2,66.6
D06_OR_R2,66.4
D05_OR_R2,64.4
D09_OF_R1,62.2
D02_OH_R2,62
D07_NF_R1,61.4
D05_OR_R1,60
D01_OH_R1,60
D01_OR_R2,58
D09_OR_R1,57.4
D10_OF_R3,55.4
D06_OH_R2,54.8
D04_OH_R2,52.4
D05_OH_R2,50.4
D01_OR_R1,48.4
D07_OR_R3,47.2
D03_NF_R1,46.6
D09_OR_R2,46.4
D04_OR_R3,45.4
D06_OR_R1,44.6
D10_OH_R1,44
D05_OH_R3,42.8
D02_OF_R1,42.6
D03_OF_R1,41
D01_OH_R2,39.6
D03_OH_R1,38.8
D03_OR_R2,37.8
D03_OR_R3,37.4
D10_OH_R3,37.4
D06_OF_R1,37.2
D03_OH_R3,35.6
D09_OF_R2,35.4
D01_ZF_R1,35
D07_NF_R2,34.6
D10_OR_R2,34.6
D10_OR_R1,33.2
D03_OF_R3,31.2
D06_OF_R2,29
D10_OF_R1,28.4
D03_OH_R2,28
D03_NF_R3,27
D07_NF_R3,26.4
D03_OF_R2,26.2
D05_NF_R2,26
D04_OR_R2,25.8
D03_OR_R1,24
D04_OF_R2,23.2
D07_OR_R2,22.8
D04_OF_R1,21.6
D06_ZF_R3,19.9
D02_ZF_R1,19
D10_OH_R2,18.4
D04_OF_R3,18
D04_ZR_R3,16.6
D04_OH_R3,16.5
D07_ZF_R1,16.2
D05_ZF_R1,15.4
D03_ZF_R3,14.3
D08_ZF_R1,14.2
PCO_B4_R1,13.9
D06_NF_R3,13.4
D07_ZF_R3,13.2
D03_ZH_R3,12.9
D06_NF_R2,12.8
PCO_B2_R2,12.6
D02_ZR_R1,12.4
D02_ZF_R3,12.4
D08_ZR_R3,12.3
PCO_B2_R1,11.9
D05_ZR_R1,11.8
PCO_B3_R1,11.8
D07_ZR_R3,11.3
D07_ZH_R3,11.1
D01_ZR_R2,11
D08_ZR_R1,10.5
D06_ZF_R2,10.4
D05_ZF_R3,10.4
D01_ZF_R3,10.3
D04_ZF_R1,10.2
D05_ZH_R1,10.1
PCO_B4_R3,10.1
D04_ZH_R3,10
D01_ZF_R2,9.92
PCO_B1_R1,9.7
D05_ZH_R2,9.44
D05_ZR_R3,9.38
D01_ZR_R1,9.32
D04_ZH_R1,9.32
PCO_B1_R3,9.28
D07_ZF_R2,9.26
PCO_B4_R2,9.22
D03_ZF_R1,9.16
PCO_B3_R2,9.16
PCO_B1_R2,9.1
D04_ZR_R1,9.08
D07_OF_R3,8.88
D06_ZR_R1,8.84
D02_ZF_R2,8.8
D03_ZR_R3,8.54
D06_ZF_R1,8.5
D10_OF_R2,8.48
D09_OH_R2,8.12
D03_ZF_R2,8
PCO_B2_R3,7.94
D07_ZH_R1,7.66
D02_ZH_R1,7.34
D04_ZF_R3,7.32
D10_ZF_R3,7.24
D05_ZH_R3,7.2
D10_NF_R2,7.16
D06_OF_R3,7.12
D08_ZF_R2,7.02
D10_NF_R3,6.98
D04_ZF_R2,6.84
D07_ZR_R1,6.76
D05_ZR_R2,6.42
PCO_B3_R3,6.34
D09_ZF_R2,6.22
D06_ZH_R1,6.06
D01_NF_R2,5.9
D08_ZF_R3,5.76
D02_ZR_R2,5.68
D09_ZF_R1,5.64
D04_ZR_R2,5.4
D09_ZF_R3,5.3
D08_OF_R3,5.22
D03_ZH_R1,5.2
D08_OH_R3,5.16
D01_ZH_R1,5
D01_ZR_R3,5
D02_OF_R2,4.92
D01_ZH_R2,4.88
D07_ZH_R2,4.86
D10_ZR_R2,4.8
D09_ZH_R2,4.7
D01_OH_R3,4.64
D05_ZF_R2,4.52
D02_ZH_R3,4.44
D08_ZH_R3,4.36
D08_ZH_R2,4.26
D08_OR_R2,4.18
D10_ZF_R2,4
D10_ZH_R1,3.84
D10_ZR_R1,3.8
D04_ZH_R2,3.8
D09_ZH_R1,3.76
D01_ZH_R3,3.48
D06_ZR_R2,3.42
D03_ZR_R1,3.3
D02_ZH_R2,3.2
D09_ZR_R1,3.18
D08_ZR_R2,3.18
D09_ZR_R2,3.14
D03_ZR_R2,3.04
D10_ZF_R1,2.92
NCO_B4_R3,2.9
D10_ZH_R3,2.88
D03_ZH_R2,2.84
NCO_B3_R3,2.84
D09_ZR_R3,2.64
D09_ZH_R3,2.6
D10_ZH_R2,2.44
D06_ZR_R3,2.28
D02_ZR_R3,2.16
D06_ZH_R3,2.16
D10_ZR_R3,2.1
NCO_B3_R2,1.93
NCO_B2_R1,1.86
NCO_B3_R1,1.8
D08_ZH_R1,1.8
D06_ZH_R2,1.74
NCO_B1_R2,1.05
NCO_B4_R1,1.01
NCO_B2_R3,1.01
D07_ZR_R2,1
NCO_B4_R2,0.912
NCO_B2_R2,0.88
NCO_B1_R3,0.86
NCO_B1_R1,0.28
