Plate,Well384
Plate1,F5
Plate1,L5
Plate1,K6
Plate1,G7
Plate1,H7
Plate1,K8
Plate1,G8
Plate1,G9
Plate1,O9
Plate1,P9
Plate1,H9
Plate1,E10
Plate1,O10
Plate1,N11
Plate1,O11
Plate1,M12
Plate1,C15
Plate1,D15
Plate1,C16
Plate1,H17
Plate1,O17
Plate1,P17
Plate1,O23
Plate2,M4
Plate2,H5
Plate2,J5
Plate2,N5
Plate2,M6
Plate2,F7
Plate2,K7
Plate2,O7
Plate2,O8
Plate2,N9
Plate2,O9
Plate2,P9
Plate2,P11
Plate2,J13
Plate2,I13
Plate2,H17
Plate2,I19
Plate2,K19
Plate2,L19
Plate2,K20
Plate2,B21
Plate2,A22
Plate2,B23
Plate2,G23
Plate2,G24
Plate3,J1
Plate3,A6
Plate3,M7
Plate3,N7
Plate3,K7
Plate3,L7
Plate3,P7
Plate3,G8
Plate3,M8
Plate3,K8
Plate3,G9
Plate3,H9
Plate3,K9
Plate3,L9
Plate3,M9
Plate3,G10
Plate3,M10
Plate3,L11
Plate3,K12
Plate3,L13
Plate3,H17
Plate3,J19
Plate3,H21
Plate3,A22
Plate3,G22
