* Block Type = 384-Well Block,,,,,,,,,,,,
* Date Created = Mon Apr 11 16:56:02 PDT 2022,,,,,,,,,,,,
* Passive Reference = ,,,,,,,,,,,,
,,,,,,,,,,,,
[Sample Setup],,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,Sample,,,,16S,,,SYBR,,,
10,A10,Sample,,,,16S,,,SYBR,,,
11,A11,Sample,,,,16S,,,SYBR,,,
12,A12,Sample,,,,16S,,,SYBR,,,
13,A13,Sample,,,,16S,,,SYBR,,,
14,A14,Sample,,,,16S,,,SYBR,,,
15,A15,Sample,,,,16S,,,SYBR,,,
16,A16,Sample,,,,16S,,,SYBR,,,
17,A17,Sample,,,,16S,,,SYBR,,,
18,A18,Sample,,,,16S,,,SYBR,,,
19,A19,Sample,,,,16S,,,SYBR,,,
2,A2,Sample,,,,16S,,,SYBR,,,
20,A20,Sample,,,,16S,,,SYBR,,,
21,A21,Sample,,,,16S,,,SYBR,,,
22,A22,Sample,,,,16S,,,SYBR,,,
23,A23,Sample,,,,16S,,,SYBR,,,
24,A24,Sample,,,,16S,,,SYBR,,,
3,A3,Sample,,,,16S,,,SYBR,,,
4,A4,Sample,,,,16S,,,SYBR,,,
5,A5,Sample,,,,16S,,,SYBR,,,
6,A6,Sample,,,,16S,,,SYBR,,,
7,A7,Sample,,,,16S,,,SYBR,,,
8,A8,Sample,,,,16S,,,SYBR,,,
9,A9,Sample,,,,16S,,,SYBR,,,
25,B1,Sample,,,,16S,,,SYBR,,,
34,B10,Sample,,,,16S,,,SYBR,,,
35,B11,Sample,,,,16S,,,SYBR,,,
36,B12,Sample,,,,16S,,,SYBR,,,
37,B13,Sample,,,,16S,,,SYBR,,,
38,B14,Sample,,,,16S,,,SYBR,,,
39,B15,Sample,,,,16S,,,SYBR,,,
40,B16,Sample,,,,16S,,,SYBR,,,
41,B17,Sample,,,,16S,,,SYBR,,,
42,B18,Sample,,,,16S,,,SYBR,,,
43,B19,Sample,,,,16S,,,SYBR,,,
26,B2,Sample,,,,16S,,,SYBR,,,
44,B20,Sample,,,,16S,,,SYBR,,,
45,B21,Sample,,,,16S,,,SYBR,,,
46,B22,Sample,,,,16S,,,SYBR,,,
47,B23,Sample,,,,16S,,,SYBR,,,
48,B24,Sample,,,,16S,,,SYBR,,,
27,B3,Sample,,,,16S,,,SYBR,,,
28,B4,Sample,,,,16S,,,SYBR,,,
29,B5,Sample,,,,16S,,,SYBR,,,
30,B6,Sample,,,,16S,,,SYBR,,,
31,B7,Sample,,,,16S,,,SYBR,,,
32,B8,Sample,,,,16S,,,SYBR,,,
33,B9,Sample,,,,16S,,,SYBR,,,
49,C1,Sample,,,,16S,,,SYBR,,,
58,C10,Sample,,,,16S,,,SYBR,,,
59,C11,Sample,,,,16S,,,SYBR,,,
60,C12,Sample,,,,16S,,,SYBR,,,
61,C13,Sample,,,,16S,,,SYBR,,,
62,C14,Sample,,,,16S,,,SYBR,,,
63,C15,Sample,,,,16S,,,SYBR,,,
64,C16,Sample,,,,16S,,,SYBR,,,
65,C17,Sample,,,,16S,,,SYBR,,,
66,C18,Sample,,,,16S,,,SYBR,,,
67,C19,Sample,,,,16S,,,SYBR,,,
50,C2,Sample,,,,16S,,,SYBR,,,
68,C20,Sample,,,,16S,,,SYBR,,,
69,C21,Sample,,,,16S,,,SYBR,,,
70,C22,Sample,,,,16S,,,SYBR,,,
71,C23,Sample,,,,16S,,,SYBR,,,
72,C24,Sample,,,,16S,,,SYBR,,,
51,C3,Sample,,,,16S,,,SYBR,,,
52,C4,Sample,,,,16S,,,SYBR,,,
53,C5,Sample,,,,16S,,,SYBR,,,
54,C6,Sample,,,,16S,,,SYBR,,,
55,C7,Sample,,,,16S,,,SYBR,,,
56,C8,Sample,,,,16S,,,SYBR,,,
57,C9,Sample,,,,16S,,,SYBR,,,
73,D1,Sample,,,,16S,,,SYBR,,,
82,D10,Sample,,,,16S,,,SYBR,,,
83,D11,Sample,,,,16S,,,SYBR,,,
84,D12,Sample,,,,16S,,,SYBR,,,
85,D13,Sample,,,,16S,,,SYBR,,,
86,D14,Sample,,,,16S,,,SYBR,,,
87,D15,Sample,,,,16S,,,SYBR,,,
88,D16,Sample,,,,16S,,,SYBR,,,
89,D17,Sample,,,,16S,,,SYBR,,,
90,D18,Sample,,,,16S,,,SYBR,,,
91,D19,Sample,,,,16S,,,SYBR,,,
74,D2,Sample,,,,16S,,,SYBR,,,
92,D20,Sample,,,,16S,,,SYBR,,,
93,D21,Sample,,,,16S,,,SYBR,,,
94,D22,Sample,,,,16S,,,SYBR,,,
95,D23,Sample,,,,16S,,,SYBR,,,
96,D24,Sample,,,,16S,,,SYBR,,,
75,D3,Sample,,,,16S,,,SYBR,,,
76,D4,Sample,,,,16S,,,SYBR,,,
77,D5,Sample,,,,16S,,,SYBR,,,
78,D6,Sample,,,,16S,,,SYBR,,,
79,D7,Sample,,,,16S,,,SYBR,,,
80,D8,Sample,,,,16S,,,SYBR,,,
81,D9,Sample,,,,16S,,,SYBR,,,
97,E1,Sample,,,,16S,,,SYBR,,,
106,E10,Sample,,,,16S,,,SYBR,,,
107,E11,Sample,,,,16S,,,SYBR,,,
108,E12,Sample,,,,16S,,,SYBR,,,
109,E13,Sample,,,,16S,,,SYBR,,,
110,E14,Sample,,,,16S,,,SYBR,,,
111,E15,Sample,,,,16S,,,SYBR,,,
112,E16,Sample,,,,16S,,,SYBR,,,
113,E17,Sample,,,,16S,,,SYBR,,,
114,E18,Sample,,,,16S,,,SYBR,,,
115,E19,Sample,,,,16S,,,SYBR,,,
98,E2,Sample,,,,16S,,,SYBR,,,
116,E20,Sample,,,,16S,,,SYBR,,,
117,E21,Sample,,,,16S,,,SYBR,,,
118,E22,Sample,,,,16S,,,SYBR,,,
119,E23,Sample,,,,16S,,,SYBR,,,
120,E24,Sample,,,,16S,,,SYBR,,,
99,E3,Sample,,,,16S,,,SYBR,,,
100,E4,Sample,,,,16S,,,SYBR,,,
101,E5,Sample,,,,16S,,,SYBR,,,
102,E6,Sample,,,,16S,,,SYBR,,,
103,E7,Sample,,,,16S,,,SYBR,,,
104,E8,Sample,,,,16S,,,SYBR,,,
105,E9,Sample,,,,16S,,,SYBR,,,
121,F1,Sample,,,,16S,,,SYBR,,,
130,F10,Sample,,,,16S,,,SYBR,,,
131,F11,Sample,,,,16S,,,SYBR,,,
132,F12,Sample,,,,16S,,,SYBR,,,
133,F13,Sample,,,,16S,,,SYBR,,,
134,F14,Sample,,,,16S,,,SYBR,,,
135,F15,Sample,,,,16S,,,SYBR,,,
136,F16,Sample,,,,16S,,,SYBR,,,
137,F17,Sample,,,,16S,,,SYBR,,,
138,F18,Sample,,,,16S,,,SYBR,,,
139,F19,Sample,,,,16S,,,SYBR,,,
122,F2,Sample,,,,16S,,,SYBR,,,
140,F20,Sample,,,,16S,,,SYBR,,,
141,F21,Sample,,,,16S,,,SYBR,,,
142,F22,Sample,,,,16S,,,SYBR,,,
143,F23,Sample,,,,16S,,,SYBR,,,
144,F24,Sample,,,,16S,,,SYBR,,,
123,F3,Sample,,,,16S,,,SYBR,,,
124,F4,Sample,,,,16S,,,SYBR,,,
125,F5,Sample,,,,16S,,,SYBR,,,
126,F6,Sample,,,,16S,,,SYBR,,,
127,F7,Sample,,,,16S,,,SYBR,,,
128,F8,Sample,,,,16S,,,SYBR,,,
129,F9,Sample,,,,16S,,,SYBR,,,
145,G1,Sample,,,,16S,,,SYBR,,,
154,G10,Sample,,,,16S,,,SYBR,,,
155,G11,Sample,,,,16S,,,SYBR,,,
156,G12,Sample,,,,16S,,,SYBR,,,
157,G13,Sample,,,,16S,,,SYBR,,,
158,G14,Sample,,,,16S,,,SYBR,,,
159,G15,Sample,,,,16S,,,SYBR,,,
160,G16,Sample,,,,16S,,,SYBR,,,
161,G17,Sample,,,,16S,,,SYBR,,,
162,G18,Sample,,,,16S,,,SYBR,,,
163,G19,Sample,,,,16S,,,SYBR,,,
146,G2,Sample,,,,16S,,,SYBR,,,
164,G20,Sample,,,,16S,,,SYBR,,,
165,G21,Sample,,,,16S,,,SYBR,,,
166,G22,Sample,,,,16S,,,SYBR,,,
167,G23,Sample,,,,16S,,,SYBR,,,
168,G24,Sample,,,,16S,,,SYBR,,,
147,G3,Sample,,,,16S,,,SYBR,,,
148,G4,Sample,,,,16S,,,SYBR,,,
149,G5,Sample,,,,16S,,,SYBR,,,
150,G6,Sample,,,,16S,,,SYBR,,,
151,G7,Sample,,,,16S,,,SYBR,,,
152,G8,Sample,,,,16S,,,SYBR,,,
153,G9,Sample,,,,16S,,,SYBR,,,
169,H1,Sample,,,,16S,,,SYBR,,,
178,H10,Sample,,,,16S,,,SYBR,,,
179,H11,Sample,,,,16S,,,SYBR,,,
180,H12,Sample,,,,16S,,,SYBR,,,
181,H13,Sample,,,,16S,,,SYBR,,,
182,H14,Sample,,,,16S,,,SYBR,,,
183,H15,Sample,,,,16S,,,SYBR,,,
184,H16,Sample,,,,16S,,,SYBR,,,
185,H17,Sample,,,,16S,,,SYBR,,,
186,H18,Sample,,,,16S,,,SYBR,,,
187,H19,Sample,,,,16S,,,SYBR,,,
170,H2,Sample,,,,16S,,,SYBR,,,
188,H20,Sample,,,,16S,,,SYBR,,,
189,H21,Sample,,,,16S,,,SYBR,,,
190,H22,Sample,,,,16S,,,SYBR,,,
191,H23,Sample,,,,16S,,,SYBR,,,
192,H24,Sample,,,,16S,,,SYBR,,,
171,H3,Sample,,,,16S,,,SYBR,,,
172,H4,Sample,,,,16S,,,SYBR,,,
173,H5,Sample,,,,16S,,,SYBR,,,
174,H6,Sample,,,,16S,,,SYBR,,,
175,H7,Sample,,,,16S,,,SYBR,,,
176,H8,Sample,,,,16S,,,SYBR,,,
177,H9,Sample,,,,16S,,,SYBR,,,
193,I1,Sample,,,,16S,,,SYBR,,,
202,I10,Sample,,,,16S,,,SYBR,,,
203,I11,Sample,,,,16S,,,SYBR,,,
204,I12,Sample,,,,16S,,,SYBR,,,
205,I13,Sample,,,,16S,,,SYBR,,,
206,I14,Sample,,,,16S,,,SYBR,,,
207,I15,Sample,,,,16S,,,SYBR,,,
208,I16,Sample,,,,16S,,,SYBR,,,
209,I17,Sample,,,,16S,,,SYBR,,,
210,I18,Sample,,,,16S,,,SYBR,,,
211,I19,Sample,,,,16S,,,SYBR,,,
194,I2,Sample,,,,16S,,,SYBR,,,
212,I20,Sample,,,,16S,,,SYBR,,,
213,I21,Sample,,,,16S,,,SYBR,,,
214,I22,Sample,,,,16S,,,SYBR,,,
215,I23,Sample,,,,16S,,,SYBR,,,
216,I24,Sample,,,,16S,,,SYBR,,,
195,I3,Sample,,,,16S,,,SYBR,,,
196,I4,Sample,,,,16S,,,SYBR,,,
197,I5,Sample,,,,16S,,,SYBR,,,
198,I6,Sample,,,,16S,,,SYBR,,,
199,I7,Sample,,,,16S,,,SYBR,,,
200,I8,Sample,,,,16S,,,SYBR,,,
201,I9,Sample,,,,16S,,,SYBR,,,
217,J1,Sample,,,,16S,,,SYBR,,,
226,J10,Sample,,,,16S,,,SYBR,,,
227,J11,Sample,,,,16S,,,SYBR,,,
228,J12,Sample,,,,16S,,,SYBR,,,
229,J13,Sample,,,,16S,,,SYBR,,,
230,J14,Sample,,,,16S,,,SYBR,,,
