Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
A1,A1,Rep1,Plate1,D07_ZF_R1,D07,ZF,R1,1-2-4,D07_ZF_R1_Rep1,A1 Well,false,Sample,16S,Unknown,SYBR,14.6191104727201,0.8680424045600951,3.46656324569015,Amp,false,3,8,NA,NA,6.95593499224569,1505857033.78867,5
A10,A5,Rep2,Plate1,D03_ZR_R1,D03,ZR,R1,1-1-11,D03_ZR_R1_Rep2,A10 Well,false,Sample,16S,Unknown,SYBR,17.7602450636048,0.8542301763634644,NA,Amp,false,3,9,NA,NA,5.88387540491303,127562832.633274,6
A11,A6,Rep1,Plate1,D03_OH_R1,D03,OH,R1,1-1-5,D03_OH_R1_Rep1,A11 Well,false,Sample,16S,Unknown,SYBR,12.6687321133394,0.9144494426646309,3.48047473715609,Amp,false,3,6,NA,NA,7.62159313537905,6973356768.43519,4
A12,A6,Rep2,Plate1,D03_OH_R1,D03,OH,R1,1-1-5,D03_OH_R1_Rep2,A12 Well,false,Sample,16S,Unknown,SYBR,12.7312403275907,0.9263513825526185,3.4877442349512,Amp,false,3,7,NA,NA,7.60025927385983,6639081859.04296,4
A13,A7,Rep1,Plate1,D03_ZF_R1,D03,ZF,R1,1-2-2,D03_ZF_R1_Rep1,A13 Well,false,Sample,16S,Unknown,SYBR,16.5810379015962,0.863069262024262,3.4697107502002,Amp,false,3,8,NA,NA,6.28633518716852,322243329.980201,5
A14,A7,Rep2,Plate1,D03_ZF_R1,D03,ZF,R1,1-2-2,D03_ZF_R1_Rep2,A14 Well,false,Sample,16S,Unknown,SYBR,16.6394659478788,0.8619162606058095,3.46672545897964,Amp,false,3,8,NA,NA,6.26639387444408,307781579.493541,5
A15,A8,Rep1,Plate1,PCO_B4_R1,PCO,B4,R1,1-4-18,PCO_B4_R1_Rep1,A15 Well,false,Sample,16S,Unknown,SYBR,15.2513613608557,0.9242645560785303,3.50203056381454,Amp,false,3,7,NA,NA,6.74014970619259,916217232.385537,7
A16,A8,Rep2,Plate1,PCO_B4_R1,PCO,B4,R1,1-4-18,PCO_B4_R1_Rep2,A16 Well,false,Sample,16S,Unknown,SYBR,15.2562183160416,0.9271625203747854,3.48352106791323,Amp,false,3,7,NA,NA,6.73849204230663,912726777.314285,7
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
A19,A10,Rep1,Plate1,D03_NF_R1,D03,NF,R1,1-2-10,D03_NF_R1_Rep1,A19 Well,false,Sample,16S,Unknown,SYBR,13.0902831076871,0.8923165578366019,3.46731015717298,Amp,false,3,6,NA,NA,7.4777190758747,5006887409.68889,1
A2,A1,Rep2,Plate1,D07_ZF_R1,D07,ZF,R1,1-2-4,D07_ZF_R1_Rep2,A2 Well,false,Sample,16S,Unknown,SYBR,15.4232513629884,0.9826165272339662,3.39233775778405,Amp,false,3,7,NA,NA,6.68148417645446,800447635.510491,5
A20,A10,Rep2,Plate1,D03_NF_R1,D03,NF,R1,1-2-10,D03_NF_R1_Rep2,A20 Well,false,Sample,16S,Unknown,SYBR,13.1250489073111,0.8993483375351231,3.46624672477083,Amp,false,3,6,NA,NA,7.46585361525218,4871944865.61973,1
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
A23,A12,Rep1,Plate1,D02_ZH_R1,D02,ZH,R1,1-2-7,D02_ZH_R1_Rep1,A23 Well,false,Sample,16S,Unknown,SYBR,16.3621894940343,0.8765384859389309,3.48926222987913,Amp,false,3,9,NA,NA,6.36102747643882,382715653.795566,7
A24,A12,Rep2,Plate1,D02_ZH_R1,D02,ZH,R1,1-2-7,D02_ZH_R1_Rep2,A24 Well,false,Sample,16S,Unknown,SYBR,16.3429989807949,0.8615792609577967,3.48625508097876,Amp,false,3,8,NA,NA,6.36757713966046,388531190.907677,7
A3,A2,Rep1,Plate1,D03_OR_R1,D03,OR,R1,1-4-17,D03_OR_R1_Rep1,A3 Well,false,Sample,16S,Unknown,SYBR,14.9747126030532,0.9168632004850257,3.40379416536238,Amp,false,3,8,NA,NA,6.83456907745623,1138722303.66436,3
A4,A2,Rep2,Plate1,D03_OR_R1,D03,OR,R1,1-4-17,D03_OR_R1_Rep2,A4 Well,false,Sample,16S,Unknown,SYBR,15.0076142616486,0.9054078479144416,3.40162008515022,Amp,false,3,7,NA,NA,6.82333984244076,1109656578.19948,3
A5,A3,Rep1,Plate1,D04_OR_R1,D04,OR,R1,1-1-1,D04_OR_R1_Rep1,A5 Well,false,Sample,16S,Unknown,SYBR,14.1524713744182,0.8801184642956777,3.37837746675865,Amp,false,3,7,NA,NA,7.11519748313371,2172932485.73418,3
A6,A3,Rep2,Plate1,D04_OR_R1,D04,OR,R1,1-1-1,D04_OR_R1_Rep2,A6 Well,false,Sample,16S,Unknown,SYBR,14.1758559979287,0.9368143454810085,3.38312339720355,Amp,false,3,7,NA,NA,7.10721638295949,2133364836.91684,3
A7,A4,Rep1,Plate1,PCO_B2_R1,PCO,B2,R1,1-2-1,PCO_B2_R1_Rep1,A7 Well,false,Sample,16S,Unknown,SYBR,16.983277407773,0.926708860303159,3.41218604066832,Amp,false,3,8,NA,NA,6.14905207925836,234909634.355463,7
A8,A4,Rep2,Plate1,PCO_B2_R1,PCO,B2,R1,1-2-1,PCO_B2_R1_Rep2,A8 Well,false,Sample,16S,Unknown,SYBR,17.276756144466,0.9825793299215593,3.36462860461488,Amp,false,3,8,NA,NA,6.04888868789556,186525167.007258,7
A9,A5,Rep1,Plate1,D03_ZR_R1,D03,ZR,R1,1-1-11,D03_ZR_R1_Rep1,A9 Well,false,Sample,16S,Unknown,SYBR,18.5294294261491,0.9834774362508181,NA,Amp,false,3,9,NA,NA,5.621355144659,69695364.5842208,6
B1,A1,Rep3,Plate1,D07_ZF_R1,D07,ZF,R1,1-2-4,D07_ZF_R1_Rep3,B1 Well,false,Sample,16S,Unknown,SYBR,14.8458353876234,0.8590702199135365,3.45935317495815,Amp,false,3,7,NA,NA,6.87855447521387,1260094815.81952,5
B11,A6,Rep3,Plate1,D03_OH_R1,D03,OH,R1,1-1-5,D03_OH_R1_Rep3,B11 Well,false,Sample,16S,Unknown,SYBR,12.8744459896291,0.9257773983883096,3.468816459843,Amp,false,3,6,NA,NA,7.551383621287,5932426564.02274,4
B13,A7,Rep3,Plate1,D03_ZF_R1,D03,ZF,R1,1-2-2,D03_ZF_R1_Rep3,B13 Well,false,Sample,16S,Unknown,SYBR,16.9497146495351,0.8702602902207532,3.45060742059049,Amp,false,3,8,NA,NA,6.16050694555115,241187999.404401,5
B15,A8,Rep3,Plate1,PCO_B4_R1,PCO,B4,R1,1-4-18,PCO_B4_R1_Rep3,B15 Well,false,Sample,16S,Unknown,SYBR,15.3847387729819,0.9430631531405659,3.47956947722313,Amp,false,3,7,NA,NA,6.69462840512564,825044084.41914,7
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
B19,A10,Rep3,Plate1,D03_NF_R1,D03,NF,R1,1-2-10,D03_NF_R1_Rep3,B19 Well,false,Sample,16S,Unknown,SYBR,12.7515544199955,0.8086758274937503,3.50251652739802,Amp,false,3,6,NA,NA,7.5933261365203,6533936148.90427,1
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
B23,A12,Rep3,Plate1,D02_ZH_R1,D02,ZH,R1,1-2-7,D02_ZH_R1_Rep3,B23 Well,false,Sample,16S,Unknown,SYBR,16.4326755028212,0.8851171098547981,3.4769016561126,Amp,false,3,8,NA,NA,6.33697081814976,362092531.991958,7
B3,A2,Rep3,Plate1,D03_OR_R1,D03,OR,R1,1-4-17,D03_OR_R1_Rep3,B3 Well,false,Sample,16S,Unknown,SYBR,15.139735311963,0.9253768615676687,3.38413675725912,Amp,false,3,7,NA,NA,6.77824733380102,1000221264.71996,3
B5,A3,Rep3,Plate1,D04_OR_R1,D04,OR,R1,1-1-1,D04_OR_R1_Rep3,B5 Well,false,Sample,16S,Unknown,SYBR,14.2735951069479,0.859668037304193,3.3731600584724,Amp,false,3,7,NA,NA,7.07385832527376,1975636653.35148,3
B7,A4,Rep3,Plate1,PCO_B2_R1,PCO,B2,R1,1-2-1,PCO_B2_R1_Rep3,B7 Well,false,Sample,16S,Unknown,SYBR,17.1454372521887,0.9241237712513238,3.35699570743341,Amp,false,3,8,NA,NA,6.09370742246118,206802684.525824,7
B9,A5,Rep3,Plate1,D03_ZR_R1,D03,ZR,R1,1-1-11,D03_ZR_R1_Rep3,B9 Well,false,Sample,16S,Unknown,SYBR,17.6316743934268,0.8629466287211225,NA,Amp,false,3,9,NA,NA,5.92775617971782,141125316.634272,6
C1,B1,Rep1,Plate1,D01_NF_R1,D01,NF,R1,1-4-13,D01_NF_R1_Rep1,C1 Well,false,Sample,16S,Unknown,SYBR,11.3086959395806,0.9051393822364066,3.41244111380406,Amp,false,3,5,NA,NA,8.08576930389741,20305704112.7012,1
C10,B5,Rep2,Plate1,D07_NF_R1,D07,NF,R1,1-2-5,D07_NF_R1_Rep2,C10 Well,false,Sample,16S,Unknown,SYBR,12.1225626658665,0.7318845373909058,3.45908975405108,Amp,false,3,6,NA,NA,7.80799909014794,10711439514.668,1
C11,B6,Rep1,Plate1,D06_ZH_R1,D06,ZH,R1,1-2-17,D06_ZH_R1_Rep1,C11 Well,false,Sample,16S,Unknown,SYBR,17.281014296798,0.8931263439974861,3.45479710776269,Amp,false,3,8,NA,NA,6.04743539358431,185902034.719024,7
C12,B6,Rep2,Plate1,D06_ZH_R1,D06,ZH,R1,1-2-17,D06_ZH_R1_Rep2,C12 Well,false,Sample,16S,Unknown,SYBR,17.4269714006297,0.8947931178514128,3.45608597648157,Amp,false,3,8,NA,NA,5.99762068237894,165756066.461956,7
C13,B7,Rep1,Plate1,D08_ZF_R1,D08,ZF,R1,1-3-19,D08_ZF_R1_Rep1,C13 Well,false,Sample,16S,Unknown,SYBR,14.5446741606712,0.7633282295860371,3.47337519810909,Inconclusive,false,3,7,NA,NA,6.98133987690403,1596572433.76104,5
C14,B7,Rep2,Plate1,D08_ZF_R1,D08,ZF,R1,1-3-19,D08_ZF_R1_Rep2,C14 Well,false,Sample,16S,Unknown,SYBR,14.4928916175459,0.7805678768665291,3.4659691772752,Amp,false,3,7,NA,NA,6.9990130998137,1662883597.23032,5
C17,B9,Rep1,Plate1,D10_NF_R1,D10,NF,R1,1-1-4,D10_NF_R1_Rep1,C17 Well,false,Sample,16S,Unknown,SYBR,11.9818829467435,0.7630093172282464,3.47480165985642,Amp,false,3,6,NA,NA,7.85601264616262,11963586548.8522,1
C18,B9,Rep2,Plate1,D10_NF_R1,D10,NF,R1,1-1-4,D10_NF_R1_Rep2,C18 Well,false,Sample,16S,Unknown,SYBR,11.9923895156091,0.941640157721798,3.49853808625898,Amp,false,3,6,NA,NA,7.85242678648154,11865212922.8887,1
C19,B10,Rep1,Plate1,D09_OR_R1,D09,OR,R1,1-2-11,D09_OR_R1_Rep1,C19 Well,false,Sample,16S,Unknown,SYBR,12.0643721209103,0.7989282455715141,NA,Inconclusive,false,3,6,NA,NA,7.82785934439921,11212645560.3924,3
