Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
A1,A1,Rep1,Plate1,D07_ZF_R1,1-2-4,D07_ZF_R1_Rep1,A1 Well,false,Sample,16S,Unknown,SYBR,14.619110472720138,0.8680424045600951,3.46656324569015,Amp,false,3,8,NA,NA
A10,A5,Rep2,Plate1,D03_ZR_R1,1-1-11,D03_ZR_R1_Rep2,A10 Well,false,Sample,16S,Unknown,SYBR,17.760245063604835,0.8542301763634644,NA,Amp,false,3,9,NA,NA
A11,A6,Rep1,Plate1,D03_OH_R1,1-1-5,D03_OH_R1_Rep1,A11 Well,false,Sample,16S,Unknown,SYBR,12.668732113339374,0.9144494426646309,3.48047473715609,Amp,false,3,6,NA,NA
A12,A6,Rep2,Plate1,D03_OH_R1,1-1-5,D03_OH_R1_Rep2,A12 Well,false,Sample,16S,Unknown,SYBR,12.731240327590704,0.9263513825526185,3.4877442349512,Amp,false,3,7,NA,NA
A13,A7,Rep1,Plate1,D03_ZF_R1,1-2-2,D03_ZF_R1_Rep1,A13 Well,false,Sample,16S,Unknown,SYBR,16.58103790159624,0.863069262024262,3.4697107502002,Amp,false,3,8,NA,NA
A14,A7,Rep2,Plate1,D03_ZF_R1,1-2-2,D03_ZF_R1_Rep2,A14 Well,false,Sample,16S,Unknown,SYBR,16.639465947878833,0.8619162606058095,3.46672545897964,Amp,false,3,8,NA,NA
A15,A8,Rep1,Plate1,PCO_B4_R1,1-4-18,PCO_B4_R1_Rep1,A15 Well,false,Sample,16S,Unknown,SYBR,15.25136136085571,0.9242645560785303,3.50203056381454,Amp,false,3,7,NA,NA
A16,A8,Rep2,Plate1,PCO_B4_R1,1-4-18,PCO_B4_R1_Rep2,A16 Well,false,Sample,16S,Unknown,SYBR,15.256218316041583,0.9271625203747854,3.48352106791323,Amp,false,3,7,NA,NA
A17,A9,Rep1,Plate1,standardB_10,000,NA,standardB_10,000_Rep1,A17 Well,false,Sample,16S,Unknown,SYBR,13.484610524291856,0.9868427158619442,3.45080246616837,Amp,false,3,6,NA,NA
A18,A9,Rep2,Plate1,standardB_10,000,NA,standardB_10,000_Rep2,A18 Well,false,Sample,16S,Unknown,SYBR,13.74198765940227,0.9792364279335587,3.48280828817017,Amp,false,3,7,NA,NA
A19,A10,Rep1,Plate1,D03_NF_R1,1-2-10,D03_NF_R1_Rep1,A19 Well,false,Sample,16S,Unknown,SYBR,13.090283107687121,0.8923165578366019,3.46731015717298,Amp,false,3,6,NA,NA
A2,A1,Rep2,Plate1,D07_ZF_R1,1-2-4,D07_ZF_R1_Rep2,A2 Well,false,Sample,16S,Unknown,SYBR,15.423251362988424,0.9826165272339662,3.39233775778405,Amp,false,3,7,NA,NA
A20,A10,Rep2,Plate1,D03_NF_R1,1-2-10,D03_NF_R1_Rep2,A20 Well,false,Sample,16S,Unknown,SYBR,13.125048907311108,0.8993483375351231,3.46624672477083,Amp,false,3,6,NA,NA
A21,A11,Rep1,Plate1,standardF_10,000,NA,standardF_10,000_Rep1,A21 Well,false,Sample,16S,Unknown,SYBR,11.991683811289377,0.9920803180373124,3.45439649532788,Amp,false,3,6,NA,NA
A22,A11,Rep2,Plate1,standardF_10,000,NA,standardF_10,000_Rep2,A22 Well,false,Sample,16S,Unknown,SYBR,11.950219236117153,0.9917106856943054,3.47294861351086,Amp,false,3,6,NA,NA
A23,A12,Rep1,Plate1,D02_ZH_R1,1-2-7,D02_ZH_R1_Rep1,A23 Well,false,Sample,16S,Unknown,SYBR,16.362189494034254,0.8765384859389309,3.48926222987913,Amp,false,3,9,NA,NA
A24,A12,Rep2,Plate1,D02_ZH_R1,1-2-7,D02_ZH_R1_Rep2,A24 Well,false,Sample,16S,Unknown,SYBR,16.34299898079486,0.8615792609577967,3.48625508097876,Amp,false,3,8,NA,NA
A3,A2,Rep1,Plate1,D03_OR_R1,1-4-17,D03_OR_R1_Rep1,A3 Well,false,Sample,16S,Unknown,SYBR,14.974712603053238,0.9168632004850257,3.40379416536238,Amp,false,3,8,NA,NA
A4,A2,Rep2,Plate1,D03_OR_R1,1-4-17,D03_OR_R1_Rep2,A4 Well,false,Sample,16S,Unknown,SYBR,15.007614261648566,0.9054078479144416,3.40162008515022,Amp,false,3,7,NA,NA
A5,A3,Rep1,Plate1,D04_OR_R1,1-1-1,D04_OR_R1_Rep1,A5 Well,false,Sample,16S,Unknown,SYBR,14.152471374418226,0.8801184642956777,3.37837746675865,Amp,false,3,7,NA,NA
A6,A3,Rep2,Plate1,D04_OR_R1,1-1-1,D04_OR_R1_Rep2,A6 Well,false,Sample,16S,Unknown,SYBR,14.175855997928696,0.9368143454810085,3.38312339720355,Amp,false,3,7,NA,NA
A7,A4,Rep1,Plate1,PCO_B2_R1,1-2-1,PCO_B2_R1_Rep1,A7 Well,false,Sample,16S,Unknown,SYBR,16.98327740777301,0.926708860303159,3.41218604066832,Amp,false,3,8,NA,NA
A8,A4,Rep2,Plate1,PCO_B2_R1,1-2-1,PCO_B2_R1_Rep2,A8 Well,false,Sample,16S,Unknown,SYBR,17.276756144466013,0.9825793299215593,3.36462860461488,Amp,false,3,8,NA,NA
A9,A5,Rep1,Plate1,D03_ZR_R1,1-1-11,D03_ZR_R1_Rep1,A9 Well,false,Sample,16S,Unknown,SYBR,18.529429426149143,0.9834774362508181,NA,Amp,false,3,9,NA,NA
B1,A1,Rep3,Plate1,D07_ZF_R1,1-2-4,D07_ZF_R1_Rep3,B1 Well,false,Sample,16S,Unknown,SYBR,14.84583538762336,0.8590702199135365,3.45935317495815,Amp,false,3,7,NA,NA
B10,A5,Rep4,Plate1,D03_ZR_R1,1-1-11,D03_ZR_R1_Rep4,B10 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B11,A6,Rep3,Plate1,D03_OH_R1,1-1-5,D03_OH_R1_Rep3,B11 Well,false,Sample,16S,Unknown,SYBR,12.874445989629102,0.9257773983883096,3.468816459843,Amp,false,3,6,NA,NA
B12,A6,Rep4,Plate1,D03_OH_R1,1-1-5,D03_OH_R1_Rep4,B12 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B13,A7,Rep3,Plate1,D03_ZF_R1,1-2-2,D03_ZF_R1_Rep3,B13 Well,false,Sample,16S,Unknown,SYBR,16.949714649535117,0.8702602902207532,3.45060742059049,Amp,false,3,8,NA,NA
B14,A7,Rep4,Plate1,D03_ZF_R1,1-2-2,D03_ZF_R1_Rep4,B14 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B15,A8,Rep3,Plate1,PCO_B4_R1,1-4-18,PCO_B4_R1_Rep3,B15 Well,false,Sample,16S,Unknown,SYBR,15.384738772981873,0.9430631531405659,3.47956947722313,Amp,false,3,7,NA,NA
B16,A8,Rep4,Plate1,PCO_B4_R1,1-4-18,PCO_B4_R1_Rep4,B16 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B17,A9,Rep3,Plate1,standardB_10,000,NA,standardB_10,000_Rep3,B17 Well,false,Sample,16S,Unknown,SYBR,13.726160384457163,0.99218563707638,3.48026983705083,Amp,false,3,7,NA,NA
B18,A9,Rep4,Plate1,standardB_10,000,NA,standardB_10,000_Rep4,B18 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B19,A10,Rep3,Plate1,D03_NF_R1,1-2-10,D03_NF_R1_Rep3,B19 Well,false,Sample,16S,Unknown,SYBR,12.75155441999551,0.8086758274937503,3.50251652739802,Amp,false,3,6,NA,NA
