Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
A1,A1,Rep1,Plate2,D09_NF_R2,D09,NF,R2,2/3/08,D09_NF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,10.42934729,0.969722867,3.506459339,Amp,FALSE,3,5,NA,NA,8.19623013621263,26186586216.6711,1
A10,A5,Rep2,Plate2,PCO_B1_R2,PCO,B1,R2,2/1/05,PCO_B1_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,13.5337035,0.964326111,3.485836607,Amp,FALSE,3,7,NA,NA,7.16488255813954,2436303043.57031,7
A13,A7,Rep1,Plate2,water_2,water,2,NA,NA,water_2_Rep1,FALSE,Sample,16S,Unknown,SYBR,25.96150922,0.90370852,3.479862708,Amp,FALSE,3,14,NA,NA,3.03604344850498,181089.05321479,7
A14,A7,Rep2,Plate2,water_2,water,2,NA,NA,water_2_Rep2,FALSE,Sample,16S,Unknown,SYBR,23.53644584,0.910236849,3.449736108,Amp,FALSE,3,12,NA,NA,3.84171234551495,1157606.8689972,7
A15,A8,Rep1,Plate2,D08_OF_R2,D08,OF,R2,2/1/08,D08_OF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,9.832895862,0.94566268,3.50397863,Amp,FALSE,3,5,NA,NA,8.39438675681063,41327154748.2603,2
A16,A8,Rep2,Plate2,D08_OF_R2,D08,OF,R2,2/1/08,D08_OF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,10.08271065,0.940828618,3.486170407,Amp,FALSE,3,5,NA,NA,8.31139181063123,34138195428.927,2
A17,A9,Rep1,Plate2,NCO_B2_R2,NCO,B2,R2,2/2/10,NCO_B2_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,24.95596167,0.879657064,3.476329009,Amp,FALSE,3,13,NA,NA,3.37011240199336,390805.935963954,7
A18,A9,Rep2,Plate2,NCO_B2_R2,NCO,B2,R2,2/2/10,NCO_B2_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,25.34475069,0.875076493,3.481930849,Amp,FALSE,3,13,NA,NA,3.24094661461794,290265.462668704,7
A19,A10,Rep1,Plate2,D01_ZR_R2,D01,ZR,R2,2/4/13,D01_ZR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,19.48300344,0.857830198,3.482314194,Amp,FALSE,3,12,NA,NA,5.18837095016611,25716964.1697066,6
A2,A1,Rep2,Plate2,D09_NF_R2,D09,NF,R2,2/3/08,D09_NF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,11.13515618,0.982084234,3.407474298,Amp,FALSE,3,6,NA,NA,7.96174213289037,15261277260.6263,1
A20,A10,Rep2,Plate2,D01_ZR_R2,D01,ZR,R2,2/4/13,D01_ZR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,18.60180137,0.892049529,NA,Amp,FALSE,3,10,NA,NA,5.48112911295681,50463557.396287,6
A21,A11,Rep1,Plate2,D07_ZR_R2,D07,ZR,R2,2/2/03,D07_ZR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,18.62184918,0.857936072,NA,Amp,FALSE,3,10,NA,NA,5.47446871096346,49695545.3209675,6
A23,A12,Rep1,Plate2,D10_ZR_R2,D10,ZR,R2,2/1/04,D10_ZR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,17.26359774,0.89692901,3.509764991,Amp,FALSE,3,9,NA,NA,5.92571503654485,140463597.161736,6
A24,A12,Rep2,Plate2,D10_ZR_R2,D10,ZR,R2,2/1/04,D10_ZR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,16.94061248,0.884660856,3.510002624,Amp,FALSE,3,9,NA,NA,6.03301910963455,179832366.435483,6
A3,A2,Rep1,Plate2,D01_OF_R2,D01,OF,R2,2/2/09,D01_OF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,12.26901675,0.905115769,3.406236237,Amp,FALSE,3,6,NA,NA,7.58504426910299,6410516446.37371,2
A4,A2,Rep2,Plate2,D01_OF_R2,D01,OF,R2,2/2/09,D01_OF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,12.21046036,0.91479189,3.411017724,Amp,FALSE,3,6,NA,NA,7.6044982192691,6704200110.79446,2
A7,A4,Rep1,Plate2,D03_OR_R2,D03,OR,R2,2/2/01,D03_OR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,17.14782626,0.918163657,NA,Amp,FALSE,3,9,NA,NA,5.96417732225914,153470911.278382,3
A8,A4,Rep2,Plate2,D03_OR_R2,D03,OR,R2,2/2/01,D03_OR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,17.57357565,0.989953675,NA,Amp,FALSE,3,9,NA,NA,5.82273234219269,110810545.238486,3
A9,A5,Rep1,Plate2,PCO_B1_R2,PCO,B1,R2,2/1/05,PCO_B1_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,14.20802292,0.988031127,3.377718599,Amp,FALSE,3,7,NA,NA,6.94085617275748,1454470517.38254,7
B1,A1,Rep3,Plate2,D09_NF_R2,D09,NF,R2,2/3/08,D09_NF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,10.83799485,0.977342483,3.472946966,Amp,FALSE,3,6,NA,NA,8.06046682724253,19156474103.6292,1
B13,A7,Rep3,Plate2,water_2,water,2,NA,NA,water_2_Rep3,FALSE,Sample,16S,Unknown,SYBR,25.79237003,0.913494621,3.454407438,Amp,FALSE,3,13,NA,NA,3.09223587043189,206103.145553836,7
B15,A8,Rep3,Plate2,D08_OF_R2,D08,OF,R2,2/1/08,D08_OF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,10.11533263,0.778866531,3.483377895,Amp,FALSE,3,5,NA,NA,8.3005539435216,33296814999.5678,2
B17,A9,Rep3,Plate2,NCO_B2_R2,NCO,B2,R2,2/2/10,NCO_B2_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,25.91461431,0.894200312,3.489381921,Amp,FALSE,3,14,NA,NA,3.05162315282392,187703.297600253,7
B19,A10,Rep3,Plate2,D01_ZR_R2,D01,ZR,R2,2/4/13,D01_ZR_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,19.33725808,0.863396693,NA,Amp,FALSE,3,11,NA,NA,5.23679133554817,28750148.0312576,6
B3,A2,Rep3,Plate2,D01_OF_R2,D01,OF,R2,2/2/09,D01_OF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,12.46090422,0.917286788,3.395839124,Amp,FALSE,3,6,NA,NA,7.52129427906977,5535323771.84696,2
B7,A4,Rep3,Plate2,D03_OR_R2,D03,OR,R2,2/2/01,D03_OR_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,17.38184685,0.893456863,3.416207589,Amp,FALSE,3,9,NA,NA,5.8864296179402,128315277.513026,3
B9,A5,Rep3,Plate2,PCO_B1_R2,PCO,B1,R2,2/1/05,PCO_B1_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,13.6460217,0.96327681,3.474259455,Amp,FALSE,3,7,NA,NA,7.12756754152824,2235714230.50996,7
C1,B1,Rep1,Plate2,D09_OF_R2,D09,OF,R2,2/2/18,D09_OF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,16.37649201,0.970476467,3.442807963,Amp,FALSE,3,9,NA,NA,6.22043454817276,276874715.80406,2
C10,B5,Rep2,Plate2,D05_NF_R2,D05,NF,R2,2/3/15,D05_NF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,13.49830354,0.91325751,3.483344593,Amp,FALSE,3,7,NA,NA,7.17664334219269,2503180066.85494,1
C13,B7,Rep1,Plate2,D05_OH_R2,D05,OH,R2,2/3/16,D05_OH_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,12.88599925,0.762982679,3.463688595,Amp,FALSE,3,6,NA,NA,7.38006669435216,3998668891.15013,4
C14,B7,Rep2,Plate2,D05_OH_R2,D05,OH,R2,2/3/16,D05_OH_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,12.58893759,0.900407328,3.483156077,Amp,FALSE,3,6,NA,NA,7.47875827574751,5018882466.31848,4
C15,B8,Rep1,Plate2,D01_NF_R2,D01,NF,R2,2/3/13,D01_NF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,11.80432579,0.923885376,3.486501453,Amp,FALSE,3,6,NA,NA,7.73942664784053,9146930883.44298,1
C16,B8,Rep2,Plate2,D01_NF_R2,D01,NF,R2,2/3/13,D01_NF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,11.65325675,0.920580378,3.503875435,Amp,FALSE,3,6,NA,NA,7.78961569767442,10267493753.0149,1
C17,B9,Rep1,Plate2,D10_ZF_R2,D10,ZF,R2,2/2/06,D10_ZF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,16.56657292,0.917545845,3.51477729,Amp,FALSE,3,9,NA,NA,6.15728474418605,239405152.888698,5
C18,B9,Rep2,Plate2,D10_ZF_R2,D10,ZF,R2,2/2/06,D10_ZF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,16.88146137,0.930466467,3.509338695,Amp,FALSE,3,9,NA,NA,6.05267064119601,188156571.436203,5
C19,B10,Rep1,Plate2,D01_OR_R2,D01,OR,R2,2/4/20,D01_OR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,13.03262321,0.898331546,3.511530139,Inconclusive,FALSE,3,7,NA,NA,7.33135441528239,3574400110.80727,3
C2,B1,Rep2,Plate2,D09_OF_R2,D09,OF,R2,2/2/18,D09_OF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,18.39611439,0.975967982,3.187812274,Amp,FALSE,3,10,NA,NA,5.54946365780731,59062579.0915425,2
C20,B10,Rep2,Plate2,D01_OR_R2,D01,OR,R2,2/4/20,D01_OR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,12.58856532,0.905707859,3.506008618,Amp,FALSE,3,7,NA,NA,7.47888195348837,5020311939.78359,3
