Well96,PCR_Replicate,Well384,Plate,SampleName,SampleCode,SampleNameFull
A1,Rep1,A1,Plate2,D09_NF_R2,2-3-8,D09_NF_R2_Rep1
A1,Rep2,A2,Plate2,D09_NF_R2,2-3-8,D09_NF_R2_Rep2
A1,Rep3,B1,Plate2,D09_NF_R2,2-3-8,D09_NF_R2_Rep3
A1,Rep4,B2,Plate2,D09_NF_R2,2-3-8,D09_NF_R2_Rep4
B1,Rep1,C1,Plate2,D09_OF_R2,2-2-18,D09_OF_R2_Rep1
B1,Rep2,C2,Plate2,D09_OF_R2,2-2-18,D09_OF_R2_Rep2
B1,Rep3,D1,Plate2,D09_OF_R2,2-2-18,D09_OF_R2_Rep3
B1,Rep4,D2,Plate2,D09_OF_R2,2-2-18,D09_OF_R2_Rep4
C1,Rep1,E1,Plate2,"standardF_100,000",NA,"standardF_100,000_Rep1"
C1,Rep2,E2,Plate2,"standardF_100,000",NA,"standardF_100,000_Rep2"
C1,Rep3,F1,Plate2,"standardF_100,000",NA,"standardF_100,000_Rep3"
C1,Rep4,F2,Plate2,"standardF_100,000",NA,"standardF_100,000_Rep4"
D1,Rep1,G1,Plate2,D02_ZF_R2,2-2-7,D02_ZF_R2_Rep1
D1,Rep2,G2,Plate2,D02_ZF_R2,2-2-7,D02_ZF_R2_Rep2
D1,Rep3,H1,Plate2,D02_ZF_R2,2-2-7,D02_ZF_R2_Rep3
D1,Rep4,H2,Plate2,D02_ZF_R2,2-2-7,D02_ZF_R2_Rep4
E1,Rep1,I1,Plate2,"standardB_1,000",NA,"standardB_1,000_Rep1"
E1,Rep2,I2,Plate2,"standardB_1,000",NA,"standardB_1,000_Rep2"
E1,Rep3,J1,Plate2,"standardB_1,000",NA,"standardB_1,000_Rep3"
E1,Rep4,J2,Plate2,"standardB_1,000",NA,"standardB_1,000_Rep4"
F1,Rep1,K1,Plate2,D06_ZF_R2,2-2-4,D06_ZF_R2_Rep1
F1,Rep2,K2,Plate2,D06_ZF_R2,2-2-4,D06_ZF_R2_Rep2
F1,Rep3,L1,Plate2,D06_ZF_R2,2-2-4,D06_ZF_R2_Rep3
F1,Rep4,L2,Plate2,D06_ZF_R2,2-2-4,D06_ZF_R2_Rep4
G1,Rep1,M1,Plate2,"standardB_100,000",NA,"standardB_100,000_Rep1"
