Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
A1,A1,Rep1,Plate3,D07_OF_R3,3-1-14,D07_OF_R3_Rep1,false,Sample,16S,Unknown,SYBR,13.324522886010133,0.920272592239945,3.48772700260777,Amp,false,3,7,NA,NA
A10,A5,Rep2,Plate3,D04_ZF_R3,3-1-10,D04_ZF_R3_Rep2,false,Sample,16S,Unknown,SYBR,15.185452510040601,0.857660580575703,NA,Amp,false,3,8,NA,NA
A11,A6,Rep1,Plate3,NCO_B4_R3,3-4-9,NCO_B4_R3_Rep1,false,Sample,16S,Unknown,SYBR,22.585730877887244,0.8907839601484,3.46645656933516,Amp,false,3,12,NA,NA
A12,A6,Rep2,Plate3,NCO_B4_R3,3-4-9,NCO_B4_R3_Rep2,false,Sample,16S,Unknown,SYBR,24.259528567946447,0.911363835364256,3.47524790230225,Amp,false,3,13,NA,NA
A13,A7,Rep1,Plate3,D03_OF_R3,3-1-4,D03_OF_R3_Rep1,false,Sample,16S,Unknown,SYBR,23.691410561478428,0.933349733391932,3.46649195657823,Amp,false,3,13,NA,NA
A14,A7,Rep2,Plate3,D03_OF_R3,3-1-4,D03_OF_R3_Rep2,false,Sample,16S,Unknown,SYBR,24.198553554162274,0.923020441800018,3.45661235956968,Amp,false,3,13,NA,NA
A15,A8,Rep1,Plate3,D02_OR_R3,3-4-4,D02_OR_R3_Rep1,false,Sample,16S,Unknown,SYBR,11.476970707409006,0.924992173926223,3.50433966906657,Amp,false,3,6,NA,NA
A16,A8,Rep2,Plate3,D02_OR_R3,3-4-4,D02_OR_R3_Rep2,false,Sample,16S,Unknown,SYBR,11.65084281920128,0.925418947233212,3.47813764273936,Amp,false,3,6,NA,NA
A17,A9,Rep1,Plate3,PCO_B4_R3,3-4-10,PCO_B4_R3_Rep1,false,Sample,16S,Unknown,SYBR,13.708808358453364,0.952543967888972,3.47714413842029,Amp,false,3,8,NA,NA
A18,A9,Rep2,Plate3,PCO_B4_R3,3-4-10,PCO_B4_R3_Rep2,false,Sample,16S,Unknown,SYBR,13.46425877571697,0.955163196611975,3.48851529075761,Amp,false,3,8,NA,NA
