Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Curve Quality,Result Quality Issues
A1,false,Sample,16S,Unknown,SYBR,11.845752161845592,0.9118494505077901,3.5103870092311835,Amp,false,3,6,,
A2,false,Sample,16S,Unknown,SYBR,12.59105929953822,0.9881788579688618,3.4072731351453305,Amp,false,3,6,,
A3,false,Sample,16S,Unknown,SYBR,16.69748807296279,0.9850774223112343,3.419676714544975,Amp,false,3,9,,
A4,false,Sample,16S,Unknown,SYBR,16.213276027162458,0.9481222033292,3.4338043568618932,Amp,false,3,8,,
A5,false,Sample,16S,Unknown,SYBR,19.25414818525141,0.9848307880837881,,Amp,false,3,10,,
A6,false,Sample,16S,Unknown,SYBR,18.50505583690419,0.9904329642753105,,Amp,false,3,10,,
A7,false,Sample,16S,Unknown,SYBR,20.958925995131267,0.9261611274206775,,Amp,false,3,12,,
A8,false,Sample,16S,Unknown,SYBR,21.351924132718487,0.9877100853403102,3.3901812158842906,Amp,false,3,12,,
A9,false,Sample,16S,Unknown,SYBR,23.870135738568486,0.9883318117035587,3.3995028517201438,Amp,false,3,12,,
A10,false,Sample,16S,Unknown,SYBR,22.7263615643691,0.8909411755531667,3.5039767962441197,Amp,false,3,14,,
A11,false,Sample,16S,Unknown,SYBR,24.81012997506229,0.9062141816617019,3.4993227048977897,Amp,false,3,13,,
A12,false,Sample,16S,Unknown,SYBR,25.19789664652437,0.8912169294154839,3.4890553773907165,Amp,false,3,13,,
A13,false,Sample,16S,Unknown,SYBR,26.19921393623425,0.9076888637281223,3.4901466826331373,Amp,false,3,14,,
A14,false,Sample,16S,Unknown,SYBR,26.453171373590294,0.9178391523783804,3.4855839672483184,Amp,false,3,15,,
A15,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A16,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A17,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A18,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A19,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A20,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A21,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A22,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A23,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
A24,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B1,false,Sample,16S,Unknown,SYBR,12.1549729749783,0.9155745744958084,3.4798754777088337,Amp,false,3,6,,
B2,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B3,false,Sample,16S,Unknown,SYBR,15.377586689625442,0.9225447857010965,3.4376466586543875,Amp,false,3,7,,
B4,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B5,false,Sample,16S,Unknown,SYBR,17.69982150950537,0.9039432189924091,,Amp,false,3,10,,
B6,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B7,false,Sample,16S,Unknown,SYBR,20.760002984532207,0.9486732419780362,3.4247796311789482,Amp,false,3,11,,
B8,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B9,false,Sample,16S,Unknown,SYBR,22.8752751844886,0.8994305365300026,3.5132507695155164,Amp,false,3,12,,
B10,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B11,false,Sample,16S,Unknown,SYBR,25.009470806690658,0.90063015808994,3.4912720597328923,Amp,false,3,14,,
B12,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B13,false,Sample,16S,Unknown,SYBR,26.354178686298134,0.9298605635051573,3.5052827389578036,Amp,false,3,13,,
B14,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B15,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B16,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B17,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B18,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B19,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B20,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B21,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B22,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B23,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
B24,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
C1,false,Sample,16S,Unknown,SYBR,10.08730093372052,0.9071537818066214,3.450533558373392,Amp,false,3,5,,
C2,false,Sample,16S,Unknown,SYBR,11.17673975745865,0.9785478817805181,3.289366524344868,Amp,false,3,5,,
C3,false,Sample,16S,Unknown,SYBR,17.430909967833408,0.9761599460704132,3.292327069541644,Amp,false,3,9,,
C4,false,Sample,16S,Unknown,SYBR,16.987951651087933,0.878980847313753,3.4232154603707423,Amp,false,3,9,,
C5,false,Sample,16S,Unknown,SYBR,21.259941325354845,0.9308378271295114,3.4028902554191114,Amp,false,3,11,,
C6,false,Sample,16S,Unknown,SYBR,20.855643650043056,0.9902696830297255,3.4136858886744315,Amp,false,3,11,,
C7,false,Sample,16S,Unknown,SYBR,23.216834770797078,0.9802325666014251,3.4240351274821017,Amp,false,3,11,,
C8,false,Sample,16S,Unknown,SYBR,23.30537893888762,0.9581471225194366,3.4309569396693393,Amp,false,3,11,,
C9,false,Sample,16S,Unknown,SYBR,24.355949543213903,0.898014711116074,3.482411675940383,Amp,false,3,13,,
C10,false,Sample,16S,Unknown,SYBR,24.337890923286736,0.7028783775713956,3.50802851096341,Amp,false,3,13,,
C11,false,Sample,16S,Unknown,SYBR,24.986176356775637,0.923173298328775,3.4947090115604946,Amp,false,3,13,,
C12,false,Sample,16S,Unknown,SYBR,24.853222348489822,0.9196924757351164,3.486978201747695,Amp,false,3,13,,
C13,false,Sample,16S,Unknown,SYBR,25.548790939196884,0.9012539862646912,3.4941617098997386,Amp,false,3,13,,
C14,false,Sample,16S,Unknown,SYBR,25.81874572957279,0.9086264735586098,3.507038136397678,Amp,false,3,13,,
C15,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
C16,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
C17,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
C18,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
C19,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
C20,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,,N/A,false,0,0,,
