Well96	PCR_Replicate	Well384	Plate	SampleName	SampleNameFull
A1	Rep1	A1	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep1
A1	Rep2	A2	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep2
A1	Rep3	B1	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep3
A1	Rep4	B2	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep4
B1	Rep1	C1	Plate 4	D03_ZF_R3_10	D03_ZF_R3_10_Rep1
B1	Rep2	C2	Plate 4	D03_ZF_R3_10	D03_ZF_R3_10_Rep2
B1	Rep3	D1	Plate 4	D03_ZF_R3_10	D03_ZF_R3_10_Rep3
B1	Rep4	D2	Plate 4	D03_ZF_R3_10	D03_ZF_R3_10_Rep4
C1	Rep1	E1	Plate 4	D05_ZH_R3_10	D05_ZH_R3_10_Rep1
C1	Rep2	E2	Plate 4	D05_ZH_R3_10	D05_ZH_R3_10_Rep2
C1	Rep3	F1	Plate 4	D05_ZH_R3_10	D05_ZH_R3_10_Rep3
C1	Rep4	F2	Plate 4	D05_ZH_R3_10	D05_ZH_R3_10_Rep4
D1	Rep1	G1	Plate 4	D07_NF_R3_10	D07_NF_R3_10_Rep1
D1	Rep2	G2	Plate 4	D07_NF_R3_10	D07_NF_R3_10_Rep2
D1	Rep3	H1	Plate 4	D07_NF_R3_10	D07_NF_R3_10_Rep3
D1	Rep4	H2	Plate 4	D07_NF_R3_10	D07_NF_R3_10_Rep4
E1	Rep1	I1	Plate 4	D09_ZH_R1_10	D09_ZH_R1_10_Rep1
E1	Rep2	I2	Plate 4	D09_ZH_R1_10	D09_ZH_R1_10_Rep2
E1	Rep3	J1	Plate 4	D09_ZH_R1_10	D09_ZH_R1_10_Rep3
E1	Rep4	J2	Plate 4	D09_ZH_R1_10	D09_ZH_R1_10_Rep4
F1	Rep1	K1	Plate 4	D09_ZR_R1_10	D09_ZR_R1_10_Rep1
F1	Rep2	K2	Plate 4	D09_ZR_R1_10	D09_ZR_R1_10_Rep2
F1	Rep3	L1	Plate 4	D09_ZR_R1_10	D09_ZR_R1_10_Rep3
F1	Rep4	L2	Plate 4	D09_ZR_R1_10	D09_ZR_R1_10_Rep4
G1	Rep1	M1	Plate 4	standardB_1,000	standardB_1,000_Rep1
G1	Rep2	M2	Plate 4	standardB_1,000	standardB_1,000_Rep2
G1	Rep3	N1	Plate 4	standardB_1,000	standardB_1,000_Rep3
G1	Rep4	N2	Plate 4	standardB_1,000	standardB_1,000_Rep4
H1	Rep1	O1	Plate 4	standardF_1,000	standardF_1,000_Rep1
H1	Rep2	O2	Plate 4	standardF_1,000	standardF_1,000_Rep2
H1	Rep3	P1	Plate 4	standardF_1,000	standardF_1,000_Rep3
H1	Rep4	P2	Plate 4	standardF_1,000	standardF_1,000_Rep4
A2	Rep1	A3	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep1
A2	Rep2	A4	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep2
A2	Rep3	B3	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep3
A2	Rep4	B4	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep4
B2	Rep1	C3	Plate 4	D03_ZF_R3_100	D03_ZF_R3_100_Rep1
B2	Rep2	C4	Plate 4	D03_ZF_R3_100	D03_ZF_R3_100_Rep2
B2	Rep3	D3	Plate 4	D03_ZF_R3_100	D03_ZF_R3_100_Rep3
B2	Rep4	D4	Plate 4	D03_ZF_R3_100	D03_ZF_R3_100_Rep4
C2	Rep1	E3	Plate 4	D05_ZH_R3_100	D05_ZH_R3_100_Rep1
C2	Rep2	E4	Plate 4	D05_ZH_R3_100	D05_ZH_R3_100_Rep2
C2	Rep3	F3	Plate 4	D05_ZH_R3_100	D05_ZH_R3_100_Rep3
C2	Rep4	F4	Plate 4	D05_ZH_R3_100	D05_ZH_R3_100_Rep4
D2	Rep1	G3	Plate 4	D07_NF_R3_100	D07_NF_R3_100_Rep1
D2	Rep2	G4	Plate 4	D07_NF_R3_100	D07_NF_R3_100_Rep2
