Well	Well96	PCR_Replicate	Plate	SampleName	Sample	DilutionFactor	SampleNameFull	Omit	Target	Task	Dyes	Cq	Cq.Conf	Amp.Score	Amp.Status	Annotated	Baseline.Start	Baseline.End	Curve.Quality	Result.Quality.Issues	logCopyNumber	CopyNumber
A5	A3	Rep1	Plate 4	D01_ZH_R1_1,000	D01_ZH_R1	1000	D01_ZH_R1_1,000_Rep1	false	16S	Unknown	SYBR	19.2541481852514	0.9848307880837881	NA	Amp	false	3	10	NA	NA	4.187368150579	2565765.13963068
A6	A3	Rep2	Plate 4	D01_ZH_R1_1,000	D01_ZH_R1	1000	D01_ZH_R1_1,000_Rep2	false	16S	Unknown	SYBR	18.5050558369042	0.9904329642753105	NA	Amp	false	3	10	NA	NA	4.43541197453504	4542142.17571887
B5	A3	Rep3	Plate 4	D01_ZH_R1_1,000	D01_ZH_R1	1000	D01_ZH_R1_1,000_Rep3	false	16S	Unknown	SYBR	17.6998215095054	0.9039432189924091	NA	Amp	false	3	10	NA	NA	4.70204585777968	8392562.94915286
C5	B3	Rep1	Plate 4	D03_ZF_R3_1,000	D03_ZF_R3	1000	D03_ZF_R3_1,000_Rep1	false	16S	Unknown	SYBR	21.2599413253548	0.9308378271295114	3.40289025541911	Amp	false	3	11	NA	NA	3.52319823663747	555964.403720855
C6	B3	Rep2	Plate 4	D03_ZF_R3_1,000	D03_ZF_R3	1000	D03_ZF_R3_1,000_Rep2	false	16S	Unknown	SYBR	20.8556436500431	0.9902696830297255	3.41368588867443	Amp	false	3	11	NA	NA	3.65707163905859	756694.171297859
D5	B3	Rep3	Plate 4	D03_ZF_R3_1,000	D03_ZF_R3	1000	D03_ZF_R3_1,000_Rep3	false	16S	Unknown	SYBR	19.7752426919103	0.896931846012216	3.47677449544915	Amp	false	3	10	NA	NA	4.01482030069196	1724523.23575605
E3	C2	Rep1	Plate 4	D05_ZH_R3_100	D05_ZH_R3	100	D05_ZH_R3_100_Rep1	false	16S	Unknown	SYBR	15.6301685125973	0.8715750778358502	NA	Amp	false	3	8	NA	NA	5.38736141966978	4066400.67969098
E4	C2	Rep2	Plate 4	D05_ZH_R3_100	D05_ZH_R3	100	D05_ZH_R3_100_Rep2	false	16S	Unknown	SYBR	15.4012398166194	0.7264156534388829	3.50067859857015	Amp	false	3	8	NA	NA	5.46316562363594	4841883.91841938
F3	C2	Rep3	Plate 4	D05_ZH_R3_100	D05_ZH_R3	100	D05_ZH_R3_100_Rep3	false	16S	Unknown	SYBR	14.5993764018097	0.7593198620835718	3.51008358714459	Amp	false	3	7	NA	NA	5.72868331065904	8923434.91302362
G5	D3	Rep1	Plate 4	D07_NF_R3_1,000	D07_NF_R3	1000	D07_NF_R3_1,000_Rep1	false	16S	Unknown	SYBR	13.0655043335787	0.7417924915468644	3.48709693455158	Amp	false	3	6	NA	NA	6.23658796901368	287366883.869668
G6	D3	Rep2	Plate 4	D07_NF_R3_1,000	D07_NF_R3	1000	D07_NF_R3_1,000_Rep2	false	16S	Unknown	SYBR	12.861427089833	0.80406882041988	3.48538248698321	Amp	false	3	6	NA	NA	6.30416321528709	335746864.01158
H5	D3	Rep3	Plate 4	D07_NF_R3_1,000	D07_NF_R3	1000	D07_NF_R3_1,000_Rep3	false	16S	Unknown	SYBR	12.1815228322072	0.7322334856225146	3.48970912448055	Amp	false	3	6	NA	NA	6.52929707542808	563826942.796553
I5	E3	Rep1	Plate 4	D09_ZH_R1_1,000	D09_ZH_R1	1000	D09_ZH_R1_1,000_Rep1	false	16S	Unknown	SYBR	18.7007956488073	0.8265398472617516	NA	Amp	false	3	10	NA	NA	4.37059746728234	3912426.72568573
I6	E3	Rep2	Plate 4	D09_ZH_R1_1,000	D09_ZH_R1	1000	D09_ZH_R1_1,000_Rep2	false	16S	Unknown	SYBR	17.3808357881389	0.8450581804334476	NA	Amp	false	3	10	NA	NA	4.80767026882819	10703332.5347681
J5	E3	Rep3	Plate 4	D09_ZH_R1_1,000	D09_ZH_R1	1000	D09_ZH_R1_1,000_Rep3	false	16S	Unknown	SYBR	17.4500450196996	0.8426259323023929	NA	Amp	false	3	9	NA	NA	4.78475330473522	10153179.2691241
K3	F2	Rep1	Plate 4	D09_ZR_R1_100	D09_ZR_R1	100	D09_ZR_R1_100_Rep1	false	16S	Unknown	SYBR	15.662596630829	0.846985866288065	3.50916187978047	Inconclusive	false	3	8	NA	NA	5.37662363217584	3967093.00086418
K4	F2	Rep2	Plate 4	D09_ZR_R1_100	D09_ZR_R1	100	D09_ZR_R1_100_Rep2	false	16S	Unknown	SYBR	14.3783927577694	0.8270903001952415	3.45888808171677	Amp	false	3	8	NA	NA	5.80185670272535	10561009.9634042
L3	F2	Rep3	Plate 4	D09_ZR_R1_100	D09_ZR_R1	100	D09_ZR_R1_100_Rep3	false	16S	Unknown	SYBR	15.4628965033679	0.8626399015574946	3.51777632207111	Amp	false	3	8	NA	NA	5.44274950219605	4619534.89271425
