Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
A1,A1,Rep1,1,D06_OH_R1,D06,OH,R1,1,D06_OH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,14.6686778417989,0.8961277900783,3.48259149862921,Amp,false,3,7,NA,NA,6.07621408938232,198638231.047566,4
A11,A6,Rep1,1,PCO_B3_R1,PCO,B3,R1,6,PCO_B3_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,16.275333428715,0.90733667006328,3.44931266449521,Amp,false,3,8,NA,NA,5.6249063402486,70267595.0595266,7
A13,A7,Rep1,1,D09_OR_R1,D09,OR,R1,7,D09_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.62254088696,0.909521242480379,3.41798502336745,Amp,false,3,6,NA,NA,6.37007278456178,390770287.292589,3
A15,A8,Rep1,1,D07_OR_R1,D07,OR,R1,8,D07_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,12.7797827157028,0.86873526194427,3.41948131093709,Amp,false,3,6,NA,NA,6.60680260794864,673986748.140581,3
A19,A10,Rep1,1,D03_OR_R1,D03,OR,R1,10,D03_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.3204198365737,0.945081671096558,3.4120205007367,Amp,false,3,7,NA,NA,5.89314049534445,130313450.671776,3
A21,A11,Rep1,1,D04_ZR_R1,D04,ZR,R1,11,D04_ZR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.899427715137,0.940917697110697,3.42290221729493,Amp,false,3,8,NA,NA,5.73049783282667,89607958.3664979,6
A23,A12,Rep1,1,D01_OF_R1,D01,OF,R1,12,D01_OF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.3834319163911,0.92174235468377,3.4503539034562,Amp,false,3,6,NA,NA,6.43723822573284,456128254.763198,2
A3,A2,Rep1,1,D08_ZH_R1,D08,ZH,R1,2,D08_ZH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,21.4473297627756,0.906733784103662,3.46742890373019,Amp,false,3,11,NA,NA,4.1720983812428,2477120.48529226,7
A5,A3,Rep1,1,D08_OR_R1,D08,OR,R1,3,D08_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,14.7385332911043,0.891726209403935,3.41881694264002,Amp,false,3,7,NA,NA,6.05659177216171,189863079.984424,3
A7,A4,Rep1,1,D03_OF_R1,D03,OF,R1,4,D03_OF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.5810544812137,0.85851300798862,3.44027027905257,Amp,false,3,8,NA,NA,5.81992851651299,110097451.486987,2
A9,A5,Rep1,1,D08_OF_R1,D08,OF,R1,5,D08_OF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.7829561961675,0.896970086331158,3.4462327994646,Amp,false,3,7,NA,NA,6.32501230444734,352258153.35577,2
B1,A1,Rep2,1,D06_OH_R1,D06,OH,R1,1,D06_OH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,14.5345749119079,0.896745815840889,3.47299365564594,Amp,false,3,7,NA,NA,6.11388345171126,216636784.713472,4
B11,A6,Rep2,1,PCO_B3_R1,PCO,B3,R1,6,PCO_B3_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,16.4120302840217,0.916340836062384,3.43773716352327,Amp,false,3,8,NA,NA,5.58650834718491,64321638.1891209,7
B13,A7,Rep2,1,D09_OR_R1,D09,OR,R1,7,D09_OR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.5676650034626,0.885322964231278,3.42229370645327,Amp,false,3,6,NA,NA,6.38548735857792,404889121.339565,3
B15,A8,Rep2,1,D07_OR_R1,D07,OR,R1,8,D07_OR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,12.6814218583531,0.864794770617502,3.41392706302189,Amp,false,3,6,NA,NA,6.63443206226037,718258562.289813,3
B19,A10,Rep2,1,D03_OR_R1,D03,OR,R1,10,D03_OR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,15.6083644187407,0.961939709219422,3.39692237768766,Amp,false,3,7,NA,NA,5.81225718574699,108169777.245331,3
B21,A11,Rep2,1,D04_ZR_R1,D04,ZR,R1,11,D04_ZR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,16.0052317313428,0.932144312102839,3.41767673310793,Amp,false,3,8,NA,NA,5.70077760355538,83680902.0664033,6
B23,A12,Rep2,1,D01_OF_R1,D01,OF,R1,12,D01_OF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.2078357062422,0.879714649505475,3.47388502365255,Amp,false,3,6,NA,NA,6.48656300386454,510989237.96853,2
B3,A2,Rep2,1,D08_ZH_R1,D08,ZH,R1,2,D08_ZH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,21.6525920638039,0.907334274274079,3.43344157723729,Amp,false,3,11,NA,NA,4.11444043151575,2169147.98196083,7
B5,A3,Rep2,1,D08_OR_R1,D08,OR,R1,3,D08_OR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,14.6698004185392,0.884410780545582,3.44076088586919,Amp,false,3,7,NA,NA,6.07589875883729,198494057.058977,3
B7,A4,Rep2,1,D03_OF_R1,D03,OF,R1,4,D03_OF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,15.7888998335178,0.898561930111267,3.43557262278894,Amp,false,3,7,NA,NA,5.7615449905849,96248449.0936275,2
B9,A5,Rep2,1,D08_OF_R1,D08,OF,R1,5,D08_OF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.888392391688,0.899448783194205,3.44373855120713,Amp,false,3,7,NA,NA,6.29539539559327,329036551.765751,2
C11,B6,Rep1,1,PCO_B4_R1,PCO,B4,R1,18,PCO_B4_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.9893035691854,0.900881991546205,3.41546831920249,Amp,false,3,8,NA,NA,5.70525180640859,84547458.2672738,7
C13,B7,Rep1,1,D05_OR_R1,D05,OR,R1,19,D05_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.7314344820924,0.902403953373237,3.42347004060066,Amp,false,3,9,NA,NA,5.77768694323247,99893146.4566129,3
C15,B8,Rep1,1,Water_R2,Water,R2,NA,20,Water_R2_Rep1,none,false,Sample,16S,Unknown,SYBR,22.2536766397016,0.957163771997167,3.4063484702799,Amp,false,3,14,NA,NA,3.94559644952203,1470432.85911682,7
C17,B9,Rep1,1,NCO_B1_R1,NCO,B1,R1,21,NCO_B1_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,22.1766020677541,0.93450586314105,3.41823555418671,Amp,false,3,11,NA,NA,3.96724661018143,1545593.77456543,7
C19,B10,Rep1,1,PCO_B1_R1,PCO,B1,R1,22,PCO_B1_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,18.3932139190933,0.879295293607886,NA,Amp,false,3,10,NA,NA,5.02999609014232,17858494.3104743,7
C3,B2,Rep1,1,D06_OR_R1,D06,OR,R1,14,D06_OR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,15.0799007833565,0.900483631647101,3.41356807440897,Amp,false,3,7,NA,NA,5.96070202714704,152247712.717925,3
C5,B3,Rep1,1,D04_OF_R1,D04,OF,R1,15,D04_OF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,16.4150750255873,0.8310999995548,NA,Inconclusive,false,3,8,NA,NA,5.5856530827002,64195092.9934887,2
C7,B4,Rep1,1,D10_NF_R1,D10,NF,R1,16,D10_NF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.0119161023353,0.908390311873324,3.44421651494857,Amp,false,3,6,NA,NA,6.54159660046763,580023180.085833,1
C9,B5,Rep1,1,NCO_B4_R1,NCO,B4,R1,17,NCO_B4_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,21.442409793444,0.829573350340373,NA,Amp,false,3,13,NA,NA,4.1734803951,2485015.74476482,7
D11,B6,Rep2,1,PCO_B4_R1,PCO,B4,R1,18,PCO_B4_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,16.0317634346065,0.927427149060187,3.40431076746304,Amp,false,3,8,NA,NA,5.69332487791951,82257144.1844986,7
