Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
A1,A1,Rep1,2,D05_OR_R2,D05,OR,R2,1,D05_OR_R2_Rep1,false,Sample,16S,Unknown,SYBR,12.9528592746221,0.904206727283071,3.44949446357993,Amp,false,3,7,NA,NA,6.53123697085734,566351063.63506,3
A11,A6,Rep1,2,D07_OH_R2,D07,OH,R2,6,D07_OH_R2_Rep1,false,Sample,16S,Unknown,SYBR,12.9061119954894,0.886384906429104,3.44114672758008,Amp,false,3,6,NA,NA,6.54425849707815,583589200.706192,4
A13,A7,Rep1,2,PCO_B2_R2,PCO,B2,R2,7,PCO_B2_R2_Rep1,false,Sample,16S,Unknown,SYBR,15.5387601774558,0.92921573976149,3.40009927657675,Amp,false,3,8,NA,NA,5.8109303126864,107839797.157977,7
A15,A8,Rep1,2,D06_ZH_R2,D06,ZH,R2,8,D06_ZH_R2_Rep1,false,Sample,16S,Unknown,SYBR,19.6366680234576,0.933975172676752,NA,Amp,false,3,10,NA,NA,4.66945180405081,7785751.77898204,7
A19,A10,Rep1,2,D02_ZR_R2,D02,ZR,R2,10,D02_ZR_R2_Rep1,false,Sample,16S,Unknown,SYBR,17.7064115591444,0.959723841293868,NA,Amp,false,3,9,NA,NA,5.20712769940268,26851988.2837846,6
A21,A11,Rep1,2,NCO_B2_R2,NCO,B2,R2,11,NCO_B2_R2_Rep1,false,Sample,16S,Unknown,SYBR,22.6281711975952,0.989415570010106,3.40491950204789,Amp,false,3,11,NA,NA,3.83616401181193,1142911.91793393,7
A23,A12,Rep1,2,D10_OR_R2,D10,OR,R2,12,D10_OR_R2_Rep1,false,Sample,16S,Unknown,SYBR,14.0601317257183,0.950628793131497,3.43241584250664,Amp,false,3,7,NA,NA,6.22280453322609,278389776.825143,3
A3,A2,Rep1,2,D03_OF_R2,D03,OF,R2,2,D03_OF_R2_Rep1,false,Sample,16S,Unknown,SYBR,12.7883648073404,0.906183599177503,3.4702993147714,Amp,false,3,6,NA,NA,6.57705715672969,629369809.674385,2
A5,A3,Rep1,2,D01_NF_R2,D01,NF,R2,3,D01_NF_R2_Rep1,false,Sample,16S,Unknown,SYBR,13.1971079760497,0.887499473211056,3.42087576759534,Amp,false,3,6,NA,NA,6.46320112087753,484227968.800567,1
A7,A4,Rep1,2,D08_OR_R2,D08,OR,R2,4,D08_OR_R2_Rep1,false,Sample,16S,Unknown,SYBR,12.4292423246069,0.905325996899722,3.43296899519844,Amp,false,3,6,NA,NA,6.67709127448275,792391893.908332,3
A9,A5,Rep1,2,D10_ZF_R2,D10,ZF,R2,5,D10_ZF_R2_Rep1,false,Sample,16S,Unknown,SYBR,18.5329228987455,0.931924922040386,NA,Amp,false,3,9,NA,NA,4.97690169951379,15803396.9599109,5
B1,A1,Rep2,2,D05_OR_R2,D05,OR,R2,1,D05_OR_R2_Rep2,false,Sample,16S,Unknown,SYBR,12.9271545196382,0.890272565219318,3.44908228453043,Amp,false,3,6,NA,NA,6.53839706973866,575765740.037101,3
B11,A6,Rep2,2,D07_OH_R2,D07,OH,R2,6,D07_OH_R2_Rep2,false,Sample,16S,Unknown,SYBR,12.6698839126055,0.880945700000754,3.43222832125588,Amp,false,3,6,NA,NA,6.61006019147479,679061238.31818,4
B13,A7,Rep2,2,PCO_B2_R2,PCO,B2,R2,7,PCO_B2_R2_Rep2,false,Sample,16S,Unknown,SYBR,15.0112303154623,0.92205987572102,3.42251259050185,Amp,false,3,7,NA,NA,5.95787456393807,151259727.462116,7
B15,A8,Rep2,2,D06_ZH_R2,D06,ZH,R2,8,D06_ZH_R2_Rep2,false,Sample,16S,Unknown,SYBR,19.0144180738072,0.934405264082827,NA,Amp,false,3,11,NA,NA,4.84278048083366,11604574.7527038,7
B19,A10,Rep2,2,D02_ZR_R2,D02,ZR,R2,10,D02_ZR_R2_Rep2,false,Sample,16S,Unknown,SYBR,17.1490294011085,0.982722338358167,3.41063694808385,Amp,false,3,8,NA,NA,5.36238735345166,38391590.3653596,6
B21,A11,Rep2,2,NCO_B2_R2,NCO,B2,R2,11,NCO_B2_R2_Rep2,false,Sample,16S,Unknown,SYBR,22.7606024266469,0.974282708174382,3.39282858838734,Amp,false,3,13,NA,NA,3.7992750900705,1049841.74983682,7
B23,A12,Rep2,2,D10_OR_R2,D10,OR,R2,12,D10_OR_R2_Rep2,false,Sample,16S,Unknown,SYBR,13.605111511618,0.903973596273629,3.44823577072156,Amp,false,3,7,NA,NA,6.34955111096993,372734730.038013,3
B3,A2,Rep2,2,D03_OF_R2,D03,OF,R2,2,D03_OF_R2_Rep2,false,Sample,16S,Unknown,SYBR,12.9959847015921,0.901786080690016,3.44218268615751,Amp,false,3,6,NA,NA,6.51922431710526,550900373.379212,2
B5,A3,Rep2,2,D01_NF_R2,D01,NF,R2,3,D01_NF_R2_Rep2,false,Sample,16S,Unknown,SYBR,12.8464213844566,0.893388795392555,3.45341097454915,Amp,false,3,6,NA,NA,6.56088540822935,606365045.256978,1
B7,A4,Rep2,2,D08_OR_R2,D08,OR,R2,4,D08_OR_R2_Rep2,false,Sample,16S,Unknown,SYBR,12.5247916193651,0.909636681478143,3.43121749051361,Amp,false,3,6,NA,NA,6.65047587204315,745288846.061755,3
B9,A5,Rep2,2,D10_ZF_R2,D10,ZF,R2,5,D10_ZF_R2_Rep2,false,Sample,16S,Unknown,SYBR,18.4509745490543,0.909044130376064,NA,Amp,false,3,9,NA,NA,4.99972853786789,16656252.1775586,5
C1,B1,Rep1,2,D01_ZH_R2,D01,ZH,R2,13,D01_ZH_R2_Rep1,false,Sample,16S,Unknown,SYBR,18.3376705333582,0.820959055328418,NA,Amp,false,3,9,NA,NA,5.03128954502556,17911761.367286,7
C11,B6,Rep1,2,PCO_B3_R2,PCO,B3,R2,18,PCO_B3_R2_Rep1,false,Sample,16S,Unknown,SYBR,15.6461783897727,0.922083357258358,3.42788527938789,Amp,false,3,8,NA,NA,5.78100880507725,100660145.703422,7
C13,B7,Rep1,2,Buffer_R1,Buffer,R1,NA,19,Buffer_R1_Rep1,false,Sample,16S,Unknown,SYBR,22.9632711832833,0.953081356241037,3.41452572743992,Amp,false,3,15,NA,NA,3.74282139741413,921870.986781423,7
C15,B8,Rep1,2,D04_ZR_R2,D04,ZR,R2,20,D04_ZR_R2_Rep1,false,Sample,16S,Unknown,SYBR,17.6733951730695,0.942321857600917,NA,Inconclusive,false,3,11,NA,NA,5.21632446432605,27426678.3902107,6
C17,B9,Rep1,2,D07_OF_R2,D07,OF,R2,21,D07_OF_R2_Rep1,false,Sample,16S,Unknown,SYBR,11.1066618110034,0.89525842135571,3.42170058348385,Amp,false,3,5,NA,NA,7.04549810278456,1850746140.55391,2
C19,B10,Rep1,2,D03_ZR_R2,D03,ZR,R2,22,D03_ZR_R2_Rep1,false,Sample,16S,Unknown,SYBR,17.0304357809819,0.885179106879677,NA,Inconclusive,false,3,9,NA,NA,5.39542178802732,41425765.0441371,6
C3,B2,Rep1,2,PCO_B4_R2,PCO,B4,R2,14,PCO_B4_R2_Rep1,false,Sample,16S,Unknown,SYBR,15.7053667755675,0.919137591381654,3.39774822642258,Amp,false,3,8,NA,NA,5.76452178953553,96910434.1449043,7
C5,B3,Rep1,2,D09_OF_R2,D09,OF,R2,15,D09_OF_R2_Rep1,false,Sample,16S,Unknown,SYBR,13.3588772046163,0.870430008907901,3.48401310446362,Amp,false,3,7,NA,NA,6.41814005442442,436504579.160361,2
C7,B4,Rep1,2,D04_ZH_R2,D04,ZH,R2,16,D04_ZH_R2_Rep1,false,Sample,16S,Unknown,SYBR,18.9942531737262,0.894736249986977,NA,Amp,false,3,12,NA,NA,4.8483974446445,11755637.7348252,7
C9,B5,Rep1,2,D08_NF_R2,D08,NF,R2,17,D08_NF_R2_Rep1,false,Sample,16S,Unknown,SYBR,8.26278410118829,0.9378075499619,3.40527488492117,Amp,false,3,4,NA,NA,7.83766459576928,11468677628.4978,1
D1,B1,Rep2,2,D01_ZH_R2,D01,ZH,R2,13,D01_ZH_R2_Rep2,false,Sample,16S,Unknown,SYBR,18.2085711125305,0.868036238117371,NA,Amp,false,3,9,NA,NA,5.06725038648175,19458041.9829719,7
D11,B6,Rep2,2,PCO_B3_R2,PCO,B3,R2,18,PCO_B3_R2_Rep2,false,Sample,16S,Unknown,SYBR,15.5209342204831,0.935106043009062,3.42109698271364,Amp,false,3,8,NA,NA,5.81589576031111,109079844.442438,7
D13,B7,Rep2,2,Buffer_R1,Buffer,R1,NA,19,Buffer_R1_Rep2,false,Sample,16S,Unknown,SYBR,22.9573726377628,0.961826976645535,3.41188370469157,Amp,false,3,14,NA,NA,3.74446444630563,925365.270027506,7
D15,B8,Rep2,2,D04_ZR_R2,D04,ZR,R2,20,D04_ZR_R2_Rep2,false,Sample,16S,Unknown,SYBR,17.3089528384114,0.909938905853357,NA,Inconclusive,false,3,10,NA,NA,5.31784043498291,34648878.6979383,6
D17,B9,Rep2,2,D07_OF_R2,D07,OF,R2,21,D07_OF_R2_Rep2,false,Sample,16S,Unknown,SYBR,10.9683342559728,0.905649968561957,3.41465733915555,Amp,false,3,5,NA,NA,7.08402945516079,2022451914.9083,2
D19,B10,Rep2,2,D03_ZR_R2,D03,ZR,R2,22,D03_ZR_R2_Rep2,false,Sample,16S,Unknown,SYBR,16.8609582084497,0.938004056518818,NA,Amp,false,3,10,NA,NA,5.44263002550146,46182642.0917925,6
D3,B2,Rep2,2,PCO_B4_R2,PCO,B4,R2,14,PCO_B4_R2_Rep2,false,Sample,16S,Unknown,SYBR,15.4886686234059,0.941911683003875,3.42655598746318,Amp,false,3,8,NA,NA,5.82488339180895,111360748.521181,7
D5,B3,Rep2,2,D09_OF_R2,D09,OF,R2,15,D09_OF_R2_Rep2,false,Sample,16S,Unknown,SYBR,13.9182005734981,0.877142214400944,3.42499773498615,Amp,false,3,7,NA,NA,6.2623396731203,304921763.437268,2
D7,B4,Rep2,2,D04_ZH_R2,D04,ZH,R2,16,D04_ZH_R2_Rep2,false,Sample,16S,Unknown,SYBR,19.121348369854,0.895414068061873,NA,Amp,false,3,11,NA,NA,4.81299488304901,10835367.173673,7
D9,B5,Rep2,2,D08_NF_R2,D08,NF,R2,17,D08_NF_R2_Rep2,false,Sample,16S,Unknown,SYBR,8.01352566757182,0.928026345355879,3.40293937369607,Amp,false,3,4,NA,NA,7.9070959143254,13456888808.6064,1
E1,C1,Rep1,2,D10_OH_R2,D10,OH,R2,23,D10_OH_R2_Rep1,false,Sample,16S,Unknown,SYBR,14.3746321231274,0.916685472261232,3.49445975395647,Amp,false,3,7,NA,NA,6.13519996570267,227535264.542038,4
E11,C6,Rep1,2,NCO_B3_R2,NCO,B3,R2,28,NCO_B3_R2_Rep1,false,Sample,16S,Unknown,SYBR,23.0335339962015,0.950366980665553,3.41362707033717,Amp,false,3,15,NA,NA,3.72324958323078,881248.382457372,7
