taxid	Phylum	mean16S	kingdom
1117	Cyanobacteria	2.43	Bacteria
1134404	Ignavibacteriae	1	Bacteria
1224	Proteobacteria	2.38	Bacteria
1239	Firmicutes	4.32	Bacteria
1297	Deinococcus-Thermus	2.53	Bacteria
142182	Gemmatimonadetes (142182)	1.84	Bacteria
1752708	Candidatus Rokubacteria	1.94	Bacteria
1798710	Candidatus Melainabacteria	1.94	Bacteria
1913637	Mucoromycota	0	Fungi
1913638	Zoopagomycota	0	Fungi
200795	Chloroflexi	1.85	Bacteria
200918	Thermotogae (200918)	2.36	Bacteria
201174	Actinobacteria (201174)	1.86	Bacteria
203682	Planctomycetes	1.68	Bacteria
203691	Spirochaetes	1.73	Bacteria
204428	Chlamydiae	1.58	Bacteria
256845	Lentisphaerae	1.94	Bacteria
28890	Euryarchaeota	1.57	Archaea
32066	Fusobacteria	5.62	Bacteria
40117	Nitrospirae	1.44	Bacteria
4761	Chytridiomycota	0	Fungi
4890	Ascomycota	0	Fungi
508458	Synergistetes	3.2	Bacteria
5204	Basidiomycota	0	Fungi
544448	Tenericutes	1.42	Bacteria
57723	Acidobacteria	1.17	Bacteria
6029	Microsporidia	0	Fungi
65842	Fibrobacteres	3	Bacteria
67817	Candidatus Aminicenantes	1.94	Bacteria
67819	Armatimonadetes	2	Bacteria
74152	Elusimicrobia (74152)	1	Bacteria
74201	Verrucomicrobia	1.33	Bacteria
95818	Candidatus Saccharibacteria	1	Bacteria
976	Bacteroidetes	2.7	Bacteria
