Sample	Donor	Condition	Replicate	TotalBacteria	PlotOrder
D01_NF_R1	D01	NF	R1	2616175576918.47	1
D01_NF_R2	D01	NF	R2	2004569379975.14	1
D01_NF_R3	D01	NF	R3	4095662377031.79	1
D01_OF_R1	D01	OF	R1	5663773287881.24	2
D01_OF_R2	D01	OF	R2	2396714580093.93	2
D01_OF_R3	D01	OF	R3	5559595823261.29	2
D01_OH_R1	D01	OH	R1	4719273682149.94	4
D01_OH_R2	D01	OH	R2	7285472864546.82	4
D01_OH_R3	D01	OH	R3	2156351706526.42	4
D01_OR_R1	D01	OR	R1	652403123284.278	3
D01_OR_R2	D01	OR	R2	1338622865212.81	3
D01_OR_R3	D01	OR	R3	1710949624225.6	3
D01_ZF_R1	D01	ZF	R1	969180669873.499	5
D01_ZF_R2	D01	ZF	R2	121584086418.331	5
D01_ZF_R3	D01	ZF	R3	58083308403.2392	5
D01_ZH_R1	D01	ZH	R1	772986842.099453	7
D01_ZH_R2	D01	ZH	R2	21459736995.4422	7
D01_ZH_R3	D01	ZH	R3	21056534843.3683	7
D01_ZR_R1	D01	ZR	R1	76452518164.1503	6
D01_ZR_R2	D01	ZR	R2	4793734783.53266	6
D01_ZR_R3	D01	ZR	R3	8275383584.57038	6
D02_NF_R1	D02	NF	R1	1838469899709.68	1
D02_NF_R2	D02	NF	R2	2121177771796.92	1
D02_NF_R3	D02	NF	R3	3600460002622.26	1
D02_OF_R1	D02	OF	R1	2131027803493.75	2
D02_OF_R2	D02	OF	R2	16922082939687.5	2
D02_OF_R3	D02	OF	R3	1682264152102.85	2
D02_OH_R1	D02	OH	R1	4140279871980.22	4
D02_OH_R2	D02	OH	R2	12389680941.8977	4
D02_OH_R3	D02	OH	R3	2340582841725.11	4
D02_OR_R1	D02	OR	R1	7022625820139.45	3
D02_OR_R2	D02	OR	R2	18600346456881.8	3
D02_OR_R3	D02	OR	R3	2595825555541.37	3
D02_ZF_R1	D02	ZF	R1	407919679509.002	5
D02_ZF_R2	D02	ZF	R2	197756012508.543	5
D02_ZF_R3	D02	ZF	R3	118394470757.614	5
D02_ZH_R1	D02	ZH	R1	67670384086.1086	7
D02_ZH_R2	D02	ZH	R2	84019299269.3475	7
D02_ZH_R3	D02	ZH	R3	13086209286.6852	7
D02_ZR_R1	D02	ZR	R1	70780752297.4888	6
D02_ZR_R2	D02	ZR	R2	184635751488.034	6
D02_ZR_R3	D02	ZR	R3	36196819783.4009	6
D03_NF_R1	D03	NF	R1	1034034989349.13	1
D03_NF_R2	D03	NF	R2	9586180249611.79	1
D03_NF_R3	D03	NF	R3	3215261825379.22	1
D03_OF_R1	D03	OF	R1	4139351675549.74	2
D03_OF_R2	D03	OF	R2	1395958772619.75	2
D03_OF_R3	D03	OF	R3	268807663.80784	2
D03_OH_R1	D03	OH	R1	2623567071022.04	4
D03_OH_R2	D03	OH	R2	1166332417535.11	4
D03_OH_R3	D03	OH	R3	165784885352.723	4
D03_OR_R1	D03	OR	R1	461507229136.586	3
D03_OR_R2	D03	OR	R2	51393918454.1974	3
D03_OR_R3	D03	OR	R3	1175895979667.99	3
D03_ZF_R1	D03	ZF	R1	55589362048.7538	5
D03_ZF_R2	D03	ZF	R2	21735859758.5741	5
D03_ZF_R3	D03	ZF	R3	133372555.030835	5
D03_ZH_R1	D03	ZH	R1	38328100968.609	7
D03_ZH_R2	D03	ZH	R2	13506512746.2372	7
D03_ZH_R3	D03	ZH	R3	174032317785.207	7
D03_ZR_R1	D03	ZR	R1	23517877932.4443	6
D03_ZR_R2	D03	ZR	R2	33460085849.1827	6
D03_ZR_R3	D03	ZR	R3	20405148642.7449	6
D04_NF_R1	D04	NF	R1	1018288323677.85	1
D04_NF_R2	D04	NF	R2	1989715520918.49	1
D04_NF_R3	D04	NF	R3	27066372889706.9	1
D04_OF_R1	D04	OF	R1	4355670192864.7	2
D04_OF_R2	D04	OF	R2	716165237633.403	2
D04_OF_R3	D04	OF	R3	675126151216.267	2
D04_OH_R1	D04	OH	R1	24555718115717.2	4
D04_OH_R2	D04	OH	R2	33978368599573.9	4
D04_OH_R3	D04	OH	R3	996216892210.024	4
D04_OR_R1	D04	OR	R1	753768044431.679	3
D04_OR_R2	D04	OR	R2	8189954534167.26	3
D04_OR_R3	D04	OR	R3	2242028742644.55	3
D04_ZF_R1	D04	ZF	R1	366324876717.507	5
D04_ZF_R2	D04	ZF	R2	112392630536.947	5
D04_ZF_R3	D04	ZF	R3	84200403898.2653	5
D04_ZH_R1	D04	ZH	R1	209814614495.814	7
D04_ZH_R2	D04	ZH	R2	18982421729.2889	7
D04_ZH_R3	D04	ZH	R3	51689357725.7191	7
D04_ZR_R1	D04	ZR	R1	73771419473.491	6
D04_ZR_R2	D04	ZR	R2	133739264577.925	6
D04_ZR_R3	D04	ZR	R3	360041262390.568	6
D05_NF_R1	D05	NF	R1	1740830657144.21	1
D05_NF_R2	D05	NF	R2	422427751454.383	1
D05_NF_R3	D05	NF	R3	1137272994971.36	1
D05_OF_R1	D05	OF	R1	5145606886018.41	2
D05_OF_R2	D05	OF	R2	2908989323144.26	2
D05_OF_R3	D05	OF	R3	822125875356.252	2
D05_OH_R1	D05	OH	R1	3569237799231.13	4
D05_OH_R2	D05	OH	R2	1610324044251.97	4
D05_OH_R3	D05	OH	R3	1427812854436.92	4
D05_OR_R1	D05	OR	R1	5102056386611.86	3
D05_OR_R2	D05	OR	R2	1035407348313.49	3
D05_OR_R3	D05	OR	R3	3305103823356.57	3
D05_ZF_R1	D05	ZF	R1	265323406568.236	5
D05_ZF_R2	D05	ZF	R2	11890989910.4152	5
D05_ZF_R3	D05	ZF	R3	17174029740.114	5
D05_ZH_R1	D05	ZH	R1	107020738670.555	7
D05_ZH_R2	D05	ZH	R2	62160592310.4857	7
D05_ZH_R3	D05	ZH	R3	905093897.245783	7
D05_ZR_R1	D05	ZR	R1	39759679055.9541	6
D05_ZR_R2	D05	ZR	R2	88703486458.7596	6
D05_ZR_R3	D05	ZR	R3	39993090955.6298	6
D06_NF_R1	D06	NF	R1	6240908742899.53	1
D06_NF_R2	D06	NF	R2	1439122915907.56	1
D06_NF_R3	D06	NF	R3	19130117784168.1	1
D06_OF_R1	D06	OF	R1	5193014544328.7	2
D06_OF_R2	D06	OF	R2	2858866273942.07	2
D06_OF_R3	D06	OF	R3	8386529785204.49	2
D06_OH_R1	D06	OH	R1	5932150782920.67	4
D06_OH_R2	D06	OH	R2	3998743426921.25	4
D06_OH_R3	D06	OH	R3	1359091022994.5	4
D06_OR_R1	D06	OR	R1	2199918716556.75	3
D06_OR_R2	D06	OR	R2	682021757665.842	3
D06_OR_R3	D06	OR	R3	3425024623559.62	3
D06_ZF_R1	D06	ZF	R1	125174706388.109	5
D06_ZF_R2	D06	ZF	R2	106619968957.657	5
D06_ZF_R3	D06	ZF	R3	182045781726.954	5
D06_ZH_R1	D06	ZH	R1	31103776931.1031	7
D06_ZH_R2	D06	ZH	R2	1865286823.80978	7
D06_ZH_R3	D06	ZH	R3	3678656890.43628	7
D06_ZR_R1	D06	ZR	R1	71752267674.9574	6
D06_ZR_R2	D06	ZR	R2	48954891732.1329	6
D06_ZR_R3	D06	ZR	R3	11937011788.5454	6
D07_NF_R1	D07	NF	R1	2093143059199.96	1
D07_NF_R2	D07	NF	R2	2355246146111	1
D07_NF_R3	D07	NF	R3	70957884991.4266	1
D07_OF_R1	D07	OF	R1	7485160893341.16	2
D07_OF_R2	D07	OF	R2	2620823988182.06	2
D07_OF_R3	D07	OF	R3	597021574405.264	2
D07_OH_R1	D07	OH	R1	25850380377739.3	4
D07_OH_R2	D07	OH	R2	6326470497604.65	4
D07_OH_R3	D07	OH	R3	1687602739011.31	4
D07_OR_R1	D07	OR	R1	NA	3
D07_OR_R2	D07	OR	R2	1244064008728.88	3
D07_OR_R3	D07	OR	R3	898632613933.639	3
D07_ZF_R1	D07	ZF	R1	213689600575.124	5
D07_ZF_R2	D07	ZF	R2	78769028075.2804	5
D07_ZF_R3	D07	ZF	R3	36568813536.2679	5
D07_ZH_R1	D07	ZH	R1	41029687163.8209	7
D07_ZH_R2	D07	ZH	R2	47027951050.9645	7
D07_ZH_R3	D07	ZH	R3	102463672697.056	7
D07_ZR_R1	D07	ZR	R1	163923741143.38	6
D07_ZR_R2	D07	ZR	R2	8576204892.83241	6
D07_ZR_R3	D07	ZR	R3	148209222976.524	6
D08_NF_R1	D08	NF	R1	27024325309313.2	1
D08_NF_R2	D08	NF	R2	274466440428.734	1
D08_NF_R3	D08	NF	R3	8644680290859.18	1
D08_OF_R1	D08	OF	R1	1753087399038.29	2
D08_OF_R2	D08	OF	R2	13212454596341.5	2
D08_OF_R3	D08	OF	R3	7653545151728.8	2
D08_OH_R1	D08	OH	R1	5017960559501.21	4
D08_OH_R2	D08	OH	R2	1803788559675.75	4
D08_OH_R3	D08	OH	R3	678509892483.303	4
D08_OR_R1	D08	OR	R1	3489061871785.64	3
D08_OR_R2	D08	OR	R2	1263295705537.52	3
D08_OR_R3	D08	OR	R3	9873368088087.66	3
D08_ZF_R1	D08	ZF	R1	298348479164.809	5
D08_ZF_R2	D08	ZF	R2	13814386725.7657	5
D08_ZF_R3	D08	ZF	R3	168280986798.712	5
D08_ZH_R1	D08	ZH	R1	1907428348.98252	7
D08_ZH_R2	D08	ZH	R2	6909767516.95098	7
D08_ZH_R3	D08	ZH	R3	2044330845.53701	7
D08_ZR_R1	D08	ZR	R1	56251679096.9637	6
D08_ZR_R2	D08	ZR	R2	5738499118.63941	6
D08_ZR_R3	D08	ZR	R3	87709344650.7938	6
D09_NF_R1	D09	NF	R1	4194453247415.84	1
D09_NF_R2	D09	NF	R2	4216838597974.66	1
D09_NF_R3	D09	NF	R3	2173321544585.7	1
D09_OF_R1	D09	OF	R1	3581703168612.69	2
D09_OF_R2	D09	OF	R2	97483564616.1488	2
D09_OF_R3	D09	OF	R3	2282480284234.19	2
D09_OH_R1	D09	OH	R1	10058744953243.2	4
D09_OH_R2	D09	OH	R2	3073808361975.99	4
D09_OH_R3	D09	OH	R3	13577744858751.5	4
D09_OR_R1	D09	OR	R1	4534746738182.98	3
D09_OR_R2	D09	OR	R2	6254742609131.91	3
D09_OR_R3	D09	OR	R3	1502385318267.64	3
D09_ZF_R1	D09	ZF	R1	7859641331.84481	5
D09_ZF_R2	D09	ZF	R2	17929210989.7912	5
D09_ZF_R3	D09	ZF	R3	22446778428.2625	5
D09_ZH_R1	D09	ZH	R1	1845535078.86014	7
D09_ZH_R2	D09	ZH	R2	9657646562.02927	7
D09_ZH_R3	D09	ZH	R3	15190525747.6515	7
